contact_id,name,phone,email,group_name,birth_month,preferred_language
1,이영희,033-292-8125,sanghyeon56@example.com,가족,6,영어
2,김옥자,019-700-1243,bgim@example.com,친구,4,중국어
3,고우진,043-739-7055,vi@example.net,직장,7,한국어
4,이재현,043-186-7628,ujini@example.org,가족,1,일본어
5,이정희,033-099-7628,iminseog@example.com,친구,11,일본어
6,손경자,033-453-3436,nji@example.net,친구,3,영어
7,최준서,032-387-6009,jeonghungang@example.com,친구,5,중국어
8,박예은,02-0783-9695,gimhyeonju@example.com,직장,6,일본어
9,김지혜,070-0226-4283,gimjia@example.net,친구,9,일본어
10,이영일,054-557-0148,vcoe@example.com,기타,8,중국어
11,김서윤,063-921-5104,yeongsun07@example.com,친구,5,중국어
12,김은서,011-203-0855,gimjunyeong@example.net,가족,12,영어
13,김아름,043-477-6969,jeongnamcoe@example.org,친구,1,한국어
14,구은경,053-283-9838,eunseo17@example.com,직장,12,일본어
15,심경수,062-839-3434,ijeonghyi@example.net,친구,3,한국어
16,류도현,042-750-5307,gyeongsu14@example.com,직장,4,영어
17,김예준,016-646-5237,seongmin67@example.com,친구,7,중국어
18,이경숙,061-005-4769,ggim@example.net,친구,9,중국어
19,손시우,043-443-0331,yejun57@example.com,친구,3,한국어
20,김하윤,044-695-7120,kseo@example.com,직장,8,영어
21,장정훈,042-659-7698,gimminseog@example.net,친구,8,한국어
22,김지은,017-523-3094,jnam@example.com,직장,3,영어
23,권현지,043-551-8534,jaehyeon31@example.org,친구,6,한국어
24,이광수,041-098-3836,xgim@example.com,친구,8,중국어
25,김수빈,043-474-5118,hyeonji44@example.com,가족,2,영어
26,김영환,032-622-8594,seoyeon96@example.net,기타,1,영어
27,이준서,054-868-4774,qi@example.com,가족,12,중국어
28,우영자,02-6208-8095,ygim@example.net,가족,11,영어
29,김지아,044-736-0138,sgim@example.org,친구,10,일본어
30,서민준,051-595-9438,minjunbaeg@example.org,친구,6,중국어
31,이지연,070-8443-9332,pgim@example.net,기타,6,한국어
32,김우진,064-743-8641,jihungu@example.org,기타,4,한국어
33,이서준,051-353-4362,seonyeongi@example.org,기타,8,영어
34,김경자,017-623-4265,hyejin68@example.com,직장,3,중국어
35,박미경,032-105-7122,seonghoheo@example.com,직장,1,영어
36,최정수,051-765-2971,qmun@example.org,기타,9,중국어
37,김영철,044-308-9000,siugim@example.org,직장,8,영어
38,송성민,062-347-5032,jeonghogang@example.net,가족,1,중국어
39,박영환,070-8022-3918,gimjia@example.org,가족,10,일본어
40,장승현,011-822-9818,coejiu@example.net,기타,4,일본어
41,배영철,010-0285-9855,sunja06@example.net,기타,10,중국어
42,주윤서,053-662-0038,zim@example.org,친구,5,한국어
43,박종수,017-433-4725,coeseunghyeon@example.org,기타,8,영어
44,윤영호,018-476-6783,rmun@example.net,친구,4,한국어
45,유명자,063-490-1462,godonghyeon@example.net,가족,7,한국어
46,한지연,011-716-2745,gimjunho@example.org,가족,3,일본어
47,박민서,052-007-3993,baegeunji@example.org,친구,12,일본어
48,김재현,02-0398-9721,bagseonghun@example.net,가족,6,중국어
49,이춘자,054-768-4275,hi@example.org,가족,4,한국어
50,심미영,055-909-3169,pcoe@example.com,가족,7,한국어
51,한성호,018-053-9461,yeongsun47@example.org,직장,10,중국어
52,황영식,064-771-1902,yi@example.net,친구,1,한국어
53,최지혜,053-564-2088,aan@example.com,가족,9,한국어
54,김수진,053-262-9763,minji35@example.com,직장,10,한국어
55,이동현,016-847-8474,bagseonghyeon@example.org,친구,9,영어
56,심영길,063-338-8741,minseo64@example.net,기타,10,중국어
57,노현지,062-968-4108,bagminjae@example.net,친구,1,중국어
58,김경숙,061-652-4146,li@example.net,친구,4,중국어
