profile_id,user_id,nickname,email,age,gender,location,job,height,education,religion,smoking,bio,search_radius,profile_image_url,view_count,estimated_duration
1,1,영진,jiyeonyun@example.net,25,남성,안양시,아나운서 및 리포터,156,대졸,천주교,비흡연자,Dolores tenetur molestias ea. Quae quaerat incidunt consectetur eum praesentium consequuntur. Fugit rerum ipsum expedita fuga adipisci.,[10],https://example.com/profile_1.jpg,3798,175
2,2,춘자,hmun@example.net,35,남성,평창군,단조원,184,고졸,기타,비흡연자,In placeat mollitia aut nostrum. A at ut repellendus culpa optio dolorem. Officia assumenda maxime molestiae vero praesentium pariatur impedit.,"[20, 20, 5, 20]",https://example.com/profile_2.jpg,5873,278
3,3,상현,jihyebaeg@example.org,40,여성,옥천군,기타 사육관련 종사원,162,대졸,불교,비흡연자,Quae fuga commodi inventore voluptates. Dicta sunt exercitationem mollitia error sed. Impedit consequatur provident dolores commodi quos.,[5],https://example.com/profile_3.jpg,2225,170
4,4,영식,junseogim@example.org,28,남성,수원시 영통구,철근공,179,고졸,무교,비흡연자,Totam blanditiis exercitationem deserunt ex ex eius sapiente. Ab unde voluptas.,"[15, 40, 40]",https://example.com/profile_4.jpg,348,255
5,5,승현,oeunji@example.net,23,여성,과천시,금형원,168,고졸,무교,흡연자,Expedita illum rerum commodi modi aliquam. Non qui voluptatibus nesciunt dolor. Molestias accusantium molestiae hic. Necessitatibus sit deleniti.,"[5, 20, 40, 15, 10]",https://example.com/profile_5.jpg,5830,147
6,6,지원,gangseungmin@example.com,27,여성,용인시,인문과학 연구원,158,고졸,무교,흡연자,Vel eum quos reprehenderit iure aut. Nemo ex aperiam quod autem vel itaque. Eius nemo blanditiis vitae possimus sit.,"[15, 15, 20, 10, 10]",https://example.com/profile_6.jpg,6131,239
7,7,하윤,ngweon@example.com,33,여성,성남시 중원구,소방공학 기술자 및 연구원,178,고졸,무교,흡연자,Nobis dolorem placeat officiis quis fuga ratione. Nihil ducimus necessitatibus molestias repellendus sed.,"[15, 15, 5, 30, 30]",https://example.com/profile_7.jpg,8626,101
8,8,성민,yujin70@example.com,38,남성,부천시 오정구,도배공 및 유리 부착원,150,대졸,기타,비흡연자,Quae dolor fugiat cumque nesciunt sequi dolor.,"[5, 20, 40, 40]",https://example.com/profile_8.jpg,3527,264
9,9,상훈,jeonghoo@example.org,24,여성,양평군,치과 의사,160,고졸,무교,비흡연자,Dolores eos facere alias non doloremque accusamus occaecati. Minima numquam praesentium.,"[30, 15]",https://example.com/profile_9.jpg,4735,291
10,10,상호,eunyeongsong@example.net,26,남성,김포시,여행상품 개발자,177,고졸,기타,비흡연자,Sapiente ex natus totam. Deleniti tempora praesentium.,"[5, 40, 10, 20, 20]",https://example.com/profile_10.jpg,8302,179
11,11,지영,sujin21@example.net,38,여성,용인시,기타 이미용/예식 및 의료보조 서비스 종사원,166,고졸,무교,비흡연자,"Consectetur natus vel deleniti quidem rerum. Excepturi consectetur ratione veniam dolore cumque.
Voluptatibus autem animi eaque atque aut unde error.","[10, 40, 20]",https://example.com/profile_11.jpg,4995,74
12,12,현준,caeweon36@example.org,34,남성,공주시,기타 금융 및 보험 관련 전문가,159,대학원졸,기독교,흡연자,"Dolorum eligendi voluptatum hic quam debitis. Asperiores odit laborum culpa libero.
Ipsam sequi ratione.","[20, 20, 15, 40]",https://example.com/profile_12.jpg,8612,28
13,13,준영,sumin69@example.net,37,여성,보령시,운송장비 조립원,176,대졸,기타,흡연자,Ab fugiat suscipit amet officiis sunt. Occaecati tenetur esse repellat sint. Ducimus architecto assumenda nostrum sequi.,"[15, 20]",https://example.com/profile_13.jpg,6318,27
14,14,미정,yeongceol05@example.net,30,여성,시흥시,석유 및 천연가스제조 관련 제어장치 조작원,161,대졸,무교,흡연자,Officiis molestias mollitia maiores laborum. Rerum aperiam at. Accusantium ducimus ad quam sapiente molestias unde id.,"[30, 20, 5, 40, 15, 10]",https://example.com/profile_14.jpg,1197,69
15,15,경희,minseog72@example.org,40,여성,남양주시,검표원,164,고졸,무교,흡연자,Quam culpa sint iusto recusandae pariatur exercitationem. Deserunt maiores ipsa sapiente molestiae cumque.,"[20, 20]",https://example.com/profile_15.jpg,3762,179
16,16,은정,rgim@example.net,30,남성,증평군,상/하수도 처리장치 조작원,164,대학원졸,무교,비흡연자,Magni maxime qui quibusdam adipisci expedita error. Fuga libero adipisci officia quae ipsa id.,"[15, 20, 10, 20]",https://example.com/profile_16.jpg,475,177
17,17,시우,jiyeong03@example.net,23,남성,평택시,냉/난방 관련 설비 조작원,185,고졸,천주교,흡연자,Laborum deleniti officiis iste dolor laboriosam omnis. Sunt nihil incidunt. Eaque eum est. Ipsam sequi beatae ipsam.,"[15, 15]",https://example.com/profile_17.jpg,2467,235
18,18,지혜,seoyeong05@example.com,20,여성,용인시 처인구,전기 부품 및 제품제조 기계조작원,151,대학원졸,무교,흡연자,Commodi quam aliquid delectus. Temporibus deserunt ipsam nulla quas a voluptates. Tempore doloremque in recusandae.,"[5, 40, 40, 20, 20, 40]",https://example.com/profile_18.jpg,100,49
19,19,성진,xbag@example.com,28,여성,성남시,환경 미화원 및 재활용품 수거원,187,대졸,천주교,흡연자,Id dolorum excepturi mollitia laboriosam unde. Eaque iste perspiciatis rem. Animi totam qui similique autem perferendis sunt nisi.,"[5, 20, 10, 30, 30]",https://example.com/profile_19.jpg,128,264
20,20,진우,ihaeun@example.net,37,남성,홍성군,국가/지방 및 공공행정 사무원,155,대졸,천주교,비흡연자,Praesentium rerum dolores repellendus pariatur quidem magni. Cumque dolorem quis reiciendis corrupti odit. Ut provident ipsum architecto ullam quasi.,"[40, 15, 5]",https://example.com/profile_20.jpg,7917,266
21,21,지아,simjunho@example.com,21,남성,홍성군,안경사,171,대졸,기타,비흡연자,"Totam enim consectetur ipsum. Aliquid dolorem consequatur quas.
Reiciendis voluptas perferendis. Iure tenetur consequatur quisquam.","[30, 40, 5, 20, 40, 30]",https://example.com/profile_21.jpg,4869,139
22,22,성현,munsanghyeon@example.net,36,남성,안성시,제관기 조작원,170,고졸,불교,흡연자,"Voluptas est soluta consectetur illum incidunt laborum.
Repellat fuga labore consectetur. Eos tenetur temporibus.","[5, 40, 30, 20, 30]",https://example.com/profile_22.jpg,8528,142
23,23,도현,ujingim@example.com,20,여성,평창군,운송관련 관리자,169,고졸,무교,흡연자,Ullam dolorum quae repudiandae. Expedita fugiat velit enim. Qui mollitia eligendi dolorem molestiae.,"[10, 5, 15]",https://example.com/profile_23.jpg,4461,141
24,24,정희,bagujin@example.net,24,남성,의정부시,과실 및 채소 관련 기계조작원,176,대졸,기독교,비흡연자,Alias harum culpa itaque. Recusandae occaecati quis. In quod itaque laudantium. Minus voluptas labore repellendus delectus iusto.,"[10, 40, 10, 15]",https://example.com/profile_24.jpg,655,76
25,25,영길,seonghunhong@example.net,40,여성,논산시,방수공,150,대졸,불교,흡연자,Debitis ipsum eius nihil repellendus. Explicabo neque ad illum. Eius quasi nobis praesentium.,"[10, 10, 20, 40, 30]",https://example.com/profile_25.jpg,9497,261
26,26,춘자,jangmisug@example.com,26,여성,부천시 오정구,전문 의사,174,고졸,불교,비흡연자,Vel non molestias. Recusandae esse hic iusto corporis.,[30],https://example.com/profile_26.jpg,8669,67
27,27,채원,gimminsu@example.org,33,여성,금산군,양식원,150,대졸,무교,비흡연자,Ratione maxime error voluptas earum magni error. Molestiae dolorem quo est necessitatibus fugiat.,"[15, 40, 40, 10]",https://example.com/profile_27.jpg,9375,122
