player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at,timezone,premium_status
1,eyang,yeongsungim@example.com,정남,29,838,213,60,1809,2024-10-16,Pacific/Efate,False
2,yujini,yejungim@example.com,경숙,84,859,384,269,855,2024-10-20,Europe/Skopje,False
3,sanghyeon60,yeongjinyang@example.org,예진,69,119,51,53,1744,2025-01-27,America/Paramaribo,True
4,mijeonggim,oi@example.net,영식,82,887,271,302,903,2023-06-13,America/La_Paz,True
5,yeongho15,ohayun@example.org,준영,61,249,462,245,2045,2023-06-18,Africa/Porto-Novo,False
6,gimmijeong,gimhayun@example.com,서현,84,539,229,286,2067,2024-03-25,Africa/Bujumbura,True
7,seojunyeong,gimjeongsig@example.net,준호,24,252,440,450,2304,2024-10-13,America/Tegucigalpa,False
8,sujin21,qbag@example.com,영수,49,971,244,351,918,2024-07-25,Europe/Minsk,False
9,jiweoncoe,yeeungim@example.org,은영,57,334,74,70,2436,2024-04-29,Africa/Freetown,True
10,yeongilgim,jihyeongim@example.org,윤서,36,867,185,89,1744,2023-08-14,Africa/Lusaka,False
11,seohyeon54,igim@example.org,준영,59,880,146,109,2203,2024-01-20,Africa/Mogadishu,True
12,jangmyeongsug,siugim@example.org,영호,77,790,119,252,2281,2024-12-11,Europe/Sofia,False
13,gwaggwangsu,jbaeg@example.net,지은,65,35,255,214,2088,2024-07-31,America/Havana,False
14,abag,yeonggil85@example.net,미영,1,755,489,129,2435,2024-04-03,Europe/Malta,False
15,sanghyeon57,jsong@example.net,성민,75,391,133,381,2145,2024-05-16,Europe/Lisbon,True
16,yeonggilcoe,zgim@example.com,준호,63,287,259,360,1985,2024-10-28,Asia/Bishkek,False
17,jangyeonggil,gyeongsugim@example.net,상호,84,754,156,256,1834,2024-10-02,Indian/Comoro,True
18,junhyeoghwang,gangseongjin@example.net,영환,87,364,88,96,1374,2024-09-25,America/St_Kitts,True
19,yejun49,li@example.com,선영,22,891,440,81,2186,2025-02-20,Pacific/Nauru,True
20,wsong,sangceolcoe@example.org,지훈,15,419,75,80,2065,2024-12-05,Africa/Dar_es_Salaam,True
21,yeongsigjeong,ogsuni@example.com,성수,99,748,146,445,1802,2025-04-22,Pacific/Tongatapu,False
22,yeeunson,wgim@example.net,우진,75,418,325,272,809,2025-02-26,America/El_Salvador,False
23,ijeongsug,simyeongsig@example.com,동현,12,607,67,460,1213,2025-05-24,Europe/Copenhagen,True
24,minjiyeong,yeongsug56@example.net,혜진,5,788,136,420,2236,2024-02-01,Africa/Banjul,False
25,byeongceol96,jeongjabag@example.org,민지,63,4,397,412,996,2024-01-01,Indian/Antananarivo,True
26,gno,yeongilo@example.org,우진,2,580,27,464,1509,2024-02-04,Africa/Bamako,False
27,miyeonghwang,baegyeongsug@example.net,진우,63,342,446,104,2318,2023-08-21,Africa/Malabo,True
28,yejun57,noseonyeong@example.com,지현,12,74,408,470,1199,2025-02-18,Asia/Yerevan,True
29,seongmin14,areumi@example.org,예진,67,122,93,187,1646,2023-07-04,America/Lima,False
30,yeongil17,gweonseoyun@example.org,현우,57,579,310,478,2500,2024-08-01,Asia/Brunei,True
31,fbaeg,yangjeongung@example.net,주원,16,393,76,45,1951,2024-01-09,Africa/Libreville,False
32,gimhayun,seoyeongsun@example.com,지현,76,202,470,13,1686,2023-10-24,Asia/Phnom_Penh,False
33,minjuncoe,jaeho83@example.org,채원,94,528,189,9,1252,2025-03-22,Asia/Baghdad,False
34,seongjin91,yeeuni@example.com,승민,21,714,186,82,1052,2023-08-24,Africa/Libreville,False
35,myeongja85,jeongja69@example.net,민수,38,815,135,493,1861,2024-02-12,Africa/Mbabane,False
36,minsuhan,tsim@example.org,아름,68,455,26,452,990,2025-02-28,Africa/Accra,True
37,byeongceol57,ygim@example.org,영미,3,47,43,248,1638,2023-06-23,Asia/Baghdad,True
38,bo,rgim@example.org,진우,85,676,350,57,1767,2024-10-20,Asia/Beirut,True
39,ujingim,gimdonghyeon@example.net,윤서,70,702,431,26,1356,2023-07-21,Africa/Accra,True
40,tjeong,yeongceol12@example.net,은서,29,850,230,380,1563,2023-09-08,Asia/Vientiane,True
41,hbag,zgweon@example.com,도현,79,775,430,485,2100,2025-05-25,Africa/Lome,True
42,hyeonsug31,heoseongmin@example.com,준서,36,549,45,425,1846,2023-09-03,Africa/Ceuta,False
43,gimeunju,ujin60@example.org,성호,74,630,440,178,1584,2023-08-01,Europe/Malta,True
44,gimdohyeon,bagjeongja@example.net,영수,79,858,471,199,1216,2024-11-19,Asia/Rangoon,True
45,gangdonghyeon,tha@example.org,경희,69,748,31,94,1964,2024-04-21,Africa/Ndjamena,False
46,iseonghun,gusangceol@example.org,정웅,85,542,339,330,906,2023-10-30,America/Barbados,True
47,sunog69,seojaehyeon@example.org,민재,68,507,263,192,2262,2024-07-08,Europe/Paris,True
48,ci,yeongceoli@example.net,승현,95,443,266,13,2013,2024-10-04,Asia/Makassar,False
49,seonghyeonhan,seongsujo@example.org,민지,84,547,413,473,1849,2024-04-04,Pacific/Guadalcanal,False
50,myeongsugbag,boram30@example.com,지훈,74,684,373,26,1151,2023-09-22,Europe/Vaduz,False
51,minsugim,dseong@example.org,영자,22,519,22,184,1744,2023-11-19,Asia/Tehran,False
52,yejigim,gimseoyun@example.org,정남,9,245,314,9,2006,2023-08-25,Asia/Bangkok,True
53,seoyeongbag,iminseo@example.net,영환,40,325,312,96,2230,2025-03-04,America/Tegucigalpa,False
54,jieuncoe,ljo@example.net,정남,64,238,12,197,1775,2024-07-19,Asia/Kashgar,False
55,ygim,di@example.org,영진,57,414,292,60,2387,2023-08-01,Africa/Kigali,True
56,gyeongjai,jingyeongsug@example.com,재호,62,471,169,64,2380,2024-10-09,America/Antigua,True
57,gimyeongmi,junyeongna@example.com,수진,30,12,157,269,1205,2024-02-04,Asia/Dili,True
