user_id,username,email,password,created_at,premium_status,last_login
1,sanghyeongo,wgweon@example.com,#iCEXn$ck4,2024-10-08,False,2025-05-19 19:25:36.070302
2,seoseongmin,yeongho06@example.org,K_@9!Zkt+u,2025-01-14,False,2025-05-26 00:25:17.101661
3,lgu,suminhan@example.org,ne_)$8FtNR,2024-09-04,False,2025-05-26 13:41:53.140306
4,gangseonghyeon,yangjeonghun@example.com,U_ad2bHn%V,2025-02-14,True,2025-05-11 14:05:26.103836
5,bagdoyun,sunog47@example.com,wAYVdrE!#8,2024-11-04,True,2025-06-02 03:13:46.924860
6,jiweon20,jimin22@example.net,8Jvj#2Qw8^,2025-03-15,False,2025-05-19 16:42:39.258475
7,aheo,gimeunseo@example.com,@7Iv9D1FU(,2025-03-14,True,2025-05-24 23:37:21.299964
8,gyeongja24,jimin11@example.com,(UfM8Xqww6,2025-05-07,True,2025-05-05 09:09:36.171230
9,baghyeonsug,dohyeoni@example.com,y_4QqQabGn,2024-07-03,True,2025-05-12 12:21:45.412860
10,junhyeogi,bagseungmin@example.com,NUGJ0d$#@2,2025-03-31,True,2025-05-10 13:37:20.403088
11,lbag,gimgyeonghyi@example.org,F5By7Hil_p,2025-03-20,True,2025-05-31 11:00:40.118391
12,ijimin,byeongceoli@example.org,BY248z1h8#,2025-04-22,False,2025-05-29 06:42:52.717224
13,vgim,caminsu@example.com,e4EhOwC7$e,2024-12-13,False,2025-05-06 08:53:30.045536
14,ogjagim,vgim@example.org,(yDxTm3u4d,2024-10-31,False,2025-05-18 18:11:00.138994
15,seongsu13,mijeong22@example.com,0f5NnPI7*9,2025-05-20,False,2025-05-05 16:57:53.200335
16,ujini,gyeongsug15@example.com,$(V1Cpl50l,2024-12-01,True,2025-05-24 10:38:57.599848
17,gimhyeonji,rmun@example.com,#_AWMct!I8,2024-07-26,False,2025-05-27 07:00:46.045154
18,han,dohyeon00@example.com,&FJQ!9VgsX,2024-06-01,False,2025-05-14 20:30:03.733677
19,junyeong72,yeongsug03@example.com,@ZH%$Nhe0v,2024-07-29,False,2025-05-14 21:36:58.849371
20,gweonyeongsug,gimjunhyeog@example.com,2Ro2TsZ1!K,2025-03-17,False,2025-05-29 12:13:07.343627
21,mgim,yeji00@example.com,P9qxGYFj*E,2024-12-05,False,2025-05-18 01:39:22.790416
22,ggim,gimsugja@example.org,$#kEaZvK49,2025-02-09,True,2025-05-25 23:44:06.177963
23,myeongsug44,seongsuhwang@example.net,%e!G6gKbCj,2024-08-10,False,2025-05-29 08:37:33.881705
24,seonyeonggim,qgim@example.org,2IfqY7PyO+,2025-01-17,True,2025-05-24 10:52:02.806417
25,bagsanghyeon,jongsu47@example.org,c1(DV@LR(L,2024-09-13,True,2025-05-16 13:58:36.095563
26,vyang,seonghogim@example.com,t(+gvWlN*7,2024-11-23,False,2025-05-17 12:47:54.048773
27,yuyunseo,iminseog@example.com,(80RYhE2J6,2025-05-11,False,2025-05-30 20:07:35.491070
28,yangjihyeon,iseongho@example.net,@8EW54Ufg#,2024-07-09,True,2025-05-14 06:25:46.132012
29,isunog,misugi@example.com,S%6VAHdcNV,2024-06-15,True,2025-05-04 22:12:44.062383
30,ogsun06,haeuni@example.org,k#^5KTu(pS,2025-05-26,False,2025-05-17 04:12:45.562185
31,jihye84,cbag@example.com,6CXbY2Mm9(,2025-05-23,False,2025-05-06 23:24:29.882180
32,jeongsughwang,li@example.org,7%6jI4FAyq,2024-07-28,False,2025-05-12 15:17:29.426474
33,cryu,areumgim@example.com,*nYJ0nOhq4,2025-03-26,False,2025-05-03 04:43:01.141138
34,iseongmin,gyeongsui@example.org,&dy1WBefXq,2024-12-10,False,2025-05-27 12:57:22.122370
35,rcoe,jihuni@example.org,Fc3oCKz3!n,2024-09-14,True,2025-05-22 12:35:42.857116
36,dan,gimhyeonju@example.org,!PU7!sXr_P,2024-11-09,False,2025-05-27 14:47:24.229831
37,ujang,bi@example.com,Dz2DrwwHl&,2024-07-26,False,2025-05-25 22:58:39.617616
38,yeongceol01,gimdohyeon@example.org,*D2oBw5R5y,2024-11-16,True,2025-05-29 12:53:06.517927
39,gwangsu35,eunjeonggim@example.com,ibK2XITU^0,2025-05-04,True,2025-05-27 17:29:49.205214
40,hongbyeongceol,gimjunyeong@example.net,)wEEL0j!5+,2025-01-03,False,2025-05-22 13:12:05.990927
41,yeongsun99,agim@example.com,R7qYN!UB(r,2025-03-18,False,2025-06-01 15:52:15.004264
42,seoyeonbag,ahwang@example.com,%2J)MbMx*4,2025-01-31,True,2025-05-15 15:44:30.212265
43,gimyeongil,gimjaeho@example.com,*BXIMd9Y8_,2025-05-26,False,2025-05-30 06:30:45.302989
44,vna,seoyeon00@example.org,E&3qy9avSB,2024-11-29,True,2025-05-03 02:37:17.460406
45,eunju76,dgim@example.net,u7SiEGlH+%,2024-11-08,False,2025-05-17 07:33:24.645796
46,sinseojun,jaehyeon23@example.com,#*3FqJUuZ_,2024-07-09,True,2025-05-28 02:04:13.863859
47,seonghun56,sbag@example.com,)U09YmQp#p,2024-07-05,False,2025-05-05 17:08:58.406924
