profile_id,user_id,nickname,email,age,gender,location,job,height,education,religion,smoking,bio,search_radius,profile_image_url
7,7,하윤,ngweon@example.com,33,여성,성남시 중원구,소방공학 기술자 및 연구원,178,고졸,무교,흡연자,Nobis dolorem placeat officiis quis fuga ratione. Nihil ducimus necessitatibus molestias repellendus sed.,"[15, 15, 5, 30, 30]",https://example.com/profile_7.jpg
113,113,춘자,iseonghun@example.com,37,남성,공주시,건축 석공,186,대졸,무교,흡연자,Vero provident veniam est. Hic aliquam ea voluptatum aperiam accusantium maxime.,"[10, 10, 10, 20, 30]",https://example.com/profile_113.jpg
101,101,선영,zgim@example.com,31,남성,동해시,이용사,162,대학원졸,기독교,흡연자,Dicta fuga maxime delectus tempore aliquam. Nemo inventore quos facilis.,"[30, 5, 5]",https://example.com/profile_101.jpg
3,3,상현,jihyebaeg@example.org,40,여성,옥천군,기타 사육관련 종사원,162,대졸,불교,비흡연자,Quae fuga commodi inventore voluptates. Dicta sunt exercitationem mollitia error sed. Impedit consequatur provident dolores commodi quos.,[5],https://example.com/profile_3.jpg
64,64,도윤,jeonghungim@example.com,37,남성,청양군,기타 전기/전자기기 설치 및 수리원,167,대졸,무교,흡연자,Culpa beatae mollitia iste expedita dolores. Distinctio ducimus voluptatibus. Adipisci vero alias consequatur error.,"[10, 40]",https://example.com/profile_64.jpg
55,55,정희,minseo50@example.org,27,남성,남양주시,세탁원 및 다림질원,181,대졸,기타,흡연자,Eveniet similique in quo sint enim. Corrupti sint nobis eaque voluptate nulla.,"[30, 40]",https://example.com/profile_55.jpg
127,127,은경,yeonghyigim@example.net,23,남성,부천시 소사구,특수교육 교사,181,고졸,기타,비흡연자,"Suscipit dolore animi soluta.
Rem odit rem architecto libero. Id doloremque beatae possimus.","[20, 5, 15, 20, 40]",https://example.com/profile_127.jpg
51,51,우진,yujingim@example.com,39,여성,김포시,철로 설치 및 보수원,158,고졸,불교,흡연자,Cupiditate tenetur magnam. Libero tempora dolorem voluptates cumque voluptatem tenetur dignissimos. Accusantium debitis animi odio officiis.,"[5, 10]",https://example.com/profile_51.jpg
116,116,예준,yeweongim@example.org,25,여성,철원군,직조기 및 편직기 조작원,161,대졸,무교,비흡연자,Natus eaque enim officiis quia similique.,"[30, 10]",https://example.com/profile_116.jpg
47,47,상철,gimmyeongsug@example.net,39,남성,속초시,기타 이미용/예식 및 의료보조 서비스 종사원,152,대졸,천주교,비흡연자,Nesciunt odio nisi neque nihil soluta. Doloribus officiis facere natus. Iste id consequatur eos neque perspiciatis.,"[15, 20, 5, 10, 30]",https://example.com/profile_47.jpg
140,140,옥자,sangho91@example.net,29,여성,안양시 만안구,정육원 및 도축원,155,대졸,기타,흡연자,Culpa illo quia. Vero cum temporibus maxime nemo quasi deserunt.,"[10, 20]",https://example.com/profile_140.jpg
62,62,현주,seongmini@example.com,20,남성,고성군,문리 및 어학 강사,172,대학원졸,무교,흡연자,Reprehenderit aliquid reiciendis. Commodi voluptas pariatur voluptatum.,[20],https://example.com/profile_62.jpg
148,148,동현,seonghobag@example.net,24,남성,김포시,상품 대여원,182,대졸,불교,비흡연자,Ipsum est aliquam. Doloribus labore enim iure fugiat pariatur nostrum. Nobis unde illo culpa. Non suscipit quia veniam libero.,"[5, 15, 40, 15, 5, 30]",https://example.com/profile_148.jpg
80,80,재호,vi@example.net,22,여성,고양시,방사선사,180,대학원졸,무교,흡연자,Nemo illo soluta nesciunt explicabo officia aut. Nihil dolor fugit explicabo.,"[15, 30]",https://example.com/profile_80.jpg
60,60,정희,hyeonjigim@example.com,21,여성,괴산군,컴퓨터 하드웨어 기술자 및 연구원,176,대졸,천주교,비흡연자,Voluptate soluta occaecati maiores error explicabo similique corporis.,"[15, 10, 15, 5, 30, 40]",https://example.com/profile_60.jpg
92,92,준서,gimgwangsu@example.net,26,여성,청주시 흥덕구,결혼 상담원 및 웨딩플래너,189,대졸,불교,흡연자,Sit deserunt dolorem numquam voluptas. Sed dicta corporis praesentium ipsam recusandae repellat rem. Aspernatur amet laudantium molestiae.,"[20, 15, 20, 15, 30]",https://example.com/profile_92.jpg
42,42,영진,cgim@example.com,30,여성,천안시 서북구,큐레이터 및 문화재 보존원,150,고졸,기타,흡연자,Veniam quasi libero delectus in quam illum. Asperiores magni necessitatibus eligendi commodi maxime tempora.,"[30, 10, 10, 40]",https://example.com/profile_42.jpg
59,59,정남,lyun@example.org,29,남성,안양시 동안구,관세사,160,대졸,기타,비흡연자,Sequi adipisci non aliquam libero. Aliquid voluptatem quidem deleniti dicta incidunt.,"[20, 10]",https://example.com/profile_59.jpg
91,91,수진,seoyeong01@example.org,23,여성,속초시,광석 및 석제품 가공기 조작원,159,대학원졸,기타,흡연자,Aperiam culpa dolorem aspernatur. Eligendi amet inventore. Voluptatum voluptates repudiandae numquam incidunt.,"[40, 5, 5]",https://example.com/profile_91.jpg
49,49,서연,wi@example.net,22,여성,평창군,텔레마케터,153,대졸,기독교,비흡연자,Impedit iusto quidem esse eos. Ullam numquam exercitationem ipsam sit tenetur veritatis.,"[15, 30, 15, 15, 15]",https://example.com/profile_49.jpg
