user_id,phone,created_at,auth_status,subscription_type
1,070-2287-5342,2025-03-22 04:48:57.179489,인증대기,VIP
2,041-040-7644,2025-02-07 14:14:33.045792,미인증,골드
3,070-6856-5166,2025-04-25 20:07:54.746663,인증대기,무료
4,018-898-3415,2025-05-19 08:06:50.508405,인증완료,골드
5,033-542-8097,2025-01-03 03:12:49.035706,인증완료,프리미엄
6,070-5409-1024,2025-03-31 08:44:01.378864,미인증,무료
7,033-948-7045,2025-04-15 22:06:46.606823,인증완료,VIP
8,032-665-8642,2025-05-21 15:26:04.932478,인증대기,프리미엄
9,044-194-9914,2024-12-20 01:44:52.972294,인증완료,무료
10,064-788-3068,2025-01-04 13:21:17.844462,미인증,VIP
11,010-2783-4370,2025-04-28 11:25:19.637856,인증완료,골드
12,055-254-0677,2024-12-14 20:50:29.589298,인증완료,프리미엄
13,054-886-8442,2025-05-03 12:31:51.973480,인증대기,무료
14,010-5204-5741,2025-01-05 17:43:24.498602,미인증,프리미엄
15,032-608-1675,2025-04-14 09:40:59.307191,미인증,VIP
16,010-2573-5604,2025-04-15 01:25:20.739190,인증완료,VIP
17,032-271-2306,2025-01-03 11:33:00.369041,인증대기,프리미엄
18,062-323-4026,2025-02-03 02:14:17.908061,인증완료,골드
19,054-713-6775,2024-12-05 02:49:47.770061,인증완료,VIP
20,043-637-3118,2025-03-27 12:15:26.442382,인증완료,무료
21,017-962-1137,2025-03-18 14:14:01.961379,인증완료,무료
22,011-748-4156,2025-03-17 01:16:44.079880,인증완료,무료
23,053-757-5860,2025-04-28 01:36:36.616977,인증대기,무료
24,011-515-4092,2025-01-30 19:51:22.600635,미인증,무료
25,042-727-4025,2025-05-12 01:59:48.505211,인증대기,프리미엄
26,032-082-7284,2024-12-02 04:46:19.594711,미인증,골드
27,032-672-0945,2025-01-16 11:50:00.496810,미인증,VIP
28,016-135-6146,2024-12-10 04:18:34.692701,인증대기,프리미엄
29,053-285-3173,2025-01-07 07:09:35.088553,미인증,VIP
30,017-862-7597,2025-05-27 06:06:03.839658,미인증,골드
31,019-863-1522,2025-03-30 15:33:38.664317,미인증,골드
32,070-3124-9970,2025-04-21 05:18:32.170893,인증완료,골드
33,018-008-3429,2025-05-26 05:47:05.733942,미인증,무료
34,02-5731-1903,2025-01-04 02:49:49.740204,미인증,골드
35,054-938-2440,2024-12-19 17:14:35.348034,인증완료,프리미엄
36,070-2912-2926,2025-03-25 15:57:09.087716,인증완료,무료
37,044-839-8480,2025-04-20 04:56:00.245996,미인증,프리미엄
38,052-471-3382,2025-04-11 10:59:55.836972,인증완료,프리미엄
