user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at
74,052-862-1636,인증완료,무료,True,0,2024-11-20 08:35:02.067799,2025-05-06 17:25:28.819932
19,054-713-6775,인증완료,VIP,False,2,2025-04-14 12:55:32.160311,2024-12-05 02:49:47.770061
119,064-700-0233,인증대기,무료,False,2,2024-09-22 14:04:53.715683,2024-12-20 23:24:15.911592
79,02-2912-0056,인증완료,무료,False,0,2025-03-09 05:07:44.773776,2025-01-25 18:58:47.259604
77,033-447-4845,인증대기,프리미엄,True,0,2025-01-20 03:07:55.355716,2024-12-03 06:09:16.350441
32,070-3124-9970,인증완료,골드,False,0,2024-10-14 04:00:25.734026,2025-04-21 05:18:32.170893
65,010-4615-5275,인증대기,프리미엄,False,3,2024-09-23 21:56:42.063782,2024-12-22 19:15:45.565039
142,043-668-9603,인증대기,골드,False,2,2025-03-16 20:42:01.019592,2025-03-11 05:56:29.541863
69,070-4562-6300,인증완료,VIP,True,1,2025-01-03 11:18:28.767432,2025-04-22 19:25:51.095046
83,052-553-4984,인증대기,VIP,True,2,2024-12-05 23:39:56.339472,2025-04-21 07:17:57.079791
111,043-181-1880,인증대기,VIP,False,1,2025-01-29 01:24:42.868830,2025-01-25 05:27:31.043365
13,054-886-8442,인증대기,무료,False,1,2025-01-16 21:38:34.282622,2025-05-03 12:31:51.973480
37,044-839-8480,미인증,프리미엄,True,2,2024-06-08 19:49:42.612039,2025-04-20 04:56:00.245996
10,064-788-3068,미인증,VIP,False,1,2024-06-21 10:22:39.730373,2025-01-04 13:21:17.844462
20,043-637-3118,인증완료,무료,False,0,2024-07-22 12:30:58.366824,2025-03-27 12:15:26.442382
57,016-093-0492,인증완료,VIP,True,0,2024-11-14 06:07:45.693436,2025-05-04 18:19:42.776233
105,044-628-0411,인증완료,골드,True,1,2024-11-24 04:29:13.819894,2025-02-10 06:53:52.272978
70,070-1982-6203,미인증,무료,True,2,2024-07-01 16:52:36.220103,2025-05-02 17:46:01.292340
56,052-844-9245,인증완료,프리미엄,False,3,2024-08-29 21:49:18.938764,2025-04-24 14:08:01.622677
133,063-838-1408,인증대기,무료,True,2,2025-04-05 09:35:48.608301,2025-02-19 17:13:46.360899
30,017-862-7597,미인증,골드,False,3,2024-08-18 23:24:44.104049,2025-05-27 06:06:03.839658
128,02-2350-3374,인증완료,무료,False,0,2024-07-23 14:45:06.392506,2024-12-13 18:13:51.380225
27,032-672-0945,미인증,VIP,False,1,2025-01-15 09:33:56.413094,2025-01-16 11:50:00.496810
129,064-745-9402,인증대기,무료,False,3,2024-12-22 02:54:46.467309,2025-02-15 22:52:15.554488
132,054-234-2116,인증완료,골드,False,3,2025-05-26 15:27:22.891719,2025-03-27 00:53:22.237145
146,033-081-3563,인증완료,무료,False,1,2024-08-18 01:27:52.186046,2025-04-22 16:01:58.174733
109,02-5878-6993,미인증,무료,False,3,2024-11-10 18:04:36.202999,2025-02-27 01:40:56.596809
144,061-774-8418,인증완료,프리미엄,True,1,2024-09-17 12:25:48.595861,2024-12-24 16:41:50.189952
46,052-083-8623,인증대기,프리미엄,True,0,2024-11-28 19:29:51.286550,2025-02-07 21:39:08.248761
31,019-863-1522,미인증,골드,False,3,2025-05-23 06:04:04.735427,2025-03-30 15:33:38.664317
23,053-757-5860,인증대기,무료,False,1,2025-05-10 18:20:32.150318,2025-04-28 01:36:36.616977
16,010-2573-5604,인증완료,VIP,False,0,2025-01-04 20:45:55.091410,2025-04-15 01:25:20.739190
66,044-470-6360,인증대기,VIP,True,0,2025-01-14 18:58:12.387789,2025-03-31 06:15:17.555673
12,055-254-0677,인증완료,프리미엄,True,0,2024-06-16 01:43:27.787099,2024-12-14 20:50:29.589298
43,063-638-8097,인증대기,골드,True,1,2024-07-09 10:30:05.469774,2025-03-28 14:24:06.905433
147,041-289-6541,인증대기,골드,False,2,2024-10-28 16:59:28.910441,2025-03-30 14:43:02.811315
52,043-143-6254,미인증,무료,False,1,2025-04-03 22:10:14.521324,2024-12-30 14:13:56.911767
28,016-135-6146,인증대기,프리미엄,False,2,2024-11-22 12:32:38.245301,2024-12-10 04:18:34.692701
5,033-542-8097,인증완료,프리미엄,False,3,2024-08-30 17:58:36.636756,2025-01-03 03:12:49.035706
33,018-008-3429,미인증,무료,False,3,2024-08-01 07:25:16.637960,2025-05-26 05:47:05.733942
143,061-003-4619,미인증,프리미엄,False,2,2025-02-04 19:48:59.805992,2025-05-19 08:00:13.968611
86,010-0837-4994,인증완료,프리미엄,False,1,2025-03-30 01:06:58.827673,2025-05-17 10:24:38.137921
87,02-3138-2914,인증완료,골드,False,2,2024-12-20 00:22:05.715743,2024-12-15 22:02:41.638182
17,032-271-2306,인증대기,프리미엄,False,0,2025-03-30 09:38:13.204216,2025-01-03 11:33:00.369041
11,010-2783-4370,인증완료,골드,False,0,2024-08-11 07:57:58.351295,2025-04-28 11:25:19.637856
82,052-229-6730,인증대기,프리미엄,False,1,2024-07-05 20:47:45.034702,2024-12-05 00:42:21.398013
134,018-256-2820,미인증,무료,True,3,2024-08-12 06:37:09.905087,2025-03-29 14:50:14.440190
138,011-803-4523,인증대기,골드,False,0,2025-03-17 23:40:10.006454,2025-01-23 00:40:12.629529
76,016-758-0028,미인증,골드,False,1,2024-11-03 00:21:03.359664,2025-04-06 21:11:53.957919
110,051-216-7194,미인증,VIP,False,2,2025-05-02 16:52:32.073877,2024-12-19 15:19:28.304936
97,052-025-0452,인증대기,VIP,False,2,2024-08-04 04:24:07.137660,2025-04-10 17:36:27.060251
106,02-2170-2406,인증대기,프리미엄,True,2,2025-03-03 08:08:06.429892,2025-04-25 14:27:50.619262
67,011-364-5176,미인증,골드,False,0,2025-01-05 23:54:44.241513,2025-01-07 17:43:10.274713
1,070-2287-5342,인증대기,VIP,False,1,2024-11-30 23:07:46.910229,2025-03-22 04:48:57.179489
123,019-747-0676,인증대기,골드,False,3,2025-05-25 12:24:14.097695,2025-05-20 07:58:19.498329
68,053-481-0739,미인증,VIP,False,3,2024-11-12 17:20:15.862249,2025-04-02 18:00:53.252613
29,053-285-3173,미인증,VIP,False,3,2024-06-15 07:24:12.664396,2025-01-07 07:09:35.088553
41,041-535-8223,미인증,프리미엄,False,2,2024-08-02 22:04:12.573272,2024-12-31 19:11:38.445077
45,011-901-0200,인증완료,프리미엄,True,2,2025-02-11 23:53:28.419546,2025-02-25 13:00:52.008964
61,016-340-1472,인증완료,무료,False,0,2025-03-09 10:06:15.558431,2025-02-03 14:17:23.440623
124,062-379-3189,인증완료,프리미엄,False,3,2025-01-24 15:05:21.107380,2025-01-01 11:55:45.750829
25,042-727-4025,인증대기,프리미엄,True,0,2025-05-11 20:30:11.568265,2025-05-12 01:59:48.505211
26,032-082-7284,미인증,골드,False,0,2025-04-12 20:23:37.088222,2024-12-02 04:46:19.594711
24,011-515-4092,미인증,무료,False,3,2025-01-08 08:20:28.980385,2025-01-30 19:51:22.600635
95,010-6752-1866,미인증,프리미엄,True,0,2024-12-21 04:09:40.569523,2025-03-12 03:50:52.162558
40,032-249-5041,인증대기,골드,False,3,2024-06-25 01:00:39.783736,2024-12-09 10:50:10.380557
96,070-1123-7513,인증대기,골드,False,0,2025-04-02 08:05:11.308949,2025-04-09 06:28:21.738869
118,054-820-3735,미인증,골드,True,2,2024-11-20 23:43:03.285476,2025-05-17 04:28:38.294180
48,019-374-3830,미인증,프리미엄,False,0,2024-06-09 20:56:25.705955,2025-04-08 21:38:53.162886
98,061-678-6218,인증대기,골드,False,1,2025-02-14 06:37:17.941944,2025-01-20 13:23:15.530445
114,042-529-9589,인증대기,무료,True,0,2024-12-12 05:08:51.481032,2025-01-16 14:36:00.161903
34,02-5731-1903,미인증,골드,True,2,2024-10-18 00:44:38.787760,2025-01-04 02:49:49.740204
139,011-896-7160,인증완료,프리미엄,False,0,2025-03-04 15:19:07.441293,2025-05-26 13:14:15.919698
102,031-396-0065,인증완료,골드,True,1,2024-11-24 17:25:21.167341,2025-05-22 16:59:22.194492
63,02-9558-3042,미인증,무료,False,2,2024-10-08 05:34:01.796679,2025-05-20 01:49:04.615556
85,017-202-9952,미인증,무료,False,0,2024-09-05 22:09:18.413774,2024-12-12 21:42:57.356730
149,016-709-7137,인증완료,무료,False,2,2025-04-17 13:33:15.898579,2024-12-28 10:20:23.692827
54,032-167-0457,인증완료,골드,False,1,2025-05-04 05:33:21.012446,2025-06-02 06:02:12.507304
6,070-5409-1024,미인증,무료,False,0,2025-05-15 10:45:22.230451,2025-03-31 08:44:01.378864
94,043-528-6042,미인증,골드,True,1,2024-08-27 13:53:33.735023,2025-04-10 21:46:48.981744
112,063-158-5181,인증대기,골드,False,1,2025-04-20 15:33:06.439510,2025-03-26 03:35:44.048700
50,018-063-1163,미인증,VIP,False,1,2025-01-03 19:43:47.981240,2024-12-28 00:19:57.189217
36,070-2912-2926,인증완료,무료,False,3,2025-03-23 09:42:44.959263,2025-03-25 15:57:09.087716
81,011-468-6190,미인증,프리미엄,False,0,2024-06-13 20:15:13.098711,2025-04-22 12:12:26.544501
78,017-399-6067,미인증,VIP,False,0,2024-07-27 05:10:52.260272,2025-01-09 00:21:00.982435
35,054-938-2440,인증완료,프리미엄,False,2,2025-06-01 15:42:20.173097,2024-12-19 17:14:35.348034
115,02-6125-5290,인증완료,프리미엄,False,2,2024-09-15 12:01:48.970287,2025-01-21 18:08:49.041674
8,032-665-8642,인증대기,프리미엄,True,1,2024-07-05 20:14:37.053626,2025-05-21 15:26:04.932478
44,041-537-1580,인증대기,무료,True,1,2025-03-03 22:42:22.943080,2025-03-10 13:39:22.744334
71,043-207-6699,인증대기,무료,True,3,2024-06-06 02:52:41.277661,2025-01-28 20:14:53.699521
99,016-758-0388,인증완료,프리미엄,False,2,2025-01-07 00:31:36.544248,2025-04-25 09:04:27.682122
121,018-177-5318,미인증,무료,False,2,2024-07-01 21:45:41.687814,2025-03-11 19:30:56.332279
84,054-023-1815,미인증,VIP,True,3,2024-07-10 05:44:30.030499,2025-05-08 17:27:37.325503
135,018-544-1084,인증대기,골드,True,1,2024-06-05 13:19:45.566730,2025-05-30 21:12:23.020947
136,062-248-1416,인증완료,골드,False,1,2024-12-10 00:04:37.928251,2025-04-26 06:04:19.696527
90,010-8924-0827,인증완료,골드,True,2,2024-09-09 15:43:18.975552,2025-01-07 20:26:30.747837
9,044-194-9914,인증완료,무료,True,2,2025-03-25 06:19:47.001181,2024-12-20 01:44:52.972294
14,010-5204-5741,미인증,프리미엄,True,1,2024-08-29 02:41:08.656354,2025-01-05 17:43:24.498602
120,054-166-2308,인증완료,무료,False,1,2024-07-26 23:30:11.851153,2025-01-23 07:35:40.003061
126,064-779-8732,인증완료,VIP,True,2,2024-06-06 10:33:52.567676,2025-05-01 21:58:14.607267
4,018-898-3415,인증완료,골드,True,0,2024-08-12 19:11:21.055262,2025-05-19 08:06:50.508405
18,062-323-4026,인증완료,골드,False,0,2024-08-15 05:08:22.111311,2025-02-03 02:14:17.908061
39,044-506-9557,미인증,VIP,False,0,2025-02-17 16:39:41.464369,2025-04-05 02:57:33.211911
73,044-625-9493,인증완료,프리미엄,True,3,2024-11-21 18:15:33.325114,2025-04-23 23:53:47.651019
137,053-248-3788,미인증,무료,False,2,2025-03-16 05:18:06.837082,2025-05-01 05:53:45.510782
