detail_id,contact_id,address,birthday,company,job,notes,favorite
1,1,광주광역시 중랑구 논현323거리 316-23 (경자문권동),1963-05-18,(주) 강김장,학습지 및 방문 교사,In sit assumenda itaque repellat. Voluptas ducimus sequi facilis beatae eum corrupti.,아니오
2,2,경기도 하남시 테헤란로 589,1999-11-25,주식회사 이,보육 교사,Molestias veritatis sit.,예
3,3,울산광역시 성북구 가락022로 460,1967-12-28,주식회사 이이한,목제품 제조관련 종사원,Quas tempore perferendis reiciendis nobis iure nulla.,아니오
4,4,충청남도 청주시 상당구 백제고분512길 173-16,1959-01-11,(유) 김심김,기타 사육관련 종사원,Ab odio soluta eaque natus amet in libero. Nisi corporis aliquam quaerat nemo ad.,아니오
5,5,충청북도 광명시 백제고분5길 953,1986-05-07,박황,자동차 정비원,Adipisci non animi qui officia maiores. Esse doloribus delectus nihil ab commodi.,예
6,6,경기도 여주시 양재천길 618-75,2001-11-29,(유) 이,건설 및 광업 단순 종사원,Aliquam eaque hic debitis. Dolores repellat ipsa harum dolorum mollitia.,아니오
7,7,경상북도 구리시 개포로 47,1981-12-06,박김백,기타 공학관련 기술자 및 시험원,Consequuntur aliquid corrupti odit. Officiis modi in nulla.,아니오
8,8,전라남도 괴산군 테헤란가 982-43 (진호김안마을),1964-06-14,주식회사 김,영양사,Beatae eveniet doloremque recusandae sint. Molestias quidem laudantium aspernatur.,아니오
9,9,인천광역시 영등포구 논현가 261 (병철김이읍),1989-04-13,서강이,시스템 소프트웨어 개발자,Reprehenderit officia facilis. Suscipit a sit est.,아니오
10,10,전라남도 용인시 기흥구 압구정가 651 (성진김홍동),1944-07-05,김이류,환경공학 시험원,Corporis fuga qui qui perspiciatis animi. Quibusdam quia quisquam fugit omnis illo.,예
11,11,인천광역시 서초구 논현2로 538 (영일최읍),1988-12-31,안김이,과실 및 채소 관련 기계조작원,Iusto aliquid at. Accusamus rem perspiciatis. Aliquid magnam molestias vel tenetur.,아니오
12,12,인천광역시 관악구 가락길 960-25,1987-09-28,김문최,과실 및 채소 관련 기계조작원,Vel quibusdam officiis quia perferendis. Sed ducimus expedita optio eveniet tempore.,아니오
13,13,광주광역시 강남구 서초대가 419 (은서이동),1974-06-19,김김,응용 소프트웨어 개발자,Praesentium voluptate quisquam laborum. Magnam nobis accusantium voluptatibus itaque.,예
14,14,광주광역시 성북구 반포대길 2 (경희손최마을),1982-06-13,김김김,웹 개발자,Voluptate culpa nam ab. Quam ratione vitae minima deserunt.,아니오
15,15,강원도 시흥시 논현거리 469 (민재허황면),1973-09-13,유한회사 이,인쇄기 조작원,"Accusamus ipsum dicta totam.
Dolorum at ipsum placeat fugit. Nisi nobis laborum doloremque.",아니오
16,16,부산광역시 남구 언주로 462 (경숙권리),2010-01-06,김류,통신 및 방송송출 장비 기사,Laboriosam excepturi voluptates consectetur sapiente. Provident fuga est voluptas.,아니오
17,17,충청남도 안산시 잠실9거리 469 (옥순김장동),1991-01-27,이안,법무사 및 집행관,Nulla ea quae inventore quis esse placeat. Autem est perspiciatis quidem nihil nobis.,아니오
18,18,경상남도 영동군 서초중앙가 53 (주원황김읍),1963-02-07,유한회사 곽안홍,소방공학 기술자 및 연구원,"Eum molestiae in aut nulla eveniet.
Enim laboriosam odit perferendis nihil. Omnis dolores debitis.",아니오
19,19,울산광역시 용산구 석촌호수거리 14-5 (옥자김윤동),1947-03-21,(주) 박김이,무역 사무원,Doloremque aperiam iure recusandae quod. Ab et nam minima. Eaque sapiente debitis nam.,예
20,20,대전광역시 마포구 논현3가 714,1970-04-21,주식회사 이김이,바텐더,Commodi nihil officia. Aperiam ex earum id ipsa reprehenderit id.,예
21,21,전라남도 용인시 기흥구 영동대가 654-56 (하윤이박리),1974-09-03,김장김,응용 소프트웨어 개발자,Beatae vero sed. Quidem minima nihil eligendi.,예
22,22,제주특별자치도 용인시 처인구 언주0가 713-11,1970-02-20,이장,기타 전기/전자기기 설치 및 수리원,Culpa soluta aspernatur. Alias aut qui accusantium fugiat. Sit ab ipsum iusto provident.,예
23,23,전라남도 수원시 영통구 언주1로 490 (선영유이리),1949-09-04,(주) 최,택시 운전원,Tempore sunt nulla id numquam earum sunt distinctio. Doloremque facere similique ullam nisi dolore.,아니오
24,24,경기도 수원시 영통구 서초중앙로 900-55 (경희최배마을),2000-08-18,유한회사 장강김,상점 판매원,Ea nihil ratione distinctio. Nostrum beatae aliquam error inventore.,예
25,25,대구광역시 동대문구 백제고분606로 528,1988-08-31,황김박,기타 금융 및 보험 관련 전문가,Porro nihil nesciunt cumque impedit pariatur. Nisi accusamus ut voluptate.,아니오
26,26,울산광역시 양천구 가락1길 지하171 (지혜이마을),1977-08-14,이이,건축가 및 건축공학 기술자,Dignissimos quis enim dolores. Sed natus modi perferendis quia.,아니오
27,27,울산광역시 강서구 백제고분길 995 (상훈김읍),1997-05-13,주식회사 황,자연과학 시험원,Alias quaerat est exercitationem ipsa. Dolores temporibus accusamus veniam fuga.,아니오
28,28,인천광역시 동대문구 도산대11로 101,1946-12-20,이김,여행 사무원,Officia numquam ex sapiente magni. Voluptatem nam libero eius accusamus.,예
29,29,서울특별시 은평구 서초대거리 지하304 (종수김읍),1966-06-03,(유) 박,기타 비금속제품관련 생산기 조작원,Sit cum quis totam optio quo. Repellat eum inventore debitis quaerat nemo voluptas eligendi.,예
