player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
1,eyang,yeongsungim@example.com,정남,29,838,213,60,1800-1809,2024-10-16
2,yujini,yejungim@example.com,경숙,84,859,384,269,850-859,2024-10-20
3,sanghyeon60,yeongjinyang@example.org,예진,69,119,51,53,1740-1749,2025-01-27
4,mijeonggim,oi@example.net,영식,82,887,271,302,900-909,2023-06-13
5,yeongho15,ohayun@example.org,준영,61,249,462,245,2040-2049,2023-06-18
6,gimmijeong,gimhayun@example.com,서현,84,539,229,286,2060-2069,2024-03-25
7,seojunyeong,gimjeongsig@example.net,준호,24,252,440,450,2300-2309,2024-10-13
8,sujin21,qbag@example.com,영수,49,971,244,351,910-919,2024-07-25
9,jiweoncoe,yeeungim@example.org,은영,57,334,74,70,2430-2439,2024-04-29
10,yeongilgim,jihyeongim@example.org,윤서,36,867,185,89,1740-1749,2023-08-14
11,seohyeon54,igim@example.org,준영,59,880,146,109,2200-2209,2024-01-20
12,jangmyeongsug,siugim@example.org,영호,77,790,119,252,2280-2289,2024-12-11
13,gwaggwangsu,jbaeg@example.net,지은,65,35,255,214,2080-2089,2024-07-31
14,abag,yeonggil85@example.net,미영,1,755,489,129,2430-2439,2024-04-03
15,sanghyeon57,jsong@example.net,성민,75,391,133,381,2140-2149,2024-05-16
16,yeonggilcoe,zgim@example.com,준호,63,287,259,360,1980-1989,2024-10-28
17,jangyeonggil,gyeongsugim@example.net,상호,84,754,156,256,1830-1839,2024-10-02
18,junhyeoghwang,gangseongjin@example.net,영환,87,364,88,96,1370-1379,2024-09-25
19,yejun49,li@example.com,선영,22,891,440,81,2180-2189,2025-02-20
20,wsong,sangceolcoe@example.org,지훈,15,419,75,80,2060-2069,2024-12-05
21,yeongsigjeong,ogsuni@example.com,성수,99,748,146,445,1800-1809,2025-04-22
22,yeeunson,wgim@example.net,우진,75,418,325,272,800-809,2025-02-26
23,ijeongsug,simyeongsig@example.com,동현,12,607,67,460,1210-1219,2025-05-24
24,minjiyeong,yeongsug56@example.net,혜진,5,788,136,420,2230-2239,2024-02-01
25,byeongceol96,jeongjabag@example.org,민지,63,4,397,412,990-999,2024-01-01
26,gno,yeongilo@example.org,우진,2,580,27,464,1500-1509,2024-02-04
27,miyeonghwang,baegyeongsug@example.net,진우,63,342,446,104,2310-2319,2023-08-21
28,yejun57,noseonyeong@example.com,지현,12,74,408,470,1190-1199,2025-02-18
29,seongmin14,areumi@example.org,예진,67,122,93,187,1640-1649,2023-07-04
30,yeongil17,gweonseoyun@example.org,현우,57,579,310,478,2500-2509,2024-08-01
31,fbaeg,yangjeongung@example.net,주원,16,393,76,45,1950-1959,2024-01-09
32,gimhayun,seoyeongsun@example.com,지현,76,202,470,13,1680-1689,2023-10-24
33,minjuncoe,jaeho83@example.org,채원,94,528,189,9,1250-1259,2025-03-22
34,seongjin91,yeeuni@example.com,승민,21,714,186,82,1050-1059,2023-08-24
35,myeongja85,jeongja69@example.net,민수,38,815,135,493,1860-1869,2024-02-12
36,minsuhan,tsim@example.org,아름,68,455,26,452,990-999,2025-02-28
37,byeongceol57,ygim@example.org,영미,3,47,43,248,1630-1639,2023-06-23
38,bo,rgim@example.org,진우,85,676,350,57,1760-1769,2024-10-20
39,ujingim,gimdonghyeon@example.net,윤서,70,702,431,26,1350-1359,2023-07-21
40,tjeong,yeongceol12@example.net,은서,29,850,230,380,1560-1569,2023-09-08
41,hbag,zgweon@example.com,도현,79,775,430,485,2100-2109,2025-05-25
42,hyeonsug31,heoseongmin@example.com,준서,36,549,45,425,1840-1849,2023-09-03
43,gimeunju,ujin60@example.org,성호,74,630,440,178,1580-1589,2023-08-01
44,gimdohyeon,bagjeongja@example.net,영수,79,858,471,199,1210-1219,2024-11-19
45,gangdonghyeon,tha@example.org,경희,69,748,31,94,1960-1969,2024-04-21
46,iseonghun,gusangceol@example.org,정웅,85,542,339,330,900-909,2023-10-30
47,sunog69,seojaehyeon@example.org,민재,68,507,263,192,2260-2269,2024-07-08
48,ci,yeongceoli@example.net,승현,95,443,266,13,2010-2019,2024-10-04
49,seonghyeonhan,seongsujo@example.org,민지,84,547,413,473,1840-1849,2024-04-04
50,myeongsugbag,boram30@example.com,지훈,74,684,373,26,1150-1159,2023-09-22
51,minsugim,dseong@example.org,영자,22,519,22,184,1740-1749,2023-11-19
52,yejigim,gimseoyun@example.org,정남,9,245,314,9,2000-2009,2023-08-25
53,seoyeongbag,iminseo@example.net,영환,40,325,312,96,2230-2239,2025-03-04
54,jieuncoe,ljo@example.net,정남,64,238,12,197,1770-1779,2024-07-19
55,ygim,di@example.org,영진,57,414,292,60,2380-2389,2023-08-01
56,gyeongjai,jingyeongsug@example.com,재호,62,471,169,64,2380-2389,2024-10-09
57,gimyeongmi,junyeongna@example.com,수진,30,12,157,269,1200-1209,2024-02-04
58,seongjin56,minjae14@example.org,현숙,83,323,160,345,1380-1389,2023-08-24
59,ocoe,seongho18@example.net,은서,53,439,310,136,2020-2029,2025-02-24
60,eunjeonggo,jangjunseo@example.com,순옥,61,468,467,112,1280-1289,2024-05-29
61,namhyeonjeong,jihyeongim@example.net,은영,1,477,25,122,2460-2469,2023-08-24
62,xi,miyeongbag@example.com,도현,95,476,485,449,1420-1429,2024-01-26
63,ngim,eomjaeho@example.org,보람,50,274,63,187,1510-1519,2024-04-02
64,wgim,useonyeong@example.net,영식,84,495,387,236,1330-1339,2024-06-26
65,yejio,hanyeonghwan@example.com,영수,5,724,53,251,1120-1129,2025-03-27
66,vgweon,baeseongho@example.org,정순,57,439,485,402,1240-1249,2024-03-21
67,sanghyeoni,gimgyeongja@example.com,지영,46,199,332,155,1270-1279,2024-08-10
68,anjiweon,sunja27@example.org,지아,8,602,425,215,850-859,2023-07-31
69,ryuminseo,nojinu@example.net,진호,64,279,248,222,1150-1159,2024-03-06
70,shong,xgim@example.org,정숙,82,599,387,111,2140-2149,2023-12-10
71,jiyeon73,gimhyejin@example.com,지후,29,704,427,208,1180-1189,2023-10-18
72,sunja88,hyeonusim@example.org,아름,20,551,376,415,1980-1989,2024-11-23
73,dbaeg,hwangjiyeong@example.net,준영,53,89,20,358,870-879,2024-07-06
74,hjeong,boramgim@example.com,지혜,100,896,66,418,2040-2049,2024-06-29
75,jihyegim,ogja49@example.org,은경,33,849,389,178,2220-2229,2024-06-11
76,egim,gwangsugweon@example.com,민서,90,149,169,342,1100-1109,2024-10-07
77,hayunseong,gwangsui@example.com,동현,55,894,222,69,990-999,2023-11-20
78,sujingim,yeongsugim@example.net,영자,95,402,83,224,2190-2199,2024-08-29
79,seongminu,jiu85@example.org,옥순,25,733,201,308,1940-1949,2024-05-14
80,ogsun95,gimgwangsu@example.org,현숙,12,877,363,422,2400-2409,2025-02-08
81,ti,vcoe@example.com,순옥,68,869,75,298,2390-2399,2023-10-16
82,nahyeonjeong,hyeonsug40@example.com,영자,23,299,265,386,1500-1509,2025-02-28
83,yeongsui,sangho95@example.org,지민,56,331,6,377,1360-1369,2023-12-14
84,xbag,vjang@example.com,선영,59,25,468,425,2270-2279,2024-10-24
85,hyeonjeongi,janggyeonghyi@example.net,명자,48,601,204,475,1350-1359,2023-08-24
86,minjunhyeog,gimjunyeong@example.net,도현,87,970,306,132,1340-1349,2025-04-02
87,agim,yujinryu@example.net,아름,23,487,259,171,2250-2259,2024-04-25
88,seomyeongja,egim@example.net,주원,26,273,362,431,2130-2139,2023-08-31
89,gangjiweon,hi@example.net,영순,2,514,311,298,1050-1059,2023-11-11
90,geonucoe,jeonghun79@example.org,성호,55,56,220,314,2290-2299,2024-02-15
91,ojo,ji@example.net,현정,9,59,31,84,1390-1399,2023-06-24
92,seongsu02,vi@example.org,지연,28,589,460,303,2210-2219,2024-05-19
93,gimjaehyeon,nheo@example.com,준서,63,26,38,184,1700-1709,2023-10-03
94,sumin58,hyeonjeong55@example.net,미영,59,324,412,60,2260-2269,2024-07-25
95,xsim,yno@example.org,상철,3,169,94,316,2340-2349,2023-11-09
96,hanseoyeong,yeweongim@example.org,현우,92,927,397,221,1020-1029,2023-10-20
97,tgim,jeongja81@example.com,영미,78,876,491,362,1960-1969,2023-12-28
98,wi,hyeonjeong21@example.com,정웅,46,713,404,353,1990-1999,2024-07-29
99,gimjihu,sseong@example.net,정식,6,886,285,326,1900-1909,2024-03-25
100,sunoggo,yeonggil16@example.net,성호,39,886,44,46,1780-1789,2024-09-19
101,nammijeong,bagjiweon@example.net,정수,83,540,391,364,2070-2079,2025-03-03
102,jongsu49,seongsu85@example.com,영호,14,635,246,190,1010-1019,2024-03-19
103,nameunju,thong@example.org,미영,57,812,324,164,2180-2189,2024-05-25
104,siu41,jeongjagang@example.com,유진,69,630,306,183,2160-2169,2024-10-28
105,ogjabae,yeongmigim@example.com,보람,41,549,149,304,2130-2139,2023-10-26
106,iminseo,jimingim@example.com,준혁,23,739,132,344,800-809,2024-05-28
107,gimyejun,migyeong12@example.org,동현,81,43,135,303,2370-2379,2024-12-19
108,jiu78,isugja@example.org,승현,63,676,453,298,800-809,2024-01-25
109,jihyeon62,boram37@example.com,상호,47,830,307,114,1630-1639,2023-10-09
110,dgim,yeongsigbag@example.net,정훈,36,167,267,322,1700-1709,2023-09-15
111,mbag,cgim@example.net,은지,47,593,189,133,1710-1719,2024-03-15
112,jeongja25,migyeongbag@example.com,경수,46,937,169,347,1940-1949,2024-08-22
113,seonghyeon23,jaeho43@example.net,경자,39,541,149,170,1770-1779,2023-10-28
114,ujin28,boram58@example.org,주원,42,811,76,216,1130-1139,2025-03-08
115,bson,songjieun@example.org,순자,85,423,374,467,1110-1119,2024-08-07
116,zcoe,cjin@example.com,예지,6,700,313,42,1320-1329,2024-12-22
117,yeongjai,yujeongsun@example.com,진호,62,812,486,227,1300-1309,2025-05-03
118,yunjeongsig,donghyeono@example.org,미정,69,56,189,127,1430-1439,2024-08-15
119,jbag,igang@example.net,지후,76,605,374,33,1640-1649,2024-09-20
120,gimjinu,songjeongsig@example.com,재호,50,889,453,333,2380-2389,2024-07-02
121,seungmingim,dohyeon07@example.org,승민,68,96,274,453,2020-2029,2024-12-24
122,yunseo53,jiyeongi@example.com,정자,94,76,392,307,820-829,2024-02-05
123,jieun38,gimsanghun@example.com,현주,93,117,353,40,1880-1889,2023-07-03
124,dohyeon93,gwangsuyun@example.com,경자,37,346,479,420,2240-2249,2024-06-10
125,sjo,imjiyeong@example.com,민지,99,600,413,250,970-979,2025-06-01
126,jihu74,caeweon04@example.net,현우,4,791,416,38,2000-2009,2024-12-23
127,seoyunsong,yeonghwan20@example.net,아름,50,668,441,197,1340-1349,2023-06-10
128,hanseonghun,cgim@example.org,채원,74,167,120,155,2030-2039,2024-05-21
129,ihyeonjun,misug54@example.com,현정,31,313,132,290,910-919,2023-07-11
130,kyun,bagjeongja@example.net,은정,83,984,121,374,2030-2039,2024-08-23
131,yeonghwansong,eunju86@example.com,현준,16,196,70,71,2240-2249,2023-08-22
132,qyang,yeweon68@example.com,영자,1,183,107,283,970-979,2024-09-20
133,oyun,hyejinjin@example.com,영희,87,943,16,359,1280-1289,2025-02-28
134,ijihyeon,yangyejun@example.com,서준,1,234,308,111,1570-1579,2024-07-29
135,gimsangho,hyeonsug52@example.org,시우,62,567,443,216,1150-1159,2024-09-12
136,hyeonji83,subino@example.org,지후,44,676,27,367,2120-2129,2024-01-10
137,gwangsuson,sanghogim@example.net,영길,10,840,305,185,2270-2279,2025-03-04
138,minseog46,sbag@example.com,은서,90,211,362,205,2030-2039,2024-07-19
139,minsujang,ujinjang@example.org,정호,47,267,368,308,2320-2329,2024-02-09
140,naminsu,zcoe@example.org,성수,61,29,324,465,2130-2139,2025-05-15
141,yeongmii,vjeon@example.org,영미,71,861,381,325,1590-1599,2025-02-08
142,yeonggil57,bryu@example.com,은지,48,168,389,68,1260-1269,2024-05-25
143,jiuca,gimjeonghun@example.net,은주,67,429,101,494,1980-1989,2024-05-22
144,gimjieun,sujin43@example.net,미경,9,638,17,261,1880-1889,2025-02-25
145,munjunhyeog,jinho95@example.net,정남,93,927,198,12,1560-1569,2025-01-22
146,hanjunho,yejibag@example.net,서윤,42,723,235,422,1790-1799,2024-02-03
147,junyeong89,jieun64@example.com,상훈,49,382,273,301,1830-1839,2023-10-20
148,eunyeongseo,ganghayun@example.net,민수,40,869,279,60,1720-1729,2024-09-24
149,hwanghyeonji,bagdoyun@example.com,영숙,47,768,364,108,930-939,2025-01-12
150,gyeongjagim,ccoe@example.com,순자,30,52,26,6,1070-1079,2025-02-11
151,gimseoyun,jeonghyihwang@example.org,유진,2,589,288,90,930-939,2025-01-16
152,junseogim,yeongceolbag@example.net,수민,80,736,163,261,1960-1969,2024-05-12
153,minjaegim,gweoncunja@example.com,재현,59,579,123,312,2350-2359,2024-08-16
154,gimhyeonju,ngim@example.net,수민,26,280,229,321,1770-1779,2024-05-31
155,doyun85,gimboram@example.com,민지,37,804,292,11,2120-2129,2024-11-17
156,hyeonju23,jeongnamryu@example.net,정자,25,666,164,221,1890-1899,2024-11-22
157,myeongja62,seonghoi@example.net,성수,11,253,63,498,1240-1249,2024-03-07
158,miyeong54,jia09@example.com,동현,18,56,113,378,2370-2379,2023-12-17
159,ryun,gweonjihyeon@example.com,광수,28,371,120,51,1540-1549,2025-01-11
160,yeongsugyun,zjang@example.net,지민,23,437,53,131,1370-1379,2023-12-22
161,gimmisug,wbag@example.net,지아,1,313,338,330,2430-2439,2024-10-22
162,zan,gimjeongho@example.com,수민,91,962,313,416,1360-1369,2025-02-04
163,cunjagim,gimsiu@example.com,민준,90,21,425,263,1900-1909,2024-03-04
164,di,jinu09@example.net,은지,68,680,233,23,1180-1189,2023-10-04
165,guseungmin,junseo66@example.net,광수,55,532,375,164,1250-1259,2024-07-30
166,jiuo,kmun@example.org,경희,100,38,236,311,2470-2479,2025-01-23
167,naogsun,jaehyeon34@example.org,지현,53,688,184,179,1270-1279,2024-04-10
168,hanjinho,tcoe@example.org,예준,88,448,374,254,1000-1009,2023-08-12
169,sgweon,ijunyeong@example.net,지후,64,439,436,170,1170-1179,2024-01-24
170,eunjigim,gimboram@example.org,수빈,2,645,228,60,1680-1689,2023-06-17
171,seonghun81,jiweongim@example.org,성훈,62,265,440,476,1700-1709,2023-11-19
172,pbag,jeonghyiyun@example.org,진우,10,997,493,443,2160-2169,2024-07-07
173,myeongjaheo,ihyeonu@example.com,현정,40,461,214,158,1940-1949,2023-07-19
174,munjeongnam,guhyejin@example.com,선영,44,67,256,152,1100-1109,2024-01-18
175,ganggyeongsu,hyeonji40@example.org,민재,1,290,387,443,2230-2239,2025-02-22
176,chan,ganggyeongja@example.com,영숙,89,41,188,436,1850-1859,2024-03-23
177,hyejingim,yeonghyii@example.com,민수,85,426,341,240,1260-1269,2024-07-21
178,asim,kgim@example.com,경희,35,330,489,473,870-879,2023-12-15
179,jeongung84,gimhyejin@example.com,영미,81,634,242,123,2370-2379,2023-12-02
180,seoyun76,hyeonju64@example.net,예원,58,351,114,317,1500-1509,2024-05-12
181,minseog23,gwangsugim@example.com,준영,47,690,405,368,1860-1869,2024-10-16
182,ycoe,gimjinu@example.net,광수,8,214,290,83,840-849,2023-12-13
183,uca,coejiweon@example.com,건우,78,60,492,360,2470-2479,2024-12-06
184,gimmijeong,idoyun@example.org,지훈,43,72,296,328,2450-2459,2024-10-16
185,yeonggilgweon,dohyeon85@example.org,성훈,51,580,449,236,1560-1569,2024-08-13
186,godonghyeon,jihyeon40@example.com,하은,78,260,336,63,1220-1229,2025-02-11
187,coegyeongsug,ngim@example.org,옥자,88,168,138,333,2340-2349,2023-08-11
188,zgim,areumi@example.org,성수,95,957,154,352,1670-1679,2024-12-22
189,caeweonbae,seoyeon23@example.net,건우,25,51,139,355,1590-1599,2024-11-13
190,igang,gangjeongsun@example.org,상현,76,573,237,43,1120-1129,2024-10-25
191,casugja,yeonghyi88@example.net,윤서,80,16,498,297,1080-1089,2023-09-08
192,ggim,jeongsui@example.com,건우,17,359,69,480,2010-2019,2023-08-13
193,janghaeun,jinho24@example.org,민수,67,568,179,200,2490-2499,2024-10-03
194,tgim,juweon35@example.net,현숙,37,220,82,36,1930-1939,2024-09-16
195,imijeong,egim@example.net,재호,26,222,229,427,1850-1859,2025-04-17
196,gimjeongsug,sangceoli@example.com,재호,22,809,144,449,2290-2299,2023-11-24
197,jeonghyi26,fsim@example.net,서영,37,92,128,16,1280-1289,2023-08-12
198,hcoe,oeunju@example.com,선영,20,660,126,20,1400-1409,2023-11-16
199,ijihye,gweonseongjin@example.net,성훈,65,803,430,321,2450-2459,2023-07-19
200,gimogja,xi@example.net,준서,34,414,54,396,2060-2069,2024-08-03
201,lgim,seungmin45@example.org,시우,13,101,450,199,2420-2429,2023-06-21
202,jinu04,oi@example.net,성진,92,905,48,235,2340-2349,2025-03-22
203,yi,xhwang@example.net,준영,59,39,478,378,2160-2169,2023-07-21
204,hbag,tjo@example.com,서윤,36,227,70,174,1380-1389,2023-09-23
205,gyeongja73,seoyeonggim@example.com,예은,91,352,216,181,1780-1789,2024-01-11
206,ucoe,jungsucoe@example.org,주원,16,347,205,453,1780-1789,2024-04-15
207,jeonghungim,gyeongsug38@example.org,성진,69,447,255,381,2450-2459,2023-09-17
208,jungsu73,jiahwang@example.org,미숙,47,556,94,129,1120-1129,2023-10-31
209,sanghun05,junhyeoghong@example.org,정호,91,969,193,438,950-959,2024-08-24
210,gimjunho,jangjeongja@example.org,순자,39,753,409,223,1800-1809,2024-12-13
211,gyeongsu75,yeongja68@example.net,건우,10,208,219,301,1610-1619,2025-04-14
212,ogsun62,eunseo88@example.com,민지,12,848,92,469,1170-1179,2023-11-09
213,qbag,sugja59@example.org,상철,11,35,118,487,1040-1049,2024-05-17
214,ibyeongceol,ei@example.org,정순,44,648,176,139,1260-1269,2023-10-13
215,yuneunji,eyang@example.net,도윤,29,751,328,434,890-899,2025-01-01
216,gweonhaeun,jinho36@example.org,숙자,18,576,49,119,1310-1319,2025-03-13
217,lan,areumgang@example.org,윤서,27,412,315,51,2410-2419,2025-01-26
218,bageunju,hanseongmin@example.net,영일,56,124,119,69,2490-2499,2023-09-04
219,yeonggil85,yeongceolgo@example.com,보람,47,390,18,314,2340-2349,2023-12-10
220,gujeongja,coehaeun@example.com,병철,66,351,229,344,2490-2499,2024-02-21
221,anseoyun,igim@example.com,영일,1,27,195,428,1400-1409,2025-04-22
222,minseobag,ijia@example.org,수진,5,823,98,3,1750-1759,2024-07-09
223,lgim,yejin08@example.org,성진,21,847,17,218,1090-1099,2025-01-02
224,gyeongsug25,yeonggil87@example.com,정자,17,289,136,340,2180-2189,2024-03-13
225,anhyeonu,gi@example.net,영철,61,277,418,19,2200-2209,2024-10-27
226,seungminno,bagjeongho@example.net,재호,27,171,293,25,1540-1549,2025-01-21
227,subin02,gyeongsuggim@example.com,주원,52,446,168,166,840-849,2025-01-27
228,ehwang,jimin29@example.net,건우,58,168,112,167,1720-1729,2023-10-12
229,gimseoyeong,jgim@example.com,은서,44,587,190,220,1390-1399,2024-09-04
230,baegeunju,minseoha@example.net,정숙,46,306,1,53,2060-2069,2025-02-04
231,seojihun,jiyeongim@example.net,하은,73,481,278,97,1140-1149,2025-01-19
232,ijeonghun,yeongsig94@example.net,지아,11,565,393,217,1940-1949,2023-11-15
233,ti,minsu07@example.org,예지,54,284,365,69,1460-1469,2024-06-10
234,hwanghyeonsug,jaeho69@example.com,정웅,84,841,38,375,2150-2159,2024-08-13
235,gimseongjin,san@example.com,은지,41,341,0,127,800-809,2024-09-18
236,subin91,fo@example.org,은서,14,648,290,58,1970-1979,2023-09-23
237,byeongceol45,bgim@example.com,경숙,90,1,295,297,2010-2019,2024-04-22
238,vcoe,doyun47@example.com,채원,9,158,354,153,860-869,2025-04-07
239,imisug,jihunju@example.com,혜진,17,371,271,391,950-959,2023-10-17
240,nogyeongsu,yeeun50@example.org,동현,26,124,399,186,1020-1029,2023-07-04
241,jangjeongung,coesunog@example.com,정숙,82,88,429,35,1690-1699,2023-10-20
242,gimhyeonji,jimin44@example.com,선영,27,67,96,263,1190-1199,2024-04-01
243,areum25,haeungim@example.com,혜진,47,375,218,431,2050-2059,2024-07-11
244,ygim,ajang@example.com,도윤,28,344,108,419,1230-1239,2025-03-04
245,egim,yeongho16@example.com,은서,28,595,17,460,2050-2059,2024-08-01
246,miyeonggim,hyeonji78@example.org,은주,69,620,398,246,1990-1999,2023-06-05
247,fbag,seonyeong69@example.net,지훈,12,246,335,222,1820-1829,2024-04-09
248,sangceolgang,pseo@example.org,영길,73,540,39,280,2490-2499,2024-09-15
249,imyeongsug,ijeongnam@example.net,종수,75,706,353,67,1310-1319,2025-01-04
250,seongho16,gimsangho@example.com,주원,18,3,319,483,1420-1429,2024-08-23
251,seoyun94,yeongilgweon@example.net,지혜,18,738,312,147,1960-1969,2024-11-09
252,li,seonyeonggim@example.net,진우,70,350,348,285,1140-1149,2024-10-04
253,sangho22,ijaeho@example.org,정남,44,740,259,435,1520-1529,2024-03-27
254,geonu19,ogjamun@example.com,정훈,45,578,433,36,1450-1459,2025-04-07
255,gseo,znam@example.com,미경,11,28,219,310,1530-1539,2025-01-14
256,yeonghwan23,sujinbag@example.net,현주,69,359,338,101,1270-1279,2023-11-15
257,pgim,munyeonghyi@example.org,미영,1,13,260,219,2050-2059,2024-12-09
258,junho97,minsui@example.com,예준,20,223,475,176,1810-1819,2023-12-07
259,hyeonjun00,jeongsig10@example.net,재호,77,333,371,269,1320-1329,2024-07-05
260,gimminjun,sunja17@example.org,지혜,31,889,133,69,1200-1209,2023-07-13
261,coedonghyeon,yeonggilmin@example.com,순자,36,656,223,353,1220-1229,2024-03-29
262,jeongho21,gimmijeong@example.com,건우,32,957,308,6,850-859,2024-12-01
263,ui,jihun21@example.net,지후,41,703,316,140,1500-1509,2024-09-03
264,gimjia,sonyeongsug@example.com,민재,30,115,225,27,1370-1379,2024-11-16
265,jeongsig75,gyeongsug32@example.net,미정,24,581,173,418,1880-1889,2025-03-16
266,rgim,agim@example.net,미숙,39,574,131,325,930-939,2024-02-23
267,anjiyeon,jieungim@example.net,건우,100,998,425,370,1440-1449,2024-11-02
268,jiabag,eunseohwang@example.com,성민,30,442,319,371,1400-1409,2023-10-04
269,yeongho22,jinho63@example.net,승현,66,886,458,173,1710-1719,2025-03-09
270,gimjeongung,jimincoe@example.com,상호,67,580,242,400,1100-1109,2023-12-05
271,hyeonjigim,bagmijeong@example.com,병철,75,171,93,325,1120-1129,2025-01-31
272,simseonghun,jihu40@example.org,미숙,22,869,191,144,1340-1349,2025-02-19
273,sunogi,bagsumin@example.net,미숙,93,914,463,110,1610-1619,2024-09-13
274,bi,bagseohyeon@example.com,정훈,33,338,495,203,1320-1329,2023-07-26
275,byeongceolgang,ygim@example.com,춘자,9,580,498,317,1540-1549,2025-05-23
276,donghyeonan,yeongsuggim@example.org,순자,64,500,117,5,1780-1789,2024-09-18
277,hanseunghyeon,hyeonjun48@example.org,우진,8,166,79,236,1950-1959,2023-07-28
278,jieun10,phan@example.org,예은,44,229,331,137,2280-2289,2024-01-13
279,qi,hyeonjubag@example.org,준영,15,326,340,266,1760-1769,2024-11-02
280,qsim,yeongsuggim@example.com,상호,16,860,314,99,1220-1229,2024-04-03
281,sujinbag,hwangjiweon@example.org,병철,70,284,173,233,1810-1819,2023-10-09
282,doyun11,boramnam@example.net,진호,99,559,127,240,960-969,2025-02-06
283,yeongsu39,hson@example.net,정숙,3,784,418,151,2060-2069,2023-07-29
284,miyeonggim,seungmini@example.com,상호,39,633,334,231,2350-2359,2024-07-16
285,jinhogim,eunseogim@example.net,민서,29,291,328,151,1950-1959,2024-01-03
286,ojunhyeog,songjuweon@example.com,은주,34,823,275,240,2170-2179,2024-11-22
287,coemijeong,gimjunseo@example.com,명숙,73,337,293,191,1110-1119,2024-03-09
288,fgim,jiweon01@example.net,정훈,58,494,152,393,1510-1519,2025-05-18
289,seoyejin,jijeongsug@example.com,영일,17,0,273,362,2430-2439,2024-04-13
290,bhan,ceom@example.com,보람,97,628,200,253,2450-2459,2023-08-03
291,yeongceoli,juweon48@example.com,지현,32,231,228,80,2030-2039,2024-12-14
