record_id,owner,game_type,score,result,play_time,created_at
71,174,레이드,2721,패배,22,2024-12-30 02:53:51.896905
828,99,PvP,3899,패배,114,2025-01-21 21:45:40.880550
232,57,PvE,4004,무승부,74,2025-05-30 05:41:28.537381
589,261,PvP,9401,무승부,46,2025-05-03 18:02:39.164536
40,220,이벤트,160,승리,38,2025-03-20 02:59:44.191396
732,279,퀘스트,7924,승리,47,2024-12-21 13:56:36.023573
300,87,레이드,1655,무승부,19,2025-04-05 19:35:48.844532
111,255,PvE,6926,승리,101,2025-03-01 01:52:56.635489
73,273,PvE,9827,패배,33,2025-05-27 12:52:20.337181
87,247,퀘스트,5740,패배,28,2024-12-08 22:41:45.625140
140,97,PvP,8316,무승부,72,2025-04-07 12:13:19.335963
534,133,PvE,8582,패배,37,2025-03-03 03:39:32.920132
802,153,PvP,2433,패배,12,2025-02-13 13:24:35.331042
121,38,퀘스트,7083,패배,79,2024-12-06 09:45:03.145900
712,212,레이드,222,승리,101,2025-05-26 12:51:00.508004
591,292,이벤트,4140,승리,63,2025-01-24 01:54:05.810809
169,209,PvP,1151,무승부,16,2024-12-13 23:24:37.243529
423,235,레이드,9649,승리,66,2025-05-02 10:27:24.160905
448,67,레이드,989,무승부,46,2025-05-07 08:05:37.364135
68,4,퀘스트,5000,승리,85,2025-01-30 01:24:38.337850
212,131,퀘스트,5030,무승부,21,2025-01-18 11:24:10.163362
742,129,퀘스트,3936,무승부,107,2025-04-01 03:43:51.761163
689,234,레이드,8998,패배,42,2025-04-26 19:31:23.752807
334,252,이벤트,4276,승리,119,2025-03-10 09:52:18.940628
543,12,퀘스트,9766,패배,61,2025-02-10 10:04:45.642190
345,237,PvE,4767,패배,70,2025-05-29 18:14:44.167143
31,83,레이드,7707,패배,42,2025-03-05 22:19:48.310338
838,125,PvP,6553,무승부,115,2025-01-02 23:45:14.398980
659,18,퀘스트,3018,승리,63,2025-04-30 04:14:21.042762
523,145,이벤트,4459,무승부,86,2025-01-16 09:01:25.549061
261,99,퀘스트,6091,패배,17,2024-12-11 13:24:43.847564
757,273,PvP,1496,무승부,63,2025-01-05 11:06:49.289513
299,198,레이드,1467,패배,80,2025-04-19 09:07:01.949109
532,221,PvP,3060,무승부,36,2025-04-30 23:22:13.163370
616,136,퀘스트,3644,패배,29,2025-01-30 23:26:35.886750
