result_id,takers_id,test_type,test_date,completion_time,total_score,personality_type,extraversion_score,neuroticism_score,openness_score,agreeableness_score,conscientiousness_score,stress_level,recommendation,validity_check,report_generated
1,1,Big5,2024-07-29,110-119,115,INTJ,9,레벨4,6,3,5,매우높음,253,False,True
2,2,Big5,2024-10-08,110-119,96,ENTP,2,레벨2,1,9,5,높음,176,True,True
3,3,Big5,2024-06-26,40-49,84,None,10,레벨2,6,3,10,높음,170,True,False
4,4,CPI,2024-10-29,30-39,105,None,5,레벨3,9,9,9,낮음,222,True,True
5,5,Big5,2024-06-22,60-69,83,ENTJ,4,레벨1,10,2,1,낮음,282,True,True
6,6,MMPI,2024-09-19,110-119,136,None,8,레벨2,5,8,6,높음,228,True,True
7,7,Big5,2025-04-20,70-79,145,ENFP,2,레벨2,1,10,5,보통,294,True,True
8,8,Big5,2024-12-27,10-19,124,ENFP,1,레벨5,9,3,1,낮음,284,True,True
9,9,Big5,2024-08-16,50-59,62,INTJ,5,레벨1,8,7,4,보통,227,True,True
10,10,Big5,2024-08-04,110-119,102,INTJ,4,레벨2,10,7,6,보통,287,True,True
11,11,MBTI,2024-09-04,30-39,117,ISFP,9,레벨3,4,3,5,낮음,238,True,True
12,12,MBTI,2024-11-07,40-49,102,ENTP,6,레벨1,4,3,6,높음,291,False,True
13,13,CPI,2024-10-10,90-99,130,ISFP,3,레벨5,2,10,6,보통,297,True,True
14,14,Big5,2024-12-25,60-69,89,ISFP,1,레벨3,4,1,10,낮음,269,True,True
15,15,MBTI,2025-05-09,90-99,114,ENTP,8,레벨1,3,8,2,낮음,258,True,True
16,16,MMPI,2024-08-05,70-79,134,ENTP,8,레벨1,2,10,10,높음,257,True,True
17,17,NEO-PI-R,2024-11-24,40-49,68,None,6,레벨1,2,6,8,매우높음,280,True,True
18,18,NEO-PI-R,2025-05-11,90-99,117,INTJ,4,레벨4,9,6,7,높음,276,True,False
19,19,CPI,2024-06-28,90-99,105,ISFP,1,레벨4,9,3,8,낮음,266,True,True
20,20,CPI,2024-07-24,50-59,128,ENFP,5,레벨3,4,10,3,낮음,268,True,True
