player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
129,ihyeonjun,misug54@example.com,현정,31,313,132,290,918,2023-07-11
291,yeongceoli,juweon48@example.com,지현,32,231,228,80,2033,2024-12-14
9,jiweoncoe,yeeungim@example.org,은영,57,334,74,70,2436,2024-04-29
71,jiyeon73,gimhyejin@example.com,지후,29,704,427,208,1184,2023-10-18
265,jeongsig75,gyeongsug32@example.net,미정,24,581,173,418,1880,2025-03-16
65,yejio,hanyeonghwan@example.com,영수,5,724,53,251,1120,2025-03-27
45,gangdonghyeon,tha@example.org,경희,69,748,31,94,1964,2024-04-21
280,qsim,yeongsuggim@example.com,상호,16,860,314,99,1229,2024-04-03
157,myeongja62,seonghoi@example.net,성수,11,253,63,498,1241,2024-03-07
41,hbag,zgweon@example.com,도현,79,775,430,485,2100,2025-05-25
124,dohyeon93,gwangsuyun@example.com,경자,37,346,479,420,2241,2024-06-10
276,donghyeonan,yeongsuggim@example.org,순자,64,500,117,5,1785,2024-09-18
217,lan,areumgang@example.org,윤서,27,412,315,51,2413,2025-01-26
154,gimhyeonju,ngim@example.net,수민,26,280,229,321,1774,2024-05-31
24,minjiyeong,yeongsug56@example.net,혜진,5,788,136,420,2236,2024-02-01
262,jeongho21,gimmijeong@example.com,건우,32,957,308,6,857,2024-12-01
111,mbag,cgim@example.net,은지,47,593,189,133,1714,2024-03-15
82,nahyeonjeong,hyeonsug40@example.com,영자,23,299,265,386,1508,2025-02-28
208,jungsu73,jiahwang@example.org,미숙,47,556,94,129,1120,2023-10-31
213,qbag,sugja59@example.org,상철,11,35,118,487,1042,2024-05-17
40,tjeong,yeongceol12@example.net,은서,29,850,230,380,1563,2023-09-08
241,jangjeongung,coesunog@example.com,정숙,82,88,429,35,1692,2023-10-20
292,gbag,seonghun99@example.net,건우,15,17,214,233,1141,2023-09-12
259,hyeonjun00,jeongsig10@example.net,재호,77,333,371,269,1324,2024-07-05
200,gimogja,xi@example.net,준서,34,414,54,396,2062,2024-08-03
15,sanghyeon57,jsong@example.net,성민,75,391,133,381,2145,2024-05-16
48,ci,yeongceoli@example.net,승현,95,443,266,13,2013,2024-10-04
95,xsim,yno@example.org,상철,3,169,94,316,2343,2023-11-09
264,gimjia,sonyeongsug@example.com,민재,30,115,225,27,1377,2024-11-16
228,ehwang,jimin29@example.net,건우,58,168,112,167,1720,2023-10-12
274,bi,bagseohyeon@example.com,정훈,33,338,495,203,1324,2023-07-26
202,jinu04,oi@example.net,성진,92,905,48,235,2342,2025-03-22
162,zan,gimjeongho@example.com,수민,91,962,313,416,1361,2025-02-04
44,gimdohyeon,bagjeongja@example.net,영수,79,858,471,199,1216,2024-11-19
218,bageunju,hanseongmin@example.net,영일,56,124,119,69,2490,2023-09-04
146,hanjunho,yejibag@example.net,서윤,42,723,235,422,1793,2024-02-03
191,casugja,yeonghyi88@example.net,윤서,80,16,498,297,1083,2023-09-08
221,anseoyun,igim@example.com,영일,1,27,195,428,1403,2025-04-22
252,li,seonyeonggim@example.net,진우,70,350,348,285,1148,2024-10-04
4,mijeonggim,oi@example.net,영식,82,887,271,302,903,2023-06-13
106,iminseo,jimingim@example.com,준혁,23,739,132,344,807,2024-05-28
54,jieuncoe,ljo@example.net,정남,64,238,12,197,1775,2024-07-19
