player_id,username,email,nickname,level,wins,losses,created_at,total_games
1,eyang,yeongsungim@example.com,정남,29,213,60,2024-10-16,838
2,yujini,yejungim@example.com,경숙,84,384,269,2024-10-20,859
3,sanghyeon60,yeongjinyang@example.org,예진,69,51,53,2025-01-27,119
4,mijeonggim,oi@example.net,영식,82,271,302,2023-06-13,887
5,yeongho15,ohayun@example.org,준영,61,462,245,2023-06-18,249
6,gimmijeong,gimhayun@example.com,서현,84,229,286,2024-03-25,539
7,seojunyeong,gimjeongsig@example.net,준호,24,440,450,2024-10-13,252
8,sujin21,qbag@example.com,영수,49,244,351,2024-07-25,971
9,jiweoncoe,yeeungim@example.org,은영,57,74,70,2024-04-29,334
10,yeongilgim,jihyeongim@example.org,윤서,36,185,89,2023-08-14,867
11,seohyeon54,igim@example.org,준영,59,146,109,2024-01-20,880
12,jangmyeongsug,siugim@example.org,영호,77,119,252,2024-12-11,790
13,gwaggwangsu,jbaeg@example.net,지은,65,255,214,2024-07-31,35
14,abag,yeonggil85@example.net,미영,1,489,129,2024-04-03,755
15,sanghyeon57,jsong@example.net,성민,75,133,381,2024-05-16,391
16,yeonggilcoe,zgim@example.com,준호,63,259,360,2024-10-28,287
17,jangyeonggil,gyeongsugim@example.net,상호,84,156,256,2024-10-02,754
18,junhyeoghwang,gangseongjin@example.net,영환,87,88,96,2024-09-25,364
19,yejun49,li@example.com,선영,22,440,81,2025-02-20,891
20,wsong,sangceolcoe@example.org,지훈,15,75,80,2024-12-05,419
21,yeongsigjeong,ogsuni@example.com,성수,99,146,445,2025-04-22,748
22,yeeunson,wgim@example.net,우진,75,325,272,2025-02-26,418
23,ijeongsug,simyeongsig@example.com,동현,12,67,460,2025-05-24,607
24,minjiyeong,yeongsug56@example.net,혜진,5,136,420,2024-02-01,788
25,byeongceol96,jeongjabag@example.org,민지,63,397,412,2024-01-01,4
26,gno,yeongilo@example.org,우진,2,27,464,2024-02-04,580
27,miyeonghwang,baegyeongsug@example.net,진우,63,446,104,2023-08-21,342
28,yejun57,noseonyeong@example.com,지현,12,408,470,2025-02-18,74
29,seongmin14,areumi@example.org,예진,67,93,187,2023-07-04,122
30,yeongil17,gweonseoyun@example.org,현우,57,310,478,2024-08-01,579
31,fbaeg,yangjeongung@example.net,주원,16,76,45,2024-01-09,393
32,gimhayun,seoyeongsun@example.com,지현,76,470,13,2023-10-24,202
33,minjuncoe,jaeho83@example.org,채원,94,189,9,2025-03-22,528
34,seongjin91,yeeuni@example.com,승민,21,186,82,2023-08-24,714
35,myeongja85,jeongja69@example.net,민수,38,135,493,2024-02-12,815
36,minsuhan,tsim@example.org,아름,68,26,452,2025-02-28,455
37,byeongceol57,ygim@example.org,영미,3,43,248,2023-06-23,47
38,bo,rgim@example.org,진우,85,350,57,2024-10-20,676
39,ujingim,gimdonghyeon@example.net,윤서,70,431,26,2023-07-21,702
40,tjeong,yeongceol12@example.net,은서,29,230,380,2023-09-08,850
41,hbag,zgweon@example.com,도현,79,430,485,2025-05-25,775
42,hyeonsug31,heoseongmin@example.com,준서,36,45,425,2023-09-03,549
43,gimeunju,ujin60@example.org,성호,74,440,178,2023-08-01,630
44,gimdohyeon,bagjeongja@example.net,영수,79,471,199,2024-11-19,858
45,gangdonghyeon,tha@example.org,경희,69,31,94,2024-04-21,748
46,iseonghun,gusangceol@example.org,정웅,85,339,330,2023-10-30,542
47,sunog69,seojaehyeon@example.org,민재,68,263,192,2024-07-08,507
48,ci,yeongceoli@example.net,승현,95,266,13,2024-10-04,443
49,seonghyeonhan,seongsujo@example.org,민지,84,413,473,2024-04-04,547
50,myeongsugbag,boram30@example.com,지훈,74,373,26,2023-09-22,684
51,minsugim,dseong@example.org,영자,22,22,184,2023-11-19,519
52,yejigim,gimseoyun@example.org,정남,9,314,9,2023-08-25,245
53,seoyeongbag,iminseo@example.net,영환,40,312,96,2025-03-04,325
54,jieuncoe,ljo@example.net,정남,64,12,197,2024-07-19,238
55,ygim,di@example.org,영진,57,292,60,2023-08-01,414
56,gyeongjai,jingyeongsug@example.com,재호,62,169,64,2024-10-09,471
57,gimyeongmi,junyeongna@example.com,수진,30,157,269,2024-02-04,12
58,seongjin56,minjae14@example.org,현숙,83,160,345,2023-08-24,323
59,ocoe,seongho18@example.net,은서,53,310,136,2025-02-24,439
60,eunjeonggo,jangjunseo@example.com,순옥,61,467,112,2024-05-29,468
61,namhyeonjeong,jihyeongim@example.net,은영,1,25,122,2023-08-24,477
62,xi,miyeongbag@example.com,도현,95,485,449,2024-01-26,476
63,ngim,eomjaeho@example.org,보람,50,63,187,2024-04-02,274
64,wgim,useonyeong@example.net,영식,84,387,236,2024-06-26,495
65,yejio,hanyeonghwan@example.com,영수,5,53,251,2025-03-27,724
66,vgweon,baeseongho@example.org,정순,57,485,402,2024-03-21,439
67,sanghyeoni,gimgyeongja@example.com,지영,46,332,155,2024-08-10,199
68,anjiweon,sunja27@example.org,지아,8,425,215,2023-07-31,602
69,ryuminseo,nojinu@example.net,진호,64,248,222,2024-03-06,279
70,shong,xgim@example.org,정숙,82,387,111,2023-12-10,599
71,jiyeon73,gimhyejin@example.com,지후,29,427,208,2023-10-18,704
72,sunja88,hyeonusim@example.org,아름,20,376,415,2024-11-23,551
73,dbaeg,hwangjiyeong@example.net,준영,53,20,358,2024-07-06,89
74,hjeong,boramgim@example.com,지혜,100,66,418,2024-06-29,896
75,jihyegim,ogja49@example.org,은경,33,389,178,2024-06-11,849
76,egim,gwangsugweon@example.com,민서,90,169,342,2024-10-07,149
77,hayunseong,gwangsui@example.com,동현,55,222,69,2023-11-20,894
78,sujingim,yeongsugim@example.net,영자,95,83,224,2024-08-29,402
79,seongminu,jiu85@example.org,옥순,25,201,308,2024-05-14,733
80,ogsun95,gimgwangsu@example.org,현숙,12,363,422,2025-02-08,877
81,ti,vcoe@example.com,순옥,68,75,298,2023-10-16,869
