player_id,username,email,nickname,level,wins,losses,created_at,current_rating
1,eyang,yeongsungim@example.com,정남,29,213,60,2024-10-16,1809
2,yujini,yejungim@example.com,경숙,84,384,269,2024-10-20,855
3,sanghyeon60,yeongjinyang@example.org,예진,69,51,53,2025-01-27,1744
4,mijeonggim,oi@example.net,영식,82,271,302,2023-06-13,903
5,yeongho15,ohayun@example.org,준영,61,462,245,2023-06-18,2045
6,gimmijeong,gimhayun@example.com,서현,84,229,286,2024-03-25,2067
7,seojunyeong,gimjeongsig@example.net,준호,24,440,450,2024-10-13,2304
8,sujin21,qbag@example.com,영수,49,244,351,2024-07-25,918
9,jiweoncoe,yeeungim@example.org,은영,57,74,70,2024-04-29,2436
10,yeongilgim,jihyeongim@example.org,윤서,36,185,89,2023-08-14,1744
11,seohyeon54,igim@example.org,준영,59,146,109,2024-01-20,2203
12,jangmyeongsug,siugim@example.org,영호,77,119,252,2024-12-11,2281
13,gwaggwangsu,jbaeg@example.net,지은,65,255,214,2024-07-31,2088
14,abag,yeonggil85@example.net,미영,1,489,129,2024-04-03,2435
15,sanghyeon57,jsong@example.net,성민,75,133,381,2024-05-16,2145
16,yeonggilcoe,zgim@example.com,준호,63,259,360,2024-10-28,1985
17,jangyeonggil,gyeongsugim@example.net,상호,84,156,256,2024-10-02,1834
18,junhyeoghwang,gangseongjin@example.net,영환,87,88,96,2024-09-25,1374
19,yejun49,li@example.com,선영,22,440,81,2025-02-20,2186
20,wsong,sangceolcoe@example.org,지훈,15,75,80,2024-12-05,2065
21,yeongsigjeong,ogsuni@example.com,성수,99,146,445,2025-04-22,1802
22,yeeunson,wgim@example.net,우진,75,325,272,2025-02-26,809
23,ijeongsug,simyeongsig@example.com,동현,12,67,460,2025-05-24,1213
24,minjiyeong,yeongsug56@example.net,혜진,5,136,420,2024-02-01,2236
25,byeongceol96,jeongjabag@example.org,민지,63,397,412,2024-01-01,996
26,gno,yeongilo@example.org,우진,2,27,464,2024-02-04,1509
27,miyeonghwang,baegyeongsug@example.net,진우,63,446,104,2023-08-21,2318
28,yejun57,noseonyeong@example.com,지현,12,408,470,2025-02-18,1199
29,seongmin14,areumi@example.org,예진,67,93,187,2023-07-04,1646
30,yeongil17,gweonseoyun@example.org,현우,57,310,478,2024-08-01,2500
31,fbaeg,yangjeongung@example.net,주원,16,76,45,2024-01-09,1951
32,gimhayun,seoyeongsun@example.com,지현,76,470,13,2023-10-24,1686
33,minjuncoe,jaeho83@example.org,채원,94,189,9,2025-03-22,1252
34,seongjin91,yeeuni@example.com,승민,21,186,82,2023-08-24,1052
35,myeongja85,jeongja69@example.net,민수,38,135,493,2024-02-12,1861
36,minsuhan,tsim@example.org,아름,68,26,452,2025-02-28,990
37,byeongceol57,ygim@example.org,영미,3,43,248,2023-06-23,1638
38,bo,rgim@example.org,진우,85,350,57,2024-10-20,1767
