player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
204,hbag,tjo@example.com,서윤,36,227,70,174,1382,2023-09-23
267,anjiyeon,jieungim@example.net,건우,100,998,425,370,1448,2024-11-02
153,minjaegim,gweoncunja@example.com,재현,59,579,123,312,2353,2024-08-16
10,yeongilgim,jihyeongim@example.org,윤서,36,867,185,89,1744,2023-08-14
234,hwanghyeonsug,jaeho69@example.com,정웅,84,841,38,375,2159,2024-08-13
227,subin02,gyeongsuggim@example.com,주원,52,446,168,166,849,2025-01-27
197,jeonghyi26,fsim@example.net,서영,37,92,128,16,1282,2023-08-12
110,dgim,yeongsigbag@example.net,정훈,36,167,267,322,1706,2023-09-15
6,gimmijeong,gimhayun@example.com,서현,84,539,229,286,2067,2024-03-25
176,chan,ganggyeongja@example.com,영숙,89,41,188,436,1856,2024-03-23
238,vcoe,doyun47@example.com,채원,9,158,354,153,869,2025-04-07
58,seongjin56,minjae14@example.org,현숙,83,323,160,345,1387,2023-08-24
219,yeonggil85,yeongceolgo@example.com,보람,47,390,18,314,2349,2023-12-10
46,iseonghun,gusangceol@example.org,정웅,85,542,339,330,906,2023-10-30
183,uca,coejiweon@example.com,건우,78,60,492,360,2472,2024-12-06
222,minseobag,ijia@example.org,수진,5,823,98,3,1750,2024-07-09
290,bhan,ceom@example.com,보람,97,628,200,253,2451,2023-08-03
212,ogsun62,eunseo88@example.com,민지,12,848,92,469,1174,2023-11-09
149,hwanghyeonji,bagdoyun@example.com,영숙,47,768,364,108,939,2025-01-12
166,jiuo,kmun@example.org,경희,100,38,236,311,2470,2025-01-23
79,seongminu,jiu85@example.org,옥순,25,733,201,308,1948,2024-05-14
114,ujin28,boram58@example.org,주원,42,811,76,216,1138,2025-03-08
250,seongho16,gimsangho@example.com,주원,18,3,319,483,1424,2024-08-23
251,seoyun94,yeongilgweon@example.net,지혜,18,738,312,147,1966,2024-11-09
105,ogjabae,yeongmigim@example.com,보람,41,549,149,304,2133,2023-10-26
43,gimeunju,ujin60@example.org,성호,74,630,440,178,1584,2023-08-01
282,doyun11,boramnam@example.net,진호,99,559,127,240,967,2025-02-06
296,jeonogsun,seonghyeongim@example.org,보람,73,116,213,86,2158,2024-09-29
158,miyeong54,jia09@example.com,동현,18,56,113,378,2371,2023-12-17
239,imisug,jihunju@example.com,혜진,17,371,271,391,951,2023-10-17
18,junhyeoghwang,gangseongjin@example.net,영환,87,364,88,96,1374,2024-09-25
165,guseungmin,junseo66@example.net,광수,55,532,375,164,1255,2024-07-30
34,seongjin91,yeeuni@example.com,승민,21,714,186,82,1052,2023-08-24
25,byeongceol96,jeongjabag@example.org,민지,63,4,397,412,996,2024-01-01
216,gweonhaeun,jinho36@example.org,숙자,18,576,49,119,1312,2025-03-13
120,gimjinu,songjeongsig@example.com,재호,50,889,453,333,2380,2024-07-02
8,sujin21,qbag@example.com,영수,49,971,244,351,918,2024-07-25
91,ojo,ji@example.net,현정,9,59,31,84,1396,2023-06-24
47,sunog69,seojaehyeon@example.org,민재,68,507,263,192,2262,2024-07-08
74,hjeong,boramgim@example.com,지혜,100,896,66,418,2047,2024-06-29
94,sumin58,hyeonjeong55@example.net,미영,59,324,412,60,2269,2024-07-25
77,hayunseong,gwangsui@example.com,동현,55,894,222,69,991,2023-11-20
287,coemijeong,gimjunseo@example.com,명숙,73,337,293,191,1117,2024-03-09
61,namhyeonjeong,jihyeongim@example.net,은영,1,477,25,122,2469,2023-08-24
78,sujingim,yeongsugim@example.net,영자,95,402,83,224,2190,2024-08-29
64,wgim,useonyeong@example.net,영식,84,495,387,236,1331,2024-06-26
235,gimseongjin,san@example.com,은지,41,341,0,127,800,2024-09-18
230,baegeunju,minseoha@example.net,정숙,46,306,1,53,2069,2025-02-04
112,jeongja25,migyeongbag@example.com,경수,46,937,169,347,1949,2024-08-22
232,ijeonghun,yeongsig94@example.net,지아,11,565,393,217,1949,2023-11-15
181,minseog23,gwangsugim@example.com,준영,47,690,405,368,1867,2024-10-16
145,munjunhyeog,jinho95@example.net,정남,93,927,198,12,1565,2025-01-22
240,nogyeongsu,yeeun50@example.org,동현,26,124,399,186,1020,2023-07-04
76,egim,gwangsugweon@example.com,민서,90,149,169,342,1101,2024-10-07
298,yeongsuggim,gimjongsu@example.org,진우,7,518,297,281,1661,2023-10-16
279,qi,hyeonjubag@example.org,준영,15,326,340,266,1762,2024-11-02
98,wi,hyeonjeong21@example.com,정웅,46,713,404,353,1995,2024-07-29
93,gimjaehyeon,nheo@example.com,준서,63,26,38,184,1706,2023-10-03
193,janghaeun,jinho24@example.org,민수,67,568,179,200,2493,2024-10-03
26,gno,yeongilo@example.org,우진,2,580,27,464,1509,2024-02-04
233,ti,minsu07@example.org,예지,54,284,365,69,1460,2024-06-10
60,eunjeonggo,jangjunseo@example.com,순옥,61,468,467,112,1284,2024-05-29
7,seojunyeong,gimjeongsig@example.net,준호,24,252,440,450,2304,2024-10-13
186,godonghyeon,jihyeon40@example.com,하은,78,260,336,63,1226,2025-02-11
174,munjeongnam,guhyejin@example.com,선영,44,67,256,152,1104,2024-01-18
31,fbaeg,yangjeongung@example.net,주원,16,393,76,45,1951,2024-01-09
23,ijeongsug,simyeongsig@example.com,동현,12,607,67,460,1213,2025-05-24
