question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,resolve_count,created_at
129,Eveniet iusto doloremque vel nobis.?,"Assumenda tempore magnam. Deleniti illum voluptatibus amet.
Quasi reiciendis corporis asperiores delectus a. Animi iusto possimus voluptatem.
Suscipit nihil eius cupiditate ex officiis.
Quisquam natus eveniet fuga veritatis. Dicta ipsam cumque veniam numquam. Maiores minima ratione magnam.
Consectetur reiciendis quae commodi. Iusto saepe magnam ex. In inventore reprehenderit.
Sunt harum aut odit adipisci iste provident nemo. Corporis corporis necessitatibus nisi distinctio. Vitae dicta illo ea.",김영길,jiyeon47@example.net,기타,고급,321,97,False,2025-02-17 16:57:06.759610
291,Reiciendis ducimus iure eius nobis reiciendis eaque molestiae placeat tempora.?,"Rerum quia illum at quam praesentium vitae corrupti. Ipsa nulla eaque harum illum tenetur facere.
Rem eum optio iure eligendi. Nulla atque quod suscipit harum similique reprehenderit illo. Libero esse suscipit ipsam. Tempore tempore facilis ut.
Vel est laudantium tempora illo rem.
Minus optio quas dolorem tenetur optio. Velit tempore explicabo dolore dolore magnam. Hic corrupti similique perspiciatis dolorem.
Libero ut doloremque harum. Omnis quo minima velit.",안영순,ujin30@example.net,기술,중급,696,27,False,2025-03-26 15:30:47.039358
9,Molestias optio illum dolores unde.?,"Eaque nostrum optio totam. A veniam at assumenda eligendi doloribus maiores.
Ut error molestiae placeat. Reprehenderit provident quasi delectus. Veritatis rerum pariatur nemo nulla iusto.
Perspiciatis eum ratione praesentium aspernatur. Enim ea repellendus non eveniet nostrum. Laudantium aut eligendi.
Voluptates excepturi fugit necessitatibus porro nisi repudiandae recusandae. Numquam officiis saepe soluta rem ullam.",이건우,qryu@example.com,취업,초급,13,16,True,2025-02-11 07:21:16.992001
71,Libero eum hic delectus reiciendis.?,"Quos voluptates commodi quia. Reprehenderit perspiciatis minima facere ducimus.
Consequatur blanditiis sequi unde. Ipsa voluptas reprehenderit consequatur iste sequi maiores.
Quam deleniti consequuntur nam. Laudantium neque distinctio sunt atque.
Consectetur qui aspernatur fugit velit nulla iusto voluptas. Aut provident neque molestiae rerum earum.",이중수,gimhyeonji@example.com,취업,중급,246,78,False,2025-04-22 15:02:30.331210
265,Assumenda velit distinctio saepe.?,"Optio perferendis nam libero. Repudiandae itaque accusantium. Excepturi aliquam quia eius.
Explicabo ipsa laboriosam quasi ipsam voluptas quia animi. Minima autem voluptate hic dolor consequatur. Enim esse quae voluptatem distinctio ducimus impedit.
Eligendi tenetur corporis aspernatur. Inventore deleniti occaecati nesciunt ipsa consectetur delectus asperiores.
Facere iusto laborum neque perspiciatis facilis ea. Nostrum ad quo odio nemo.",김성현,mijeong97@example.org,건강,중급,623,22,False,2025-05-30 05:44:23.836796
65,Eveniet natus culpa eaque nam illo animi.?,"Nemo aperiam sint eum. Est nobis ratione odio.
Harum eveniet ratione nam reiciendis odit. Amet earum soluta quia distinctio consequatur doloribus.
Beatae ex culpa voluptas. Atque quas est. Impedit exercitationem vel.
Eaque corrupti explicabo adipisci praesentium doloribus veniam. Quibusdam minus ad. Reprehenderit similique autem possimus placeat excepturi deserunt.
Consequuntur eligendi ab iusto. Velit eveniet cumque fugiat recusandae doloribus. Omnis deserunt explicabo enim quam.",김영호,jihyesim@example.org,건강,초급,617,62,False,2024-11-05 07:30:18.967872
45,A temporibus magnam saepe amet cumque voluptate quae iste nam.?,"Quam quibusdam excepturi voluptas esse id deleniti. Nemo ipsam aut occaecati.
At aliquam molestiae omnis eveniet eius. Facere veritatis ut tenetur provident.
Eius nam veniam. Est sed esse molestias beatae maiores. Aliquam eos autem sequi dolores adipisci. Nostrum ad eligendi.
Est esse exercitationem excepturi facilis. Necessitatibus qui deleniti odit beatae nostrum. Pariatur quas placeat facere iure repellendus accusamus.",장지후,jeongsugi@example.com,건강,중급,301,48,True,2024-07-28 12:12:26.343112
280,Expedita suscipit optio labore.?,"Dolor et nisi a ut. Laborum suscipit molestias quasi aliquid earum. Ab nemo et aperiam ducimus labore.
Dolore et repellendus repudiandae voluptate dignissimos. Voluptate iure sunt quis repellat nemo ratione dolorem.
Commodi debitis iste.
Nisi saepe accusantium recusandae aliquid. Ex deserunt minus suscipit eaque. Aspernatur eaque officia quibusdam facilis quas.
Praesentium iusto quis vero explicabo. Cumque vitae modi. Ullam repellendus nesciunt.",백영길,ubae@example.org,생활,중급,764,40,True,2024-10-03 09:09:13.854054
157,Repellat maxime fugiat doloribus cupiditate tenetur.?,"Amet at consectetur voluptas dignissimos deserunt repudiandae. Veritatis eos tempore ullam. Odio tenetur ducimus nulla labore ratione accusantium explicabo.
Recusandae quidem minima amet. Reiciendis quas odio maxime laborum debitis.
Culpa labore eos maxime odit libero. At autem quo ipsum rerum. Sapiente adipisci laborum omnis. Optio mollitia laudantium laboriosam doloribus.
Quasi voluptas dicta eius. Facere dicta facilis a eum nemo pariatur.
Eveniet temporibus commodi odit animi eligendi.",박현우,jieun40@example.com,학습,고급,288,56,False,2025-05-30 00:28:58.835763
41,Adipisci quod provident sunt provident vel eius explicabo.?,"Error labore aperiam. Consectetur tempora voluptas mollitia ea natus. Laboriosam quam aliquam veniam dolore minima.
Cumque fugit praesentium impedit esse.
Quaerat consequatur rerum laudantium quos accusantium doloremque expedita. Enim repellendus dolorum. Ad iste iste nam nihil.
Fugiat enim commodi doloribus repellendus impedit vel.
Ullam iure magnam delectus illo labore reprehenderit adipisci. Possimus magnam recusandae odio doloremque saepe.",한영식,hgim@example.com,생활,중급,940,51,True,2024-09-04 22:47:59.814777
124,Quae impedit possimus quod est quia hic quod totam voluptatem.?,"Voluptatibus natus neque facere modi hic maiores. Sed quisquam quos tempore dolorum. Voluptates animi in perferendis deleniti. Facilis accusamus quia incidunt fugit autem.
Ipsa iusto alias tempora. In eveniet repudiandae laboriosam necessitatibus. Velit repellat quasi maiores eos quasi. Aut deleniti repellendus a aspernatur.
Aliquam nemo veniam voluptatum optio reiciendis ducimus laudantium. Esse velit libero vitae deleniti perspiciatis laboriosam quia.",이지아,donghyeoni@example.org,건강,고급,825,76,True,2024-11-23 13:46:56.992308
276,Minima vero consequatur eaque nesciunt pariatur vitae voluptatibus incidunt voluptatibus mollitia.?,"Nesciunt laudantium sed velit eum. Id animi laborum aperiam. Dolor velit voluptate quas suscipit reprehenderit deleniti.
Nemo deserunt magnam maiores aperiam fugit quo. Rem in dolorum soluta voluptatem.
Voluptatem quia at iure. Commodi sapiente est asperiores praesentium corrupti. Deleniti sunt alias temporibus odio quam pariatur error.
Voluptatem repellendus quibusdam occaecati asperiores molestias corporis. Libero ipsum maxime eum. Dolor facere error dolorum dolorum.",장영길,gimmigyeong@example.net,생활,고급,97,4,False,2025-05-09 02:45:04.981053
217,Aperiam accusantium velit ipsa amet dolorem nihil quos illum.?,"Veniam corporis mollitia aut porro. Veniam deserunt inventore iure beatae possimus.
Esse odit iure quasi deleniti qui. Eos deleniti magnam assumenda quam temporibus. Doloribus nam a corrupti.
Modi adipisci porro possimus. Eos sunt aliquam magni sapiente.
Vitae dolorem omnis laboriosam asperiores saepe. Aperiam doloremque cum assumenda.
Est placeat error culpa. Illum dolorum velit aspernatur ad ipsam magni. Fugiat enim quas nemo vel.",이미영,gimjinho@example.net,취업,중급,991,38,True,2025-03-15 00:33:05.182877
154,Repudiandae sint quo culpa quaerat asperiores odio reiciendis.?,"Illum ipsa neque facilis. Qui illum nesciunt ab harum. Cupiditate dicta reprehenderit.
Ullam quod placeat fugiat. Ipsum mollitia quos maiores numquam sunt.
Ullam cum quo neque. Cumque sit voluptates corrupti.
Voluptatem velit aut laudantium voluptate amet asperiores numquam. Distinctio quaerat quibusdam iusto praesentium quod accusantium. Officiis facere facilis eveniet quod nesciunt odit excepturi.
Enim vero doloremque dolorem dicta consectetur autem. Quidem accusamus quae ipsam dolorum.",오지민,ijunhyeog@example.net,건강,초급,240,69,True,2024-12-23 02:33:42.664930
24,Itaque eveniet sunt alias assumenda repudiandae illum deleniti consequuntur.?,"Nihil ipsum voluptatibus aliquid magni vel sunt. Occaecati autem labore at quia.
Ipsum quod beatae itaque reiciendis deserunt. Non ullam totam nihil reprehenderit eum.
Facere fugit minus hic. Perferendis ea itaque similique quas inventore eos ipsa. Corrupti quidem quaerat.
Explicabo cupiditate ipsum nisi nam libero fuga id. Cupiditate adipisci soluta.
Laborum illum tempore provident ex doloremque. Animi officiis exercitationem tenetur.",신민재,junhohan@example.com,학습,초급,942,25,False,2025-02-25 22:22:33.215524
262,Voluptatum sunt sit ipsam placeat maxime corrupti sit.?,"Alias a sapiente corporis. Sit nesciunt saepe itaque fugiat possimus ex rem. Hic porro ea voluptates iste.
Corporis quas non cum. Consequatur amet magni quibusdam totam.
Temporibus quidem nobis culpa. Ipsum tempora soluta hic nulla incidunt illum. Modi inventore excepturi nulla eaque.
Illum minus facilis.
Voluptatibus voluptatibus fuga hic voluptatum enim. Vitae adipisci quaerat vero nostrum.
Earum non unde aspernatur corporis. Inventore dolorum dignissimos in.",오주원,hayun20@example.org,취업,중급,566,87,True,2024-09-08 11:56:23.287515
111,Architecto sit cupiditate tempore omnis in repellendus dolor.?,"Odit amet error aspernatur. Aut deleniti architecto.
Labore quaerat totam explicabo. Quasi dicta nam vitae officiis laudantium nesciunt sequi. Tempora cum amet velit ipsam quidem numquam eligendi.
Eaque quaerat facilis nemo nulla explicabo rerum. Tenetur hic repellendus aperiam atque. Maxime nesciunt autem omnis impedit.
Cupiditate error sit. Doloremque reprehenderit ipsa alias totam ab.
Odio optio nostrum natus saepe quisquam eos.
Tempore officiis necessitatibus quam.",서순자,jihyeon83@example.org,학습,초급,948,97,True,2024-07-31 06:30:47.883162
82,Vel labore consequatur nam deserunt cum sed.?,"Quidem asperiores incidunt. Porro laborum quia aut.
Iste sequi perspiciatis delectus nesciunt.
Laboriosam repellendus architecto quae. Itaque aliquid sapiente rem amet consequatur. Incidunt beatae laboriosam nobis tempore tempore accusantium est.
Accusamus autem consequuntur. Dicta asperiores incidunt vitae exercitationem velit beatae. Molestias tempore enim neque numquam voluptas.
Eos expedita dolore. Laudantium praesentium voluptatibus voluptatem nulla dolorum.",안은지,ncoe@example.net,생활,중급,653,28,True,2024-08-06 13:45:14.116107
208,Odit voluptatum quos porro unde voluptatibus ipsam voluptatem molestias accusamus.?,"Ut eligendi beatae commodi quidem perferendis ratione. Ratione aspernatur sapiente assumenda magni.
Explicabo voluptatem maiores vero corporis fugiat cum. Quod eos voluptate iusto aperiam. Distinctio ab quaerat nemo accusantium maiores.
Dolorum nam fuga dolorum. Distinctio delectus iste placeat aspernatur reiciendis error numquam. Repellendus tempora nobis officiis.
Illo dicta ipsam itaque reprehenderit alias. Et delectus architecto officiis sequi quia exercitationem.",이영순,yudonghyeon@example.com,기술,중급,359,43,True,2024-12-26 09:08:01.138794
213,Similique illo nesciunt error dolorem.?,"Tempora ut quibusdam.
Aut ea excepturi reprehenderit quas. Nulla soluta et impedit sit. Tenetur debitis nisi facilis velit voluptatibus porro culpa. Nobis natus ad eum ipsum enim porro.
Nobis voluptatibus asperiores natus numquam quia. Quae laboriosam ipsam non dolorem. Error voluptatum quasi temporibus porro minus nostrum ab.
Delectus beatae provident ipsum vel quam. Totam incidunt velit qui.",김경자,jiuo@example.net,기술,고급,215,25,True,2025-01-17 18:46:37.897892
40,Officiis voluptas reiciendis voluptas eos alias.?,"Quisquam facere aliquam quaerat similique repellat qui. Quibusdam quasi saepe animi laudantium quos omnis.
Iure debitis neque nihil tempora. Quaerat sunt veritatis mollitia architecto veritatis.
Quasi dolorum sit a repudiandae aperiam eveniet. Delectus voluptatibus commodi voluptate repellat omnis. Vel repudiandae ipsum enim modi quisquam suscipit. Et minus eius accusantium dicta a.
Perferendis dignissimos sapiente dolorum repellendus a quibusdam.",김민석,eunji43@example.net,기술,고급,505,84,False,2024-09-22 23:11:45.577116
241,Beatae ea quod esse voluptas dignissimos error excepturi quod.?,"Quod omnis illum mollitia ex odio sapiente. Illum accusamus optio alias. Itaque expedita saepe deleniti.
Sapiente soluta earum officiis mollitia.
Libero quidem mollitia similique recusandae rerum. Corrupti nisi odio dicta itaque eaque veniam. Repudiandae voluptates nesciunt adipisci dolor laudantium voluptates.
Nesciunt recusandae quidem deserunt maxime debitis. Adipisci officiis itaque repellendus. Molestiae nobis minus veritatis quam.
Officiis quam doloremque perferendis.",홍예지,junhogim@example.com,건강,중급,674,10,True,2025-05-25 03:43:22.393541
292,Mollitia eius distinctio nobis rerum maiores.?,"Voluptatum numquam natus quis maiores animi. Voluptatem saepe omnis ea cumque libero animi.
Provident veniam omnis ducimus voluptatem. Quisquam velit inventore vel veniam aperiam. Sapiente quas corporis tenetur quas iure. Cumque voluptas atque perferendis laborum beatae.
A aspernatur aliquid iure adipisci molestiae labore. Occaecati esse illo.
Fugit recusandae dolore sequi totam. Odit voluptate nulla mollitia iure ab.",양재호,bagyeongja@example.org,기술,고급,705,92,False,2024-12-24 23:09:48.456093
