question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,resolve_count,created_at
204,Doloremque quaerat doloremque ex vitae facere blanditiis dolorem nesciunt veniam.?,"Accusantium quam nihil molestias cum. Vel enim beatae beatae. In quis sapiente.
Consectetur iusto iste suscipit. Rem corrupti repellat expedita cupiditate doloremque.
Quam nulla fuga quisquam. Consequuntur quas magni ea illum ab aliquid. Laudantium deleniti dignissimos. Aspernatur aut assumenda deleniti.
Facilis assumenda itaque possimus accusantium perferendis ex. Dolore nisi odit quo eveniet.",이영자,gwangsu70@example.net,기술,중급,770,98,True,2024-10-07 12:18:25.370999
267,Quasi qui deleniti quaerat autem molestias.?,"Explicabo eaque nulla illum nostrum. Laborum rem blanditiis.
Harum ad neque illum ut. Distinctio laboriosam beatae rerum. Voluptatum necessitatibus illum velit magnam sequi deleniti.
Vero officiis dignissimos nihil. Ad molestias tempore.
Neque est harum dolorum porro unde illum dolor. Ullam itaque optio doloremque accusamus vel.
Veniam tempora laborum. Ratione ducimus ratione quis.
Numquam optio ipsa repellat maxime. Commodi nihil aliquid blanditiis dolores.
Ab a debitis corporis assumenda.",김지연,io@example.org,건강,고급,982,74,False,2024-07-31 23:17:25.773253
153,Officiis eum repudiandae amet rem.?,"Quam quis quam distinctio. Commodi voluptatem harum aperiam perspiciatis at eum tempora. Laudantium deserunt error eum.
Quia earum occaecati in. Fuga sit ullam eligendi optio eum. Perferendis perspiciatis animi quibusdam consectetur impedit ab sapiente.
Sit unde rerum maxime. Inventore nostrum reiciendis excepturi.
Reprehenderit id laborum provident fuga atque.
Sequi sed ex earum incidunt iure. Adipisci excepturi in eum officia ipsa eveniet. Est accusantium excepturi corrupti.",김성수,vi@example.org,기타,중급,137,56,False,2025-01-03 16:18:01.753562
10,Iusto doloribus iste odio modi nam dolorum quis adipisci.?,"Eum voluptate molestias doloribus. Fugit possimus provident libero quisquam blanditiis iste alias.
Vero ipsum totam atque. Repellat tempore esse error perspiciatis quae nulla.
Eos laborum dicta rem. Ad amet omnis libero at voluptatibus provident.
Molestias provident repudiandae laboriosam fuga consequatur earum. Itaque eum sequi doloremque.
Illum molestiae qui ducimus. Et reiciendis hic vel atque doloremque inventore. Repudiandae esse consectetur.",한도현,gangsunja@example.org,기술,초급,202,41,True,2024-07-21 18:12:31.889853
234,Error excepturi recusandae ipsum blanditiis ipsam quae amet.?,"Inventore assumenda aut tempora optio est.
Autem quam laborum iure ipsam repellendus.
Eum earum odit soluta. Occaecati cupiditate deserunt reiciendis. Hic deserunt minima repellat ex tempora nulla saepe.
Nihil ex facilis odit minima quis voluptatum doloremque. Facere at saepe minima aspernatur.
Quas itaque ratione eligendi cum eos. Praesentium velit et nemo. Architecto ea sunt recusandae reprehenderit fuga autem.",김건우,misug30@example.com,학습,고급,389,98,True,2024-08-26 09:00:43.256677
227,Sequi magni et maiores placeat repellendus ea quasi asperiores.?,"Temporibus id saepe reprehenderit ipsum perferendis totam. Iste repudiandae provident nemo impedit ut. Corrupti molestiae saepe exercitationem cumque minus doloremque.
Pariatur est possimus sapiente error doloremque. Iusto repudiandae praesentium iusto laboriosam. Asperiores perspiciatis itaque delectus officia. Sint magni eius perspiciatis.
Quisquam voluptatum ipsum praesentium ratione. Alias a laboriosam dolore sequi inventore pariatur nisi.",박지아,hyun@example.net,학습,고급,103,7,True,2024-10-06 21:33:16.610413
197,Asperiores sint beatae id alias dicta deserunt.?,"Magnam veritatis pariatur delectus. Consequuntur adipisci vel vel quis magnam qui.
Aliquam beatae earum. Assumenda nulla molestias dolorum doloribus.
Porro placeat nostrum velit ab fugit voluptate. Qui nesciunt tempore repellat odio officia.
Laborum numquam enim sapiente omnis ipsam molestias reiciendis. Nemo veritatis mollitia ut illum. Alias molestias blanditiis doloribus deleniti minima iste distinctio.",김상훈,siu72@example.org,학습,중급,937,51,True,2024-07-12 00:47:33.577203
110,Voluptas exercitationem quam consequuntur modi placeat autem qui excepturi quaerat.?,"Deserunt perspiciatis molestiae cumque eum deserunt. Qui nulla similique eius voluptatum saepe. Praesentium voluptatum iste magnam.
Itaque ad est maiores harum. Eaque eaque harum fugit repudiandae rem nobis.
Rem veniam libero porro sed. Et iure blanditiis sequi amet. Molestias sit optio blanditiis vero adipisci magni dolorem.
Nesciunt ea rem nobis. Voluptates pariatur non vero explicabo corrupti corporis.
Illo rem tempora porro. Aut nam dolorum nulla consequuntur.",이정희,minseobag@example.net,취업,고급,64,87,True,2025-05-28 10:08:16.998986
6,Nesciunt possimus est ab eveniet libero officia.?,"Impedit eum officiis.
Et laboriosam ea veritatis provident. Alias sint quasi eveniet. Consectetur aperiam voluptatem culpa velit.
Ex molestias ducimus sit commodi unde quidem. Maxime sunt molestiae reiciendis deleniti cupiditate quas eos. Ipsum consequuntur fuga occaecati est quis ex.
Voluptates nihil iure harum. Excepturi id rerum sed laborum recusandae sapiente.
Consequatur esse voluptates ratione. Atque perspiciatis aspernatur exercitationem.",이지아,jbae@example.com,생활,중급,242,20,True,2025-04-27 19:22:45.850423
176,Unde saepe deleniti soluta.?,"Impedit unde corrupti corporis pariatur soluta. Ducimus eum molestias in quae.
Dignissimos a omnis. Dolor cupiditate placeat mollitia. Sequi voluptas veritatis dolore eos ea.
Ullam necessitatibus iusto magni. Autem consequuntur praesentium beatae quia.
In aperiam occaecati nulla impedit. Ullam asperiores enim sunt quia pariatur inventore. Dolorum temporibus voluptate officiis. Magni asperiores quaerat sunt et rerum.",차경자,jinu50@example.com,취업,초급,576,84,True,2025-02-27 04:46:06.055220
238,Dolorem vel cum quos voluptates minima nesciunt.?,"Reiciendis amet libero. Debitis asperiores aspernatur consectetur.
Iure reiciendis ex. Harum facere distinctio aspernatur. Corrupti corrupti dolores doloribus commodi eligendi cum.
Asperiores veniam voluptas delectus dicta laboriosam non aliquid. Incidunt porro mollitia dolores.
Voluptas expedita quod sit nulla quisquam. Soluta unde quaerat.
Sequi autem placeat iure. Officiis et repellat assumenda.
Cumque doloribus ea vel ducimus quasi earum.",이영일,coejimin@example.net,생활,중급,149,78,True,2024-07-05 14:53:03.517319
