user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at,referral_code,marketing_consent
1,053-543-3603,인증대기,골드,True,1,2024-07-11 12:47:10.046747,2025-04-12 12:07:34.340612,aOUL####,False
2,019-913-1951,인증대기,VIP,False,3,2025-04-03 15:37:12.582605,2024-12-14 08:02:12.255041,XMOA####,False
3,043-036-7715,미인증,무료,False,1,2025-01-25 04:02:18.003606,2025-04-08 20:33:59.436601,biTB####,True
4,019-335-6059,인증완료,프리미엄,False,0,2024-06-22 14:49:25.451361,2025-03-27 12:40:19.339718,NgUE####,True
5,063-890-2592,인증완료,골드,False,1,2025-03-05 06:14:37.075887,2025-05-06 13:24:29.086817,xRin####,True
6,041-303-1492,인증완료,VIP,False,3,2024-09-22 01:32:10.721837,2025-02-12 22:06:42.416651,NYmY####,False
7,017-659-0121,인증대기,무료,False,3,2024-10-29 17:08:45.427758,2025-05-29 22:22:56.236719,lMdZ####,True
8,043-714-6790,인증완료,골드,False,2,2025-04-21 10:26:51.495318,2024-12-13 10:59:30.774129,kLcY####,True
9,054-774-6810,미인증,VIP,False,0,2025-05-25 10:11:10.629725,2025-05-01 09:56:01.836522,ezCu####,True
10,041-046-8136,인증대기,VIP,True,1,2024-12-16 00:28:10.465814,2025-04-09 07:57:30.810366,SENi####,True
11,043-710-5743,인증대기,무료,False,3,2025-01-20 19:22:21.765581,2025-01-19 06:04:26.321138,kcnU####,False
12,063-470-1757,인증대기,프리미엄,True,0,2025-02-02 01:05:08.258134,2024-12-10 00:27:03.961985,bRAj####,True
13,010-3518-4696,미인증,VIP,False,1,2025-04-06 16:00:48.809154,2025-02-12 22:40:05.130932,QBwU####,False
14,042-120-8274,인증대기,골드,False,0,2024-10-24 03:51:50.560872,2025-02-11 23:21:28.494133,USaC####,False
15,053-918-5390,미인증,VIP,False,1,2025-03-11 11:34:22.389553,2025-03-04 20:30:52.415983,KtWg####,False
16,018-754-8230,인증대기,골드,False,3,2024-12-12 20:23:04.754885,2025-01-20 15:21:26.727351,IyEu####,True
17,051-658-7526,인증완료,무료,True,0,2024-12-14 00:49:26.577660,2025-01-02 11:35:08.801686,rzmJ####,True
18,016-258-0371,미인증,골드,True,0,2024-07-25 03:53:04.338802,2025-02-04 13:05:41.116012,TpZL####,True
19,051-788-9519,인증대기,골드,False,0,2025-02-04 07:00:29.256058,2025-02-24 19:04:43.346552,rSfZ####,True
20,042-840-5873,인증완료,프리미엄,False,1,2024-06-08 12:20:58.328844,2025-04-02 08:42:17.064567,ZZpW####,False
21,016-773-1662,미인증,무료,False,2,2024-07-23 15:49:21.294434,2025-05-21 01:44:01.847534,yDyO####,False
22,032-303-9975,미인증,VIP,False,1,2025-03-17 23:00:28.363967,2025-04-28 10:15:05.715457,xEyt####,False
23,017-295-0600,미인증,VIP,True,2,2025-01-31 20:23:53.416527,2025-04-27 07:55:14.365201,OTgj####,False
24,053-087-6379,미인증,무료,False,3,2024-07-04 07:00:10.167138,2025-05-13 05:32:15.854617,ztFV####,True
25,064-713-6399,인증대기,무료,True,1,2025-01-29 12:56:25.460130,2024-12-28 10:55:00.798522,VTsz####,True
26,054-159-7261,인증완료,골드,True,2,2025-02-15 14:55:41.768956,2024-12-08 18:51:59.017434,jnkT####,True
27,043-345-6728,미인증,무료,False,3,2025-01-12 22:26:08.276348,2025-04-20 02:16:19.412885,Mvyz####,True
28,019-842-8854,인증완료,무료,False,3,2024-08-23 06:39:04.167232,2025-03-30 18:16:06.107968,bwjQ####,False
29,043-369-6993,인증대기,프리미엄,False,2,2024-12-06 15:58:19.714353,2025-04-30 03:50:42.351061,HaTa####,False
30,055-153-6296,미인증,골드,True,2,2024-12-31 02:11:18.863029,2024-12-19 20:44:29.164078,MzZD####,True
31,016-003-3878,인증완료,골드,False,3,2025-02-23 21:13:05.784252,2025-04-09 17:58:25.308331,eYjQ####,False
32,055-201-8930,인증대기,프리미엄,True,0,2024-09-05 07:31:04.135319,2025-05-22 22:51:48.143969,oDpp####,True
33,041-330-3229,미인증,골드,False,3,2024-12-11 18:23:18.343131,2025-05-10 07:33:19.066033,wjEN####,False
34,016-660-5942,미인증,골드,True,3,2024-09-20 12:13:47.717412,2025-03-31 14:39:13.880951,IWgb####,False
35,064-786-7292,인증완료,VIP,False,1,2024-07-18 16:08:24.714933,2025-01-19 01:39:41.450823,YWUd####,True
36,064-767-2476,인증완료,골드,False,1,2024-10-14 20:53:50.114520,2025-03-18 06:10:44.197645,DoEL####,False
37,031-774-8373,인증대기,VIP,False,2,2024-11-22 18:54:55.788045,2025-04-07 14:55:09.366413,tAfq####,False
38,053-958-0516,미인증,VIP,False,0,2024-07-02 14:19:05.637506,2025-05-25 03:29:17.392586,Zmcv####,False
