user_id,username,email,created_at,marketing_consent,last_login
1,eunji81,zyun@example.com,2025-03-31,True,2025-05-28 14:52:34.159495
2,geonubag,hongseoyeong@example.net,2024-08-23,True,2025-05-18 07:48:25.959019
3,sangho41,ygo@example.com,2024-10-20,False,2025-05-19 21:05:39.220846
4,eunji19,jimingweon@example.net,2024-11-21,False,2025-05-15 15:53:09.060374
5,bagminjae,seongjin99@example.net,2024-08-03,True,2025-05-05 16:16:44.452420
6,jeongho02,seonghyeon24@example.net,2025-01-21,False,2025-06-02 07:23:36.145563
7,gimjeongsug,byeongceolheo@example.net,2024-12-10,False,2025-05-24 17:13:02.825387
8,geonubag,jgim@example.net,2024-10-08,True,2025-05-14 04:53:00.781179
9,gimdohyeon,seunghyeon94@example.net,2024-08-28,True,2025-05-21 06:59:12.383676
10,jieun29,do@example.com,2025-04-23,False,2025-05-13 12:54:13.962349
11,anseunghyeon,gangjiweon@example.com,2025-03-05,False,2025-05-21 01:39:45.428391
12,xgim,gimogja@example.com,2025-04-22,False,2025-05-13 03:10:06.315816
13,iyeongho,juweongim@example.net,2025-05-26,False,2025-05-08 04:59:44.668651
14,gi,jeonghyi24@example.com,2024-11-17,False,2025-05-21 22:51:31.732249
15,seonyeonggim,yeongsubag@example.net,2024-06-23,True,2025-05-04 01:29:18.603922
16,hyeonjuyang,yejii@example.com,2024-09-27,True,2025-05-29 03:10:20.591198
17,gimseoyeong,gimhyeonjeong@example.net,2025-05-18,False,2025-05-16 02:28:48.184215
18,hwangmisug,ygweon@example.org,2024-10-30,True,2025-05-07 12:40:41.056113
19,hwangjihun,gimyeonghwan@example.org,2024-08-16,False,2025-05-21 09:50:58.620124
20,gimyeeun,so@example.org,2024-06-16,True,2025-05-19 19:54:44.890833
21,seongjin63,gimyeonggil@example.org,2024-06-09,False,2025-05-14 17:43:39.033605
22,icoe,baggyeonghyi@example.org,2025-02-23,False,2025-05-05 00:06:25.095759
23,ysin,jeonghunryu@example.com,2024-07-05,True,2025-05-20 00:15:57.945667
24,sangceoli,gsin@example.com,2025-02-08,True,2025-05-09 20:38:34.509825
25,sonseonghyeon,yeweonhong@example.org,2024-07-03,True,2025-05-10 16:43:31.403106
26,iyejun,gimyeongho@example.com,2025-02-06,True,2025-05-28 03:53:11.230936
27,juweoni,rbag@example.com,2025-02-15,True,2025-05-20 16:10:43.681336
28,pgim,jeongho02@example.com,2024-08-12,True,2025-05-29 09:00:40.628198
29,xgim,gimyeongceol@example.org,2024-06-04,True,2025-06-02 07:54:22.861467
30,qgim,gimmigyeong@example.net,2024-10-15,False,2025-05-13 06:42:48.321920
31,seohyeon36,ehong@example.com,2024-12-19,True,2025-05-05 02:19:40.196171
32,coegyeongsu,jieuni@example.net,2024-12-19,True,2025-05-31 02:39:31.278120
33,aryu,seongminji@example.com,2024-09-30,True,2025-05-10 14:26:08.437752
34,minseogbaeg,cseo@example.org,2024-10-31,True,2025-05-21 12:01:27.141496
35,yi,jaehoi@example.net,2024-12-04,True,2025-05-12 15:41:42.430473
36,caeweon66,gimseoyun@example.org,2024-08-13,True,2025-06-02 02:02:22.361572
37,sugjayang,suminan@example.com,2024-12-13,False,2025-05-24 14:47:22.236996
38,migyeonggim,jiagim@example.org,2024-12-11,False,2025-05-30 06:58:41.831425
39,hyeonju99,hyeonucoe@example.com,2024-12-08,False,2025-05-27 10:09:57.699456
40,ji,iogsun@example.net,2025-01-10,True,2025-05-24 10:27:30.445861
41,lyun,seonghocoe@example.org,2025-01-26,False,2025-05-24 23:01:38.949437
42,hyeonjii,minsugim@example.net,2025-05-25,False,2025-05-06 05:53:21.838070
43,seungmini,icoe@example.net,2024-06-12,True,2025-05-28 22:19:57.317713
44,mijeongcoe,gimeunseo@example.net,2025-03-04,False,2025-05-20 21:03:46.586447
45,jeongsubag,ngim@example.com,2024-09-13,True,2025-05-18 22:28:31.324590
46,ujin91,gimmisug@example.org,2024-10-28,True,2025-05-14 19:17:35.078301
47,minsu35,baggyeongja@example.org,2025-02-25,True,2025-05-17 21:09:00.260102
48,obag,yeonghyi29@example.org,2024-10-01,True,2025-05-07 05:19:18.441395
49,iyeongjin,junhyeog23@example.org,2024-09-04,False,2025-05-25 23:18:22.063107
50,gangjimin,sangceoli@example.net,2024-07-12,False,2025-05-20 16:36:25.128684
