session_id,counselor,customer_name,chat_type,start_time,end_time,satisfaction_score,resolved
181,42,장지후,채팅,2025-05-04 00:42:53.285065,2025-05-25 06:46:16.682294,3,True
179,23,김병철,채팅,2025-05-22 11:32:25.365389,2025-05-25 18:33:03.758557,4,True
186,4,배지아,전화,2025-05-20 02:40:34.226732,2025-05-28 14:11:22.006188,3,True
50,33,김숙자,채팅,2025-05-10 09:29:35.106260,2025-05-31 23:53:19.019089,1,True
81,42,장정웅,채팅,2025-05-13 16:43:00.983655,2025-05-03 00:52:12.509762,2,True
35,28,안혜진,전화,2025-05-02 23:40:40.745942,2025-05-23 08:12:59.489311,4,True
8,46,오예지,기타,2025-05-08 23:48:31.457011,2025-05-23 08:46:04.610523,2,True
111,39,이진호,기타,2025-05-15 20:05:46.533290,2025-05-31 16:58:40.002247,3,True
92,20,이하윤,전화,2025-05-06 19:14:38.694469,2025-05-05 11:46:55.579637,5,True
84,45,심정식,채팅,2025-05-31 00:00:56.084363,2025-05-18 15:44:03.513297,3,True
177,36,류지현,기타,2025-05-07 23:14:52.890209,2025-05-26 18:39:05.728222,1,True
182,42,최경수,전화,2025-05-08 06:38:17.900012,2025-05-14 20:32:44.025296,3,True
90,27,이준서,채팅,2025-05-21 02:27:34.111369,2025-06-01 17:08:17.953823,3,True
9,45,김승현,전화,2025-05-10 19:56:51.419338,2025-05-27 20:01:53.144533,4,True
14,50,김보람,전화,2025-05-27 14:03:14.914045,2025-05-07 01:56:13.790043,3,True
60,30,남성현,기타,2025-05-16 21:05:55.550421,2025-05-11 15:05:39.913606,2,True
172,20,이진호,전화,2025-05-17 10:50:13.745501,2025-05-29 20:14:46.023793,1,True
132,34,장병철,기타,2025-06-01 16:43:15.238170,2025-05-26 15:39:21.836678,1,True
18,32,한미영,기타,2025-05-14 01:12:02.653490,2025-05-03 05:38:49.566727,5,False
73,23,김영수,전화,2025-05-08 11:25:32.125185,2025-05-21 01:34:01.663275,4,False
176,8,김정희,기타,2025-05-10 02:11:42.870393,2025-06-02 07:56:36.253108,5,False
135,12,이은영,기타,2025-05-11 09:08:19.585862,2025-05-17 11:24:23.848242,3,False
168,32,손진호,채팅,2025-05-05 16:03:34.369668,2025-05-11 02:56:33.471395,4,True
184,2,박영순,전화,2025-05-29 01:07:03.254994,2025-05-16 09:17:28.085935,1,True
64,38,권성훈,전화,2025-05-12 15:42:59.869680,2025-05-16 03:42:10.671049,5,True
55,11,이민재,기타,2025-06-02 06:20:29.331656,2025-05-20 23:09:48.883421,5,True
108,20,이재호,채팅,2025-05-10 03:17:56.262818,2025-05-09 03:32:46.251498,5,True
51,15,장성민,전화,2025-05-31 03:53:03.646910,2025-05-08 02:31:35.184588,1,True
197,15,이민지,전화,2025-05-10 09:30:23.437192,2025-05-14 00:02:47.164728,1,True
59,31,서아름,채팅,2025-05-09 04:56:18.074561,2025-05-25 13:22:12.612791,1,True
49,49,심정훈,기타,2025-05-12 09:21:17.423986,2025-05-05 17:10:09.800368,4,True
89,38,오옥순,전화,2025-05-06 10:09:41.706505,2025-05-21 13:26:49.986107,5,True
22,10,박영숙,채팅,2025-05-26 08:45:23.143290,2025-05-13 10:38:40.814420,5,True
58,9,이주원,채팅,2025-05-20 14:48:12.590333,2025-05-15 09:14:02.290831,3,True
161,39,진정남,기타,2025-05-20 07:54:25.494495,2025-05-13 01:12:49.345808,1,True
193,38,송재현,전화,2025-05-31 06:24:58.471789,2025-05-06 20:47:43.691180,3,True
130,4,김은서,기타,2025-05-31 13:34:30.172165,2025-05-06 21:01:44.659785,2,False
38,25,최서준,기타,2025-06-01 10:27:30.260215,2025-05-12 19:13:33.883739,1,False
158,28,이예은,기타,2025-05-18 10:50:55.145189,2025-05-19 01:45:10.145302,2,True
194,5,김현주,전화,2025-05-10 03:42:49.470644,2025-05-22 23:58:12.360021,3,False
2,44,강경숙,기타,2025-05-18 12:23:42.858466,2025-05-14 13:49:25.619495,1,True
53,25,강건우,기타,2025-05-08 21:23:20.289250,2025-05-04 19:51:16.930539,3,True
150,26,권은주,전화,2025-05-18 11:20:39.376985,2025-05-04 14:22:42.780885,5,True
131,42,배상훈,기타,2025-05-17 01:18:43.208069,2025-05-03 20:28:59.197302,4,True
152,45,손정남,전화,2025-05-08 00:23:03.555704,2025-05-21 16:48:07.640477,1,True
104,44,김정수,기타,2025-05-11 05:43:22.495525,2025-05-21 07:02:47.416544,5,True
100,12,김성진,기타,2025-05-19 22:01:12.337167,2025-05-10 21:51:38.889077,3,True
117,17,성경숙,기타,2025-05-10 02:15:42.103138,2025-05-29 22:31:51.443381,1,True
88,19,주서현,전화,2025-05-11 03:57:16.877796,2025-05-09 02:13:39.307862,3,True
75,31,황정호,기타,2025-05-27 20:11:40.244961,2025-05-07 07:49:03.804008,5,False
122,31,류현지,기타,2025-05-16 06:03:17.633480,2025-05-20 06:12:38.997351,1,True
200,28,김정호,전화,2025-05-24 00:59:01.095942,2025-05-08 01:00:54.661081,2,True
21,6,박도윤,채팅,2025-05-09 06:58:29.689641,2025-06-01 15:29:43.775300,2,True
189,11,이영자,기타,2025-05-26 15:10:49.743667,2025-05-09 11:58:06.686496,1,True
72,2,한현우,채팅,2025-05-27 00:25:58.263227,2025-05-09 01:07:05.985374,3,True
107,19,황준영,전화,2025-05-03 00:55:30.070230,2025-05-10 07:55:37.355940,2,True
15,12,이우진,기타,2025-05-16 12:00:09.875702,2025-05-27 00:35:15.012505,1,True
93,31,한영길,기타,2025-05-26 20:11:03.160357,2025-05-19 12:51:29.912977,2,True
180,8,한준호,채팅,2025-05-11 02:04:03.324745,2025-05-03 22:28:14.284038,3,True
103,29,김지민,기타,2025-05-20 14:21:46.418496,2025-05-30 11:17:07.176891,5,False
