session_id,counselor,customer_name,chat_type,start_time
1,30,김승민,기타,2025-06-02 06:49:38.311205
2,44,강경숙,기타,2025-05-18 12:23:42.858466
3,8,이지연,기타,2025-05-14 14:09:32.445297
4,24,신영호,채팅,2025-05-24 23:05:29.472439
5,44,이미숙,채팅,2025-05-31 09:01:34.790286
6,45,조지은,전화,2025-05-08 19:50:59.710384
7,20,서영환,채팅,2025-05-26 06:16:44.401328
8,46,오예지,기타,2025-05-08 23:48:31.457011
9,45,김승현,전화,2025-05-10 19:56:51.419338
10,38,노은영,기타,2025-05-29 07:20:54.023376
11,5,김경희,전화,2025-05-10 14:10:46.997745
12,1,이수민,전화,2025-05-12 12:34:49.488600
13,15,김준서,기타,2025-05-14 16:42:02.206193
14,50,김보람,전화,2025-05-27 14:03:14.914045
15,12,이우진,기타,2025-05-16 12:00:09.875702
16,38,이예지,채팅,2025-05-03 17:39:07.856522
17,43,고현지,전화,2025-05-24 07:05:38.803474
18,32,한미영,기타,2025-05-14 01:12:02.653490
19,2,송은서,기타,2025-05-30 03:07:35.777899
20,40,박성훈,전화,2025-05-21 02:42:00.579646
21,6,박도윤,채팅,2025-05-09 06:58:29.689641
22,10,박영숙,채팅,2025-05-26 08:45:23.143290
23,35,김보람,기타,2025-05-17 04:08:29.183578
24,44,백서윤,채팅,2025-06-02 06:26:49.693048
25,40,김지우,채팅,2025-05-02 23:20:34.787734
26,14,박은서,채팅,2025-05-31 22:53:59.586934
27,27,류지민,기타,2025-05-31 02:56:35.551508
28,16,김예진,전화,2025-05-20 11:11:56.700722
29,20,김춘자,기타,2025-05-13 09:26:26.456594
30,36,구은지,기타,2025-05-04 11:21:49.790968
31,45,박윤서,기타,2025-05-31 23:27:31.618510
32,27,박영환,전화,2025-05-08 13:52:21.620005
33,38,이예은,기타,2025-05-16 02:46:54.074816
34,12,허미영,전화,2025-05-10 03:15:47.807712
35,28,안혜진,전화,2025-05-02 23:40:40.745942
36,27,최종수,기타,2025-05-07 23:23:27.577756
37,8,김명자,채팅,2025-05-30 07:26:51.369031
38,25,최서준,기타,2025-06-01 10:27:30.260215
39,29,김우진,채팅,2025-05-12 06:02:21.618873
40,40,이도윤,전화,2025-05-22 21:59:31.408388
41,27,김지아,채팅,2025-05-13 18:07:11.558194
42,23,이예은,기타,2025-05-16 01:18:19.344448
43,14,김혜진,전화,2025-05-12 12:22:04.836905
44,50,고서준,채팅,2025-05-22 02:33:06.126553
45,36,허지은,전화,2025-05-18 23:27:25.683584
46,9,한승민,채팅,2025-05-05 19:00:16.911415
47,20,최정자,기타,2025-05-18 02:15:29.368957
48,33,안영숙,기타,2025-05-03 20:32:39.331705
49,49,심정훈,기타,2025-05-12 09:21:17.423986
50,33,김숙자,채팅,2025-05-10 09:29:35.106260
51,15,장성민,전화,2025-05-31 03:53:03.646910
52,44,남아름,전화,2025-05-24 20:39:04.433223
53,25,강건우,기타,2025-05-08 21:23:20.289250
54,13,성중수,전화,2025-05-21 22:27:21.328022
55,11,이민재,기타,2025-06-02 06:20:29.331656
56,33,이도윤,기타,2025-05-27 19:15:23.414798
57,45,성민준,전화,2025-05-28 17:25:49.157748
58,9,이주원,채팅,2025-05-20 14:48:12.590333
59,31,서아름,채팅,2025-05-09 04:56:18.074561
60,30,남성현,기타,2025-05-16 21:05:55.550421
61,40,김보람,채팅,2025-05-04 17:01:59.954603
62,26,김민준,전화,2025-05-18 12:38:11.228999
63,44,민영식,기타,2025-05-21 12:40:22.662193
64,38,권성훈,전화,2025-05-12 15:42:59.869680
65,1,김서윤,채팅,2025-05-21 22:18:00.682608
66,45,고도윤,전화,2025-05-21 14:51:08.535100
67,9,이병철,기타,2025-05-11 07:41:45.518646
68,22,이현준,전화,2025-05-27 14:53:04.172668
69,4,김영진,전화,2025-05-05 21:14:15.047175
70,1,백광수,전화,2025-05-20 12:27:41.906119
71,3,김순자,채팅,2025-05-03 18:53:59.969573
72,2,한현우,채팅,2025-05-27 00:25:58.263227
73,23,김영수,전화,2025-05-08 11:25:32.125185
74,11,이예준,전화,2025-05-16 17:28:21.336370
75,31,황정호,기타,2025-05-27 20:11:40.244961
76,45,권영미,채팅,2025-05-27 12:23:14.533782
77,35,강수진,채팅,2025-05-23 19:14:47.157161
78,43,이영자,기타,2025-05-22 10:30:46.859367
79,44,송정호,채팅,2025-05-22 23:09:41.895800
80,49,조윤서,기타,2025-05-17 02:06:08.808531
81,42,장정웅,채팅,2025-05-13 16:43:00.983655
82,9,송지민,기타,2025-05-19 19:24:51.721383
83,47,서영미,기타,2025-05-06 19:19:47.332177
84,45,심정식,채팅,2025-05-31 00:00:56.084363
85,34,이미영,기타,2025-05-08 11:40:25.296883
86,22,남영일,채팅,2025-05-14 07:03:37.021067
87,38,박아름,채팅,2025-05-08 21:43:28.549139
88,19,주서현,전화,2025-05-11 03:57:16.877796
89,38,오옥순,전화,2025-05-06 10:09:41.706505
90,27,이준서,채팅,2025-05-21 02:27:34.111369
91,46,문중수,전화,2025-05-07 21:54:08.199059
92,20,이하윤,전화,2025-05-06 19:14:38.694469
93,31,한영길,기타,2025-05-26 20:11:03.160357
94,4,문명자,채팅,2025-06-01 15:47:03.047235
95,33,윤영일,기타,2025-05-23 09:03:07.198691
96,11,이상호,전화,2025-05-31 17:53:45.975174
97,11,박영수,기타,2025-05-09 16:03:55.470718
98,33,최선영,채팅,2025-05-13 02:35:35.473567
99,37,박지현,채팅,2025-05-04 03:08:13.275404
100,12,김성진,기타,2025-05-19 22:01:12.337167
101,7,심서윤,채팅,2025-05-28 09:44:04.999892
102,7,서정웅,채팅,2025-05-04 02:34:05.846563
103,29,김지민,기타,2025-05-20 14:21:46.418496
104,44,김정수,기타,2025-05-11 05:43:22.495525
105,22,김은서,전화,2025-05-22 07:36:46.749548
106,4,양영숙,기타,2025-05-16 09:08:57.639500
107,19,황준영,전화,2025-05-03 00:55:30.070230
108,20,이재호,채팅,2025-05-10 03:17:56.262818
109,7,유경자,기타,2025-05-31 02:18:41.180475
110,18,이재호,기타,2025-05-23 15:44:10.938640
111,39,이진호,기타,2025-05-15 20:05:46.533290
112,10,남숙자,채팅,2025-05-30 08:27:10.879471
113,49,권민지,전화,2025-05-31 14:00:10.335365
114,33,이옥자,기타,2025-05-14 10:22:45.570724
115,30,김민지,채팅,2025-05-12 11:35:19.430585
116,17,박지연,기타,2025-05-17 15:26:24.060986
117,17,성경숙,기타,2025-05-10 02:15:42.103138
118,43,조서준,전화,2025-05-22 12:10:07.584814
119,26,김은주,전화,2025-05-12 22:42:55.919343
120,26,박주원,채팅,2025-05-15 16:03:25.745414
121,11,김재호,채팅,2025-05-11 11:00:48.723974
122,31,류현지,기타,2025-05-16 06:03:17.633480
123,35,임경숙,기타,2025-05-08 18:24:23.838319
124,28,김지후,채팅,2025-05-06 06:56:14.965689
125,39,김혜진,전화,2025-05-20 20:25:07.811873
126,41,박경숙,전화,2025-05-19 21:55:16.861677
127,34,이병철,기타,2025-05-17 10:57:38.599280
128,9,한춘자,기타,2025-05-25 08:53:01.508398
129,9,김지훈,전화,2025-05-26 12:12:44.201966
130,4,김은서,기타,2025-05-31 13:34:30.172165
131,42,배상훈,기타,2025-05-17 01:18:43.208069
132,34,장병철,기타,2025-06-01 16:43:15.238170
133,49,이정웅,채팅,2025-05-23 20:56:25.767310
134,1,정준영,전화,2025-05-22 17:27:34.806679
135,12,이은영,기타,2025-05-11 09:08:19.585862
136,8,박종수,전화,2025-05-14 18:28:05.613096
137,10,황지영,채팅,2025-05-09 07:06:53.999318
138,36,김지원,기타,2025-05-14 04:28:50.151365
139,3,고동현,채팅,2025-05-23 13:03:02.442822
140,50,심미경,채팅,2025-05-29 04:07:56.547943
141,25,최하은,기타,2025-05-08 14:50:15.121669
142,18,손채원,채팅,2025-05-31 03:37:12.270218
143,44,이성훈,기타,2025-05-23 19:11:14.616859
144,11,박정웅,채팅,2025-05-17 07:21:57.216440
145,36,이현숙,전화,2025-05-17 16:26:29.901596
146,41,진지아,기타,2025-05-03 08:24:15.422525
147,9,류예지,전화,2025-05-07 22:04:56.954164
148,15,오아름,채팅,2025-05-15 00:10:05.399064
149,19,오서현,기타,2025-05-26 12:26:19.983231
150,26,권은주,전화,2025-05-18 11:20:39.376985
151,15,조현정,채팅,2025-06-01 10:20:49.476322
152,45,손정남,전화,2025-05-08 00:23:03.555704
153,31,이영수,기타,2025-05-19 14:03:07.236680
154,45,전영자,기타,2025-05-12 06:50:35.834090
155,10,김미정,기타,2025-05-04 05:42:57.552817
156,29,송경수,전화,2025-05-09 22:28:21.279730
157,38,이정순,채팅,2025-05-25 03:13:04.144193
158,28,이예은,기타,2025-05-18 10:50:55.145189
159,28,이윤서,채팅,2025-05-07 18:15:55.209651
160,28,박상호,채팅,2025-06-01 20:06:43.148084
161,39,진정남,기타,2025-05-20 07:54:25.494495
162,24,서지후,채팅,2025-05-14 08:51:35.819293
163,24,하은서,기타,2025-05-14 23:20:52.235939
164,9,이병철,기타,2025-05-05 18:45:02.653050
165,2,이하은,전화,2025-05-06 05:17:23.523074
166,28,김영환,전화,2025-05-03 12:16:01.792421
167,17,이상철,전화,2025-05-23 22:57:25.599001
168,32,손진호,채팅,2025-05-05 16:03:34.369668
169,23,심준혁,기타,2025-05-06 06:46:13.425921
170,49,이영숙,채팅,2025-05-10 06:50:52.036595
171,16,고경자,전화,2025-05-18 04:41:18.315313
172,20,이진호,전화,2025-05-17 10:50:13.745501
173,15,손지우,채팅,2025-05-05 05:48:53.089217
174,9,최우진,전화,2025-05-10 06:15:01.489516
175,22,권경숙,기타,2025-05-19 06:01:55.699884
176,8,김정희,기타,2025-05-10 02:11:42.870393
177,36,류지현,기타,2025-05-07 23:14:52.890209
178,26,류숙자,전화,2025-05-07 15:53:16.153003
179,23,김병철,채팅,2025-05-22 11:32:25.365389
180,8,한준호,채팅,2025-05-11 02:04:03.324745
181,42,장지후,채팅,2025-05-04 00:42:53.285065
182,42,최경수,전화,2025-05-08 06:38:17.900012
183,13,백수빈,채팅,2025-05-10 04:30:24.024446
184,2,박영순,전화,2025-05-29 01:07:03.254994
185,11,임명숙,채팅,2025-05-21 12:44:28.332733
186,4,배지아,전화,2025-05-20 02:40:34.226732
187,18,박민재,기타,2025-05-26 10:18:28.537020
188,5,안영희,전화,2025-05-12 23:15:41.629317
189,11,이영자,기타,2025-05-26 15:10:49.743667
190,39,김광수,전화,2025-05-27 17:50:57.645153
191,29,이서현,채팅,2025-05-16 02:25:59.821675
192,23,주성진,전화,2025-05-20 08:02:17.462444
193,38,송재현,전화,2025-05-31 06:24:58.471789
194,5,김현주,전화,2025-05-10 03:42:49.470644
195,37,박영자,전화,2025-05-11 14:17:37.590694
196,37,김지훈,채팅,2025-05-30 17:31:26.697474
197,15,이민지,전화,2025-05-10 09:30:23.437192
198,3,이서현,기타,2025-05-16 18:20:34.834546
199,38,김지연,기타,2025-05-08 14:23:28.339486
200,28,김정호,전화,2025-05-24 00:59:01.095942
