session_id,counselor,customer_name,end_time,satisfaction_score,resolved
1,30,김승민,2025-05-16 19:14:25.686629,2,True
2,44,강경숙,2025-05-14 13:49:25.619495,1,True
3,8,이지연,2025-05-21 22:19:02.345580,4,True
4,24,신영호,2025-05-10 01:17:53.234201,1,True
5,44,이미숙,2025-05-16 13:04:49.996933,4,True
6,45,조지은,2025-05-12 14:44:11.095903,2,False
7,20,서영환,2025-06-01 01:41:34.689795,1,True
8,46,오예지,2025-05-23 08:46:04.610523,2,True
9,45,김승현,2025-05-27 20:01:53.144533,4,True
10,38,노은영,2025-05-13 22:20:39.658098,2,True
11,5,김경희,2025-05-03 02:22:21.903047,3,False
12,1,이수민,2025-05-22 04:44:57.976642,2,False
13,15,김준서,2025-05-26 03:44:21.649985,4,True
14,50,김보람,2025-05-07 01:56:13.790043,3,True
15,12,이우진,2025-05-27 00:35:15.012505,1,True
16,38,이예지,2025-05-08 00:44:26.622976,1,True
17,43,고현지,2025-05-21 19:59:08.713226,3,True
18,32,한미영,2025-05-03 05:38:49.566727,5,False
19,2,송은서,2025-05-08 15:19:52.350020,1,True
20,40,박성훈,2025-05-21 01:56:04.721300,5,True
21,6,박도윤,2025-06-01 15:29:43.775300,2,True
22,10,박영숙,2025-05-13 10:38:40.814420,5,True
23,35,김보람,2025-06-01 15:58:33.945352,3,True
24,44,백서윤,2025-05-06 20:19:18.208429,2,True
25,40,김지우,2025-06-01 17:59:31.986644,3,True
26,14,박은서,2025-05-08 22:24:01.067293,4,True
27,27,류지민,2025-05-27 05:34:43.128030,4,True
28,16,김예진,2025-05-20 04:26:51.820947,2,True
29,20,김춘자,2025-05-04 02:54:07.707793,1,True
30,36,구은지,2025-05-26 23:20:41.261960,2,True
31,45,박윤서,2025-05-24 04:18:35.604884,2,True
32,27,박영환,2025-05-16 18:22:51.167824,2,True
33,38,이예은,2025-05-03 08:04:37.021176,3,False
34,12,허미영,2025-05-20 04:15:15.964079,1,False
35,28,안혜진,2025-05-23 08:12:59.489311,4,True
36,27,최종수,2025-05-08 00:46:13.737523,4,True
37,8,김명자,2025-05-30 04:15:31.730647,2,True
38,25,최서준,2025-05-12 19:13:33.883739,1,False
39,29,김우진,2025-05-15 10:47:20.691520,3,True
40,40,이도윤,2025-05-18 18:14:13.140924,4,False
41,27,김지아,2025-06-01 17:27:48.110547,5,True
42,23,이예은,2025-05-26 19:19:09.314500,4,False
43,14,김혜진,2025-05-20 13:16:39.362939,4,True
44,50,고서준,2025-05-14 02:15:13.157093,5,True
45,36,허지은,2025-05-08 07:52:59.079647,1,True
46,9,한승민,2025-05-07 12:16:52.549784,3,True
47,20,최정자,2025-05-25 04:07:59.563739,5,True
48,33,안영숙,2025-05-17 17:21:26.291340,3,True
49,49,심정훈,2025-05-05 17:10:09.800368,4,True
50,33,김숙자,2025-05-31 23:53:19.019089,1,True
51,15,장성민,2025-05-08 02:31:35.184588,1,True
52,44,남아름,2025-05-09 10:47:16.827805,2,False
53,25,강건우,2025-05-04 19:51:16.930539,3,True
54,13,성중수,2025-05-04 00:01:55.974316,2,True
55,11,이민재,2025-05-20 23:09:48.883421,5,True
56,33,이도윤,2025-05-19 19:55:34.236826,2,True
57,45,성민준,2025-05-06 11:57:25.209015,3,True
58,9,이주원,2025-05-15 09:14:02.290831,3,True
59,31,서아름,2025-05-25 13:22:12.612791,1,True
60,30,남성현,2025-05-11 15:05:39.913606,2,True
61,40,김보람,2025-05-14 20:48:21.479070,5,True
62,26,김민준,2025-05-09 17:54:32.333778,5,True
63,44,민영식,2025-05-13 08:02:54.199841,1,True
64,38,권성훈,2025-05-16 03:42:10.671049,5,True
65,1,김서윤,2025-05-26 16:33:19.032631,1,False
66,45,고도윤,2025-05-26 05:06:39.721926,4,True
67,9,이병철,2025-05-12 06:28:02.741630,1,False
68,22,이현준,2025-05-03 23:52:27.238754,5,True
69,4,김영진,2025-05-21 02:31:19.718252,1,True
70,1,백광수,2025-05-22 15:40:34.905659,2,True
71,3,김순자,2025-05-24 01:52:00.643611,1,True
72,2,한현우,2025-05-09 01:07:05.985374,3,True
73,23,김영수,2025-05-21 01:34:01.663275,4,False
74,11,이예준,2025-05-29 20:05:48.116793,2,True
75,31,황정호,2025-05-07 07:49:03.804008,5,False
76,45,권영미,2025-05-04 23:13:13.146914,2,True
77,35,강수진,2025-05-03 17:01:33.019010,1,True
