detail_id,contact_id,address,birthday,company,job,notes,favorite
45,45,인천광역시 노원구 양재천가 73-14,2009-03-06,김손,건설자재 시험원,Soluta porro reiciendis maxime. Aspernatur soluta aut veniam sapiente facere est.,False
48,48,광주광역시 종로구 반포대31가 399 (시우이면),1969-07-16,주식회사 박김한,물리 및 작업 치료사,Molestias ullam quae unde. Illum libero ab consectetur sint odit.,False
5,5,충청북도 광명시 백제고분5길 953,1986-05-07,박황,자동차 정비원,Adipisci non animi qui officia maiores. Esse doloribus delectus nihil ab commodi.,True
56,56,전라북도 용인시 기흥구 역삼가 797,1951-06-12,나오,배관 세정원 및 방역원,Quasi animi reiciendis fugit perferendis. Quis ipsa est similique voluptatum omnis.,True
27,27,울산광역시 강서구 백제고분길 995 (상훈김읍),1997-05-13,주식회사 황,자연과학 시험원,Alias quaerat est exercitationem ipsa. Dolores temporibus accusamus veniam fuga.,False
65,65,경기도 고양시 선릉거리 785-58,1956-03-14,(주) 유김황,광석 및 석제품 가공기 조작원,Itaque quisquam delectus tenetur.,False
74,74,전라북도 홍천군 학동901길 311,1974-01-23,주식회사 홍이김,생명과학 연구원,Repudiandae molestias sapiente deleniti. Atque facilis voluptates quasi unde nisi reprehenderit.,False
11,11,인천광역시 서초구 논현2로 538 (영일최읍),1988-12-31,안김이,과실 및 채소 관련 기계조작원,Iusto aliquid at. Accusamus rem perspiciatis. Aliquid magnam molestias vel tenetur.,False
41,41,전라남도 안산시 단원구 백제고분거리 472,1960-06-16,송곽김,과실 및 채소 관련 기계조작원,Corrupti consequatur sint repudiandae quod neque. Rerum assumenda officiis esse alias omnis.,False
108,108,부산광역시 도봉구 영동대845거리 지하894 (예준장마을),1968-02-17,장김,제품 디자이너,Suscipit et cumque aut qui facilis.,False
19,19,울산광역시 용산구 석촌호수거리 14-5 (옥자김윤동),1947-03-21,(주) 박김이,무역 사무원,Doloremque aperiam iure recusandae quod. Ab et nam minima. Eaque sapiente debitis nam.,True
63,63,세종특별자치시 동대문구 봉은사로 589 (도윤한마을),1963-07-02,김이,인쇄기 조작원,Aut magnam voluptatum omnis. Nemo aspernatur molestias cupiditate.,True
12,12,인천광역시 관악구 가락길 960-25,1987-09-28,김문최,과실 및 채소 관련 기계조작원,Vel quibusdam officiis quia perferendis. Sed ducimus expedita optio eveniet tempore.,False
37,37,경상북도 안성시 양재천가 682,1991-06-23,김윤,간호사,Quo blanditiis modi nisi sunt dolor assumenda.,True
90,90,제주특별자치도 인제군 논현가 70-94,1964-01-30,이김,건설 및 광업 단순 종사원,Nesciunt repellat esse veritatis voluptatibus. Fugit fugiat consequatur occaecati.,False
92,92,세종특별자치시 양천구 영동대가 483-83,1951-02-25,최황김,농림어업관련 시험원,Voluptas est ipsam a quia. Consequatur dicta ut vitae earum. Odit enim voluptatibus quia delectus.,False
110,110,대구광역시 중구 석촌호수길 191 (보람차이읍),1976-08-15,주식회사 박박김,육류/어패류 및 낙농품 가공 기계조작원,Perspiciatis quidem quam odit doloremque. Quod cum molestiae eius soluta numquam.,False
1,1,광주광역시 중랑구 논현323거리 316-23 (경자문권동),1963-05-18,(주) 강김장,학습지 및 방문 교사,In sit assumenda itaque repellat. Voluptas ducimus sequi facilis beatae eum corrupti.,False
89,89,경기도 청주시 서원구 논현457가 258,1982-05-10,주식회사 김김박,통신 및 관련 장비 설치 및 수리원,Veritatis molestias iste aliquam. Accusamus cumque explicabo reprehenderit ea fuga illum minus.,False
105,105,강원도 속초시 반포대93거리 631 (영자양면),1957-01-11,장박김,통신 및 관련 장비 설치 및 수리원,Officia amet ducimus assumenda ab temporibus.,False
66,66,경상남도 안양시 동안구 강남대9로 427-20 (승민김리),1966-07-05,(주) 노,생명과학 시험원,Distinctio esse tempore ipsam maxime debitis. Soluta reprehenderit ab dolore similique.,False
46,46,전라북도 수원시 장안구 언주571가 953 (예지노김동),1974-05-21,이이박,주유원,Nam cumque aut distinctio nobis illo porro. Sit eligendi quasi. Officiis molestiae tempora cumque.,True
32,32,울산광역시 북구 테헤란가 779 (지우김남마을),1953-02-25,유한회사 김이이,자동차 정비원,Nam dicta vitae nihil. In asperiores cumque cum consectetur. Inventore iusto tempora.,True
71,71,부산광역시 강남구 언주길 331-18,1966-05-27,(주) 서,공예원,Quis optio ipsam sint vel. Labore ut dolor itaque ad dolor.,False
43,43,부산광역시 은평구 강남대4로 지하292,1949-03-13,주식회사 오정최,위생사,Perferendis debitis excepturi qui totam impedit ipsam quam. Tempore delectus commodi autem.,False
13,13,광주광역시 강남구 서초대가 419 (은서이동),1974-06-19,김김,응용 소프트웨어 개발자,Praesentium voluptate quisquam laborum. Magnam nobis accusantium voluptatibus itaque.,True
16,16,부산광역시 남구 언주로 462 (경숙권리),2010-01-06,김류,통신 및 방송송출 장비 기사,Laboriosam excepturi voluptates consectetur sapiente. Provident fuga est voluptas.,False
115,115,충청북도 군포시 오금가 235 (선영서읍),1965-07-10,(주) 김심송,변호사,Voluptate esse quaerat rem consectetur harum. Doloremque aliquid consequatur optio eos.,False
77,77,대전광역시 관악구 오금5길 592-83,2002-05-12,(유) 강,아나운서 및 리포터,Quis magni dignissimos officiis reiciendis. Temporibus facere sequi aspernatur.,False
98,98,전라북도 철원군 개포269길 607 (수민허읍),1954-07-14,우박김,간호사,Placeat eius quos officia dolor officia. Maiores porro praesentium velit.,False
25,25,대구광역시 동대문구 백제고분606로 528,1988-08-31,황김박,기타 금융 및 보험 관련 전문가,Porro nihil nesciunt cumque impedit pariatur. Nisi accusamus ut voluptate.,False
79,79,대구광역시 서구 반포대350길 29,1965-06-24,유한회사 박,플라스틱제품 생산기 조작원,Maxime vitae eligendi voluptatem eius eius. Recusandae illum nemo dignissimos sint cupiditate.,False
23,23,전라남도 수원시 영통구 언주1로 490 (선영유이리),1949-09-04,(주) 최,택시 운전원,Tempore sunt nulla id numquam earum sunt distinctio. Doloremque facere similique ullam nisi dolore.,False
97,97,전라북도 성남시 중원구 잠실거리 400 (정순배박읍),1978-01-21,(주) 이이김,기타 자동차 운전원,Reiciendis pariatur doloremque rerum vero. Odit occaecati quae quisquam error.,False
57,57,부산광역시 중구 압구정6거리 655,1976-08-11,장한,통신공학 기술자 및 연구원,"Magni consequatur ullam nemo.
Illo hic quos illo dignissimos minus molestias.",False
111,111,세종특별자치시 송파구 역삼로 882-93,1996-09-03,(유) 김,보육 교사,Saepe quisquam iure alias voluptas ducimus. Iste quae magnam repudiandae.,False
31,31,부산광역시 서대문구 서초중앙로 197,1955-04-04,이홍고,자동차 영업원,Blanditiis voluptatem hic impedit earum quisquam ad. Nulla recusandae impedit non.,False
54,54,경상남도 구리시 도산대10가 지하534 (명숙안민리),1972-02-04,유한회사 박김장,건설 및 광업 단순 종사원,Suscipit tenetur error quas facilis quod illum atque. Ipsum nobis ullam repudiandae cum.,False
119,119,세종특별자치시 성동구 양재천가 588-12,1959-06-14,(주) 이,상품기획 전문가,Unde veniam ut minus voluptatibus perspiciatis enim.,True
10,10,전라남도 용인시 기흥구 압구정가 651 (성진김홍동),1944-07-05,김이류,환경공학 시험원,Corporis fuga qui qui perspiciatis animi. Quibusdam quia quisquam fugit omnis illo.,True
34,34,제주특별자치도 고양시 덕양구 테헤란883거리 461 (하윤류리),1988-08-19,박장이,기타 공학관련 기술자 및 시험원,Voluptatum assumenda delectus.,False
26,26,울산광역시 양천구 가락1길 지하171 (지혜이마을),1977-08-14,이이,건축가 및 건축공학 기술자,Dignissimos quis enim dolores. Sed natus modi perferendis quia.,False
70,70,경기도 충주시 삼성0거리 940 (영식오읍),1948-05-12,김이박,만화가 및 만화영화 작가,Nostrum amet est illo minima. Pariatur recusandae pariatur autem officiis.,False
29,29,서울특별시 은평구 서초대거리 지하304 (종수김읍),1966-06-03,(유) 박,기타 비금속제품관련 생산기 조작원,Sit cum quis totam optio quo. Repellat eum inventore debitis quaerat nemo voluptas eligendi.,True
99,99,울산광역시 중랑구 잠실길 70,1978-05-01,(주) 이김황,피부미용 및 체형관리사,Dolor voluptate eaque aperiam. Libero neque unde incidunt natus eligendi amet facere.,False
86,86,울산광역시 서구 선릉63로 600-48 (수빈김하면),1995-09-22,주식회사 임,냉동/냉장 /공조기 설치 및 정비원,Ratione dicta mollitia hic est voluptate. Corporis sunt voluptas labore veritatis at.,False
6,6,경기도 여주시 양재천길 618-75,2001-11-29,(유) 이,건설 및 광업 단순 종사원,Aliquam eaque hic debitis. Dolores repellat ipsa harum dolorum mollitia.,False
91,91,서울특별시 중랑구 오금64거리 508,1976-05-20,(유) 양,컴퓨터 강사,Placeat eligendi vero eveniet. Sunt alias amet debitis commodi quia.,False
