user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at
1,053-543-3603,인증대기,골드,True,1,2024-07-11 12:47:10.046747,2025-04-12 12:07:34.340612
6,041-303-1492,인증완료,VIP,False,3,2024-09-22 01:32:10.721837,2025-02-12 22:06:42.416651
37,031-774-8373,인증대기,VIP,False,2,2024-11-22 18:54:55.788045,2025-04-07 14:55:09.366413
46,070-4967-0867,인증대기,VIP,False,1,2024-08-27 15:59:37.778936,2025-02-21 12:56:36.539731
14,042-120-8274,인증대기,골드,False,0,2024-10-24 03:51:50.560872,2025-02-11 23:21:28.494133
55,018-389-7776,인증대기,무료,False,3,2025-05-26 09:11:26.851333,2025-06-01 14:30:58.351267
34,016-660-5942,미인증,골드,True,3,2024-09-20 12:13:47.717412,2025-03-31 14:39:13.880951
49,011-027-6061,인증완료,VIP,False,2,2024-12-31 06:49:50.735514,2025-02-13 11:37:51.327812
13,010-3518-4696,미인증,VIP,False,1,2025-04-06 16:00:48.809154,2025-02-12 22:40:05.130932
58,052-082-6988,인증대기,무료,False,3,2024-10-17 01:33:02.179507,2025-05-23 21:29:08.820179
47,041-212-9001,인증완료,VIP,True,1,2025-03-30 08:16:38.209820,2025-02-02 07:30:09.629941
51,02-4063-6554,인증완료,골드,False,3,2024-12-07 00:49:59.706811,2025-06-01 21:06:53.487796
32,055-201-8930,인증대기,프리미엄,True,0,2024-09-05 07:31:04.135319,2025-05-22 22:51:48.143969
4,019-335-6059,인증완료,프리미엄,False,0,2024-06-22 14:49:25.451361,2025-03-27 12:40:19.339718
53,063-607-9270,인증완료,골드,True,0,2024-10-24 05:43:44.852910,2025-02-21 18:27:29.431905
18,016-258-0371,미인증,골드,True,0,2024-07-25 03:53:04.338802,2025-02-04 13:05:41.116012
9,054-774-6810,미인증,VIP,False,0,2025-05-25 10:11:10.629725,2025-05-01 09:56:01.836522
7,017-659-0121,인증대기,무료,False,3,2024-10-29 17:08:45.427758,2025-05-29 22:22:56.236719
41,041-971-8290,인증완료,골드,False,3,2024-08-31 09:01:47.978134,2025-04-29 12:22:40.028237
5,063-890-2592,인증완료,골드,False,1,2025-03-05 06:14:37.075887,2025-05-06 13:24:29.086817
44,041-273-8144,인증대기,프리미엄,False,3,2025-03-25 04:59:39.789436,2025-01-19 04:48:56.218286
20,042-840-5873,인증완료,프리미엄,False,1,2024-06-08 12:20:58.328844,2025-04-02 08:42:17.064567
35,064-786-7292,인증완료,VIP,False,1,2024-07-18 16:08:24.714933,2025-01-19 01:39:41.450823
59,041-011-1527,인증대기,프리미엄,False,1,2024-09-17 07:36:48.706081,2024-12-19 14:42:41.460545
26,054-159-7261,인증완료,골드,True,2,2025-02-15 14:55:41.768956,2024-12-08 18:51:59.017434
57,032-873-7904,인증대기,골드,True,2,2025-02-03 07:02:19.690375,2025-02-01 23:54:50.334376
16,018-754-8230,인증대기,골드,False,3,2024-12-12 20:23:04.754885,2025-01-20 15:21:26.727351
28,019-842-8854,인증완료,무료,False,3,2024-08-23 06:39:04.167232,2025-03-30 18:16:06.107968
10,041-046-8136,인증대기,VIP,True,1,2024-12-16 00:28:10.465814,2025-04-09 07:57:30.810366
31,016-003-3878,인증완료,골드,False,3,2025-02-23 21:13:05.784252,2025-04-09 17:58:25.308331
27,043-345-6728,미인증,무료,False,3,2025-01-12 22:26:08.276348,2025-04-20 02:16:19.412885
17,051-658-7526,인증완료,무료,True,0,2024-12-14 00:49:26.577660,2025-01-02 11:35:08.801686
25,064-713-6399,인증대기,무료,True,1,2025-01-29 12:56:25.460130,2024-12-28 10:55:00.798522
56,062-977-0421,인증완료,무료,False,3,2025-03-18 14:39:11.759099,2025-03-30 18:09:45.096047
12,063-470-1757,인증대기,프리미엄,True,0,2025-02-02 01:05:08.258134,2024-12-10 00:27:03.961985
33,041-330-3229,미인증,골드,False,3,2024-12-11 18:23:18.343131,2025-05-10 07:33:19.066033
54,016-071-8273,미인증,VIP,True,0,2024-08-21 05:09:43.821968,2025-02-23 09:52:15.261389
42,055-985-2126,미인증,무료,False,0,2024-07-02 19:58:58.459066,2025-02-06 09:40:46.065006
38,053-958-0516,미인증,VIP,False,0,2024-07-02 14:19:05.637506,2025-05-25 03:29:17.392586
30,055-153-6296,미인증,골드,True,2,2024-12-31 02:11:18.863029,2024-12-19 20:44:29.164078
45,043-068-4369,미인증,무료,False,3,2024-06-20 06:08:10.519015,2025-01-02 03:19:21.843510
2,019-913-1951,인증대기,VIP,False,3,2025-04-03 15:37:12.582605,2024-12-14 08:02:12.255041
