player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
129,borambag,gimseongho@example.net,지현,90,668,257,440,838,2025-04-16
291,gimyeongsu,usong@example.net,미영,4,790,448,134,2395,2023-11-15
9,seonghyeongim,ohwang@example.net,선영,7,271,354,188,1460,2024-06-22
71,gimjuweon,seongsubag@example.com,미정,35,408,206,316,902,2025-03-20
265,jiweon59,ugwag@example.net,선영,5,228,467,447,1459,2025-05-15
65,dgim,jiseunghyeon@example.org,성호,10,137,35,158,2036,2024-09-27
45,jihui,minjunjang@example.com,수진,72,208,62,166,2074,2023-08-29
280,ui,coegyeonghyi@example.net,진호,90,575,441,160,1422,2024-10-14
157,zgim,dbag@example.com,정훈,41,42,357,57,1329,2025-04-14
41,simjihye,jihui@example.net,하은,49,591,399,449,1668,2023-12-03
124,seohyeoni,yangareum@example.net,진호,19,922,380,242,2022,2025-01-21
276,songmijeong,jeongsui@example.net,현우,90,704,25,435,1231,2024-03-23
217,junseo23,ogyeonghyi@example.com,지혜,64,695,409,171,2278,2024-12-09
154,gweonyeji,gimeungyeong@example.com,우진,48,81,398,2,938,2025-05-26
24,bagjungsu,goyeonghyi@example.com,미영,20,978,432,315,2118,2024-01-30
262,gyeongsugi,sunogseo@example.org,서윤,78,662,409,3,1695,2023-12-17
111,iyeongil,seongsujang@example.com,성현,32,925,299,201,1846,2023-10-04
82,yeonggili,siu89@example.org,순옥,54,115,165,140,2081,2024-06-18
208,simhaeun,ngim@example.com,현숙,25,620,299,243,1473,2023-06-04
213,uno,hyejin68@example.org,영철,67,631,441,134,1471,2023-09-12
40,neom,hyeonjuncoe@example.net,영일,82,132,18,20,810,2024-01-01
241,qi,gimsumin@example.com,하윤,6,451,4,467,1704,2023-07-25
292,uan,caeweon14@example.com,준서,22,51,71,104,1312,2024-05-13
259,xo,gyeonghyibae@example.com,민서,82,251,121,119,1985,2023-08-08
200,jeongjagim,oeunyeong@example.net,경숙,22,333,274,338,1494,2024-12-01
15,wgweon,bagyeonghyi@example.com,숙자,61,335,18,226,1528,2023-12-04
48,ehwang,usong@example.org,은지,36,819,309,276,1657,2025-04-20
95,kgim,jiyeon27@example.com,유진,33,911,216,347,1419,2023-08-13
264,sunjai,xi@example.org,지후,23,65,309,340,1217,2024-10-20
228,jeongho46,dcoe@example.com,서윤,54,618,183,274,944,2024-09-27
274,xgim,ibag@example.net,정수,64,748,456,107,973,2023-11-14
202,pi,eunjigu@example.org,숙자,76,782,96,228,1652,2024-10-28
162,gyeongsuggim,jiagim@example.org,수진,15,1000,386,399,2040,2024-05-07
44,junhoo,hyeonsug55@example.net,명자,29,761,134,414,2059,2023-06-23
218,lcoe,sujini@example.com,은주,84,68,338,295,1523,2024-01-02
146,csong,ieunseo@example.org,윤서,12,359,218,493,1219,2023-06-30
191,ijieun,rgim@example.com,지우,38,55,152,39,2421,2024-04-15
221,sanghoi,myeongsuggim@example.net,주원,63,951,230,262,1992,2025-02-02
252,ogsungim,jeongsun47@example.com,정남,65,509,493,292,2197,2024-12-03
4,idoyun,yeonghwangim@example.net,현주,99,622,489,388,1780,2024-01-10
106,mijeong84,bageungyeong@example.net,재현,17,329,320,268,1054,2025-05-15
54,misug48,seonyeongryu@example.com,정식,82,137,2,326,1521,2024-07-28
134,yeonggilgim,cnam@example.com,지원,42,494,406,147,1818,2024-07-04
2,ieunjeong,sangceolgim@example.org,채원,27,4,170,8,1822,2024-07-09
132,gi,bagareum@example.org,미영,7,194,385,367,1928,2024-08-24
104,kjang,seonghogim@example.com,예준,2,110,326,361,2325,2025-05-24
50,qyun,eunjii@example.net,병철,65,567,80,170,1806,2024-12-17
81,yangsanghyeon,subini@example.net,승현,19,290,480,412,2431,2024-04-03
206,hayun07,jieun55@example.net,승현,29,953,45,376,1718,2023-12-10
35,jeongsugsim,jeongho90@example.net,병철,83,526,248,332,1079,2024-03-23
92,hyejin60,jihunhan@example.com,정자,14,819,194,203,1260,2023-10-02
53,fryu,subin93@example.org,은서,73,559,51,262,2277,2024-02-18
242,cunja69,misugi@example.com,수민,68,763,110,336,1842,2024-02-27
14,seongho15,xgim@example.com,진호,85,991,349,401,2039,2024-07-08
89,gimsumin,simyunseo@example.net,영환,13,363,449,429,886,2024-09-11
167,ijunseo,mjin@example.net,영길,24,613,295,149,828,2024-02-20
295,yeonghomin,myeongja83@example.org,지아,28,668,496,240,1790,2024-12-12
135,ggim,seoyun98@example.net,성수,8,406,21,284,1297,2024-04-28
288,yujin41,yunseoi@example.com,지연,2,822,285,280,1013,2025-04-13
