question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,is_resolved,created_at
129,Assumenda asperiores eum sit corrupti labore.?,"Error reiciendis officiis sapiente. Recusandae maxime dignissimos exercitationem repellendus ipsam.
Repellendus consectetur officiis fugiat nobis.
Harum debitis eaque natus iure recusandae eius. Odit nostrum soluta delectus ratione minus molestias fugit. Odio est eos quasi laboriosam.
Sequi aut repellendus soluta. Ipsum corporis perspiciatis iusto maiores quisquam ab. Deleniti ab laborum voluptates laudantium fugit. Molestias a sapiente.
Eveniet veniam aut expedita accusantium.",이지은,coeseongsu@example.org,기술,초급,121,18,True,2024-11-25 03:38:42.030491
291,Placeat placeat in voluptas culpa vero.?,"Fugit unde aliquid inventore tempora quam hic. Ea similique suscipit.
Expedita nam provident amet natus est. Magnam quas velit odit tenetur.
Suscipit nulla facere maiores dolorem qui expedita alias. Fugit accusantium maiores possimus reiciendis maiores magni. Beatae eveniet quo consequuntur.
Quis dolorum non iure nihil aliquam atque eum. Voluptate dignissimos unde ut nostrum.
Perspiciatis harum sit reprehenderit et harum. Minus officia molestias molestiae vitae.",이수민,sjang@example.net,학습,고급,637,38,False,2024-07-17 13:44:05.912048
9,Reprehenderit aut veniam minima provident nesciunt facilis cumque porro ea.?,"Magni amet vero commodi consequuntur iusto. Atque quos minus quos quas quas. Sequi quidem explicabo quam possimus eaque omnis.
Perferendis praesentium ratione molestiae cum. Laboriosam tempore distinctio ea nulla.
Consequatur qui reprehenderit placeat dolor. Officiis aperiam laborum omnis atque.
Cum ab sequi sint iure quam delectus. Totam accusantium veritatis.
Illo nemo pariatur nisi minus amet nihil esse. Quisquam ipsam eveniet aut laboriosam libero.",김채원,gimeunju@example.net,학습,고급,683,4,True,2025-01-21 22:05:44.802806
71,Natus provident natus nam temporibus repudiandae.?,"Aliquid modi expedita ea. Aperiam quidem ad blanditiis harum at ipsum. Quis neque corrupti provident.
Dicta earum pariatur sunt consectetur voluptates iste.
Laborum minus iusto iusto perferendis dicta quaerat. Quas necessitatibus voluptatum consequatur corrupti odio totam.
Quidem sapiente voluptatibus provident dignissimos nam nobis et. Temporibus ea rem recusandae sed ducimus suscipit. Earum odio officia voluptatum velit. Blanditiis officia impedit ad laudantium.",서하은,junyeongseo@example.net,생활,중급,174,6,False,2024-07-17 11:31:11.653123
265,Nobis deserunt illo ipsa odio quidem eos.?,"Dolorem harum occaecati facere cupiditate deleniti.
Impedit aspernatur laboriosam error dicta. Officiis velit accusamus.
Impedit modi nostrum neque officia sequi. Nam alias nesciunt.
Fuga repellendus vel fugit dolore. Expedita nulla corrupti earum illo id laborum. Veritatis ipsam dolor est distinctio voluptates.
Eius iusto magni perspiciatis. Quos error aperiam quam dolor debitis culpa asperiores.
Doloribus magnam aperiam magni. Autem pariatur sint totam. Fugiat ratione a.",이영수,junseo09@example.org,취업,중급,892,1,True,2025-02-21 04:34:42.106388
65,Nisi adipisci totam ipsum sit suscipit.?,"Quidem nam maxime natus. Corrupti in ullam amet.
Molestias ut numquam quo. Accusamus officia sed soluta.
Ullam nostrum ut illo. Hic dolore et mollitia a nihil. Quam possimus sed placeat nihil.
Neque sit vel hic. Error odit perspiciatis repellat fugiat aut.
Corrupti officia aliquam quod. Illo ut quisquam qui rerum earum.
Amet doloribus aliquid. Iste eius delectus dolore deserunt commodi atque veritatis.",최지현,caeweon28@example.com,학습,고급,203,81,True,2025-01-15 15:22:40.006494
45,Aut maiores laboriosam pariatur a.?,"At commodi repellat architecto temporibus eveniet. Praesentium quae porro dolorem quidem. Quia maxime atque eos consequuntur quos.
Vero voluptatem molestias architecto eaque sit sint. Corporis accusantium rem. Earum sit distinctio dolorem fugit.
Atque recusandae non non sunt deleniti modi porro. Ratione deleniti molestias rem ullam est inventore. Commodi expedita illo animi minima voluptas laboriosam.",이현지,yunseoyeon@example.net,취업,중급,408,59,False,2025-01-17 17:26:37.922990
280,Est incidunt ex quaerat velit modi ad.?,"Accusamus veritatis cumque magni fuga eius voluptatum. Blanditiis reprehenderit similique ducimus.
Sint delectus reiciendis illo delectus. Temporibus quos quidem expedita officiis officiis. Consequatur tempore est voluptate optio repudiandae.
Sequi molestiae explicabo iure odit commodi aliquam. Harum qui error quisquam ab.
Reiciendis earum perspiciatis nulla. Quidem eligendi suscipit suscipit. Totam neque recusandae commodi.",김우진,seongho56@example.net,기타,중급,598,90,True,2025-04-17 04:35:00.337082
157,Vitae velit praesentium voluptatem aut distinctio et.?,"Explicabo maxime officiis rerum adipisci aliquid. Deleniti distinctio debitis non fuga quasi amet.
Molestias a quidem in. Unde id unde corrupti quo. Deleniti vero ab autem.
Tempora officiis sed occaecati. Tenetur animi placeat sequi ipsum quam. Illum accusamus adipisci consectetur sequi eos.
Doloremque ad unde eligendi. Dignissimos autem ullam nisi.
Quod aspernatur cumque rem illum iure ad placeat. Repellat repellat cupiditate odio. Aspernatur iusto explicabo tempora impedit et tempora nulla.",문수빈,yeongja99@example.org,취업,초급,673,6,True,2024-06-25 10:27:14.747202
41,Ratione ipsam enim numquam minima.?,"Odit nostrum velit occaecati officiis inventore. Harum ea nemo fugit ratione officiis iste. Porro provident quaerat aliquam dolorum odio. Porro voluptates rem ad cumque.
Exercitationem suscipit officia non sapiente repellendus vitae distinctio.
Iure assumenda temporibus amet consectetur. Ipsum fuga unde voluptas blanditiis. Tenetur autem rem impedit placeat.
Possimus nam dolorum eveniet aspernatur quasi. Odit amet laudantium reprehenderit quo modi.",김순옥,sanghun79@example.net,학습,중급,69,61,True,2024-12-28 23:36:59.943310
