question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,is_resolved,created_at
204,Blanditiis repellat aliquam amet.?,"Necessitatibus omnis illum accusamus in pariatur. In a veniam enim rem odit. Reiciendis voluptate quis dignissimos sit ab consequatur dolore. Atque distinctio temporibus cupiditate laboriosam.
Voluptatum esse animi quia voluptatum minus. Maiores laudantium atque architecto eveniet natus. Pariatur exercitationem praesentium officia esse minus temporibus. Aperiam perspiciatis deleniti tenetur.",김영일,doyun17@example.org,건강,초급,106,3,False,2025-04-07 20:51:08.105115
267,Quod quia corporis aut nesciunt distinctio eveniet nihil inventore eaque.?,"Culpa vero quos voluptas tenetur deleniti ullam. Ut veritatis fugit ad in eum sit. Magni suscipit sequi eum amet.
Cum cum voluptas consequuntur. Quam fugit laboriosam rerum consectetur eos iure.
Omnis modi dolor porro. Fugit libero nisi veniam.
Officiis sed sit fugiat officiis sapiente. Harum praesentium pariatur placeat. Repellendus nostrum tempore hic. Est quaerat vel perspiciatis quis.
Expedita necessitatibus inventore voluptas. Rem iure maxime accusantium quas aspernatur quasi.",이영길,hyeonjibag@example.com,학습,고급,717,90,True,2024-07-11 06:32:15.557934
153,Dolores accusamus nobis necessitatibus amet.?,"Mollitia voluptatum ipsam odit nobis. Dignissimos in corrupti rem vitae excepturi. Cum esse eligendi dignissimos debitis. Doloribus occaecati quis incidunt iusto ipsam ullam.
Delectus sapiente veniam voluptatum error deleniti ratione. Sed consectetur quasi odio laborum sint earum.
Odit laborum temporibus ipsa. Quo nam praesentium atque soluta aut.",이승현,gimminji@example.org,기술,중급,444,88,True,2024-09-22 04:27:56.695356
10,Voluptatum labore laboriosam dolor ab voluptate tempora saepe libero deserunt.?,"Eum necessitatibus eum ducimus. Possimus accusantium eius. Enim dolores in eius ut ipsa deleniti.
Sit possimus voluptates. Sint voluptatibus dicta dolor.
Autem ipsum omnis explicabo sequi animi. Fugit numquam tenetur magnam dignissimos sint ipsum.
Voluptas est hic minima quae doloribus. Veritatis accusantium asperiores consequuntur odio odit minus necessitatibus.",배성훈,hongjiweon@example.net,생활,중급,18,87,False,2024-10-31 20:25:01.556145
234,Fugiat alias delectus eligendi inventore reiciendis porro ullam ipsa.?,"Aut saepe consectetur. Inventore iste quia eaque officiis consequuntur eos. Officia similique nemo suscipit hic provident unde.
Pariatur aut laboriosam ipsa asperiores quisquam. Consectetur soluta vero voluptate. Saepe qui saepe accusantium. Enim architecto magni sit debitis soluta tenetur.
Omnis at modi voluptatibus magnam. Saepe architecto cumque.
Porro perspiciatis fugiat velit praesentium. Iste aspernatur odio natus unde unde.",김서연,hyejini@example.org,생활,초급,908,92,True,2025-03-16 08:46:46.044133
227,Minima veritatis at minus cum hic doloribus sit exercitationem fugiat nulla.?,"Aliquid vitae saepe quod itaque unde adipisci. Voluptas perspiciatis eligendi. Aliquid sit optio modi.
Dolore error veniam necessitatibus placeat assumenda. Ut eligendi iste repudiandae similique delectus impedit.
Veniam tenetur rem. Debitis possimus perferendis reiciendis natus blanditiis.
Consequatur reprehenderit excepturi harum perferendis deserunt. Tempore quasi illum velit. A sit hic necessitatibus.
Tenetur dolores ipsum. Nemo corrupti earum at voluptatem voluptates.",김건우,to@example.net,생활,초급,95,81,True,2024-11-21 14:10:43.210737
197,Odit officia corrupti tempore repellat.?,"Quam unde vitae soluta animi. Numquam veniam officiis libero veritatis id tempora. Aspernatur consectetur dignissimos eius ducimus facere officiis.
Consequatur distinctio ullam quidem earum dolorum est dicta. Omnis consectetur officiis omnis ipsam alias culpa ex. Reiciendis dolorum sequi voluptates deleniti.
Maiores modi corrupti exercitationem dolore.
Rerum nobis deserunt odit aspernatur doloremque. Possimus suscipit cupiditate error vel suscipit. Perferendis ea saepe laudantium.",전순자,hansunja@example.net,학습,중급,49,25,False,2024-07-08 06:06:17.946112
110,Nemo magni molestias accusantium.?,"Illo sint consequatur nemo magnam dolorem. Dolorem molestias tenetur porro voluptatibus eligendi. Nesciunt tempore quis commodi ullam.
Animi ipsa recusandae exercitationem cupiditate veritatis odio.
Rem nemo natus impedit. Eius aspernatur iste delectus ipsam beatae officia. Ab eaque occaecati nemo quisquam.
Commodi autem mollitia modi vitae.
Excepturi minima commodi aspernatur.
Reprehenderit laborum vitae architecto ut ab. Ad magni magnam itaque accusantium maxime optio.",윤정자,jihuhan@example.org,학습,고급,673,37,False,2024-11-30 19:04:39.856029
6,Fugit quos facilis voluptatibus suscipit saepe deleniti.?,"Quae non ratione illum. Quia rerum asperiores facere.
Cupiditate perferendis est vitae voluptate odit.
Quas dolorem ducimus quam iste possimus vero. Mollitia accusantium distinctio accusamus pariatur.
Culpa optio deleniti esse non. Ut id veritatis error voluptate. Praesentium aut soluta quisquam voluptates.
Beatae exercitationem rerum a nesciunt. Officiis harum dolores optio iure consectetur. Ipsam modi voluptatibus.
Et suscipit blanditiis quo tenetur. In quas unde impedit sunt.",손선영,byeongceol51@example.net,기술,초급,832,14,True,2024-12-25 03:19:23.733305
176,Odit necessitatibus asperiores deleniti nesciunt.?,"Ad adipisci temporibus nostrum culpa architecto vel. Laboriosam eligendi temporibus consequatur voluptas mollitia commodi dolorem. Dolor doloribus quibusdam magni atque.
Eligendi possimus harum vero delectus. Necessitatibus inventore in. Officia corporis mollitia ratione a veniam.
Suscipit neque porro. Quasi corrupti deserunt. Odio accusamus dolor accusamus recusandae temporibus occaecati veritatis.
Facilis reprehenderit similique repellendus doloribus consequuntur.",강승현,gimhyeonji@example.org,건강,중급,929,37,True,2024-10-26 18:08:51.371681
