detail_id,contact_id,address,birthday,job,notes,favorite
1,1,광주광역시 중랑구 논현323거리 316-23 (경자문권동),1963-05-18,학습지 및 방문 교사,In sit assumenda itaque repellat. Voluptas ducimus sequi facilis beatae eum corrupti.,False
2,2,경기도 하남시 테헤란로 589,1999-11-25,보육 교사,Molestias veritatis sit.,True
3,3,울산광역시 성북구 가락022로 460,1967-12-28,목제품 제조관련 종사원,Quas tempore perferendis reiciendis nobis iure nulla.,False
4,4,충청남도 청주시 상당구 백제고분512길 173-16,1959-01-11,기타 사육관련 종사원,Ab odio soluta eaque natus amet in libero. Nisi corporis aliquam quaerat nemo ad.,False
5,5,충청북도 광명시 백제고분5길 953,1986-05-07,자동차 정비원,Adipisci non animi qui officia maiores. Esse doloribus delectus nihil ab commodi.,True
6,6,경기도 여주시 양재천길 618-75,2001-11-29,건설 및 광업 단순 종사원,Aliquam eaque hic debitis. Dolores repellat ipsa harum dolorum mollitia.,False
7,7,경상북도 구리시 개포로 47,1981-12-06,기타 공학관련 기술자 및 시험원,Consequuntur aliquid corrupti odit. Officiis modi in nulla.,False
8,8,전라남도 괴산군 테헤란가 982-43 (진호김안마을),1964-06-14,영양사,Beatae eveniet doloremque recusandae sint. Molestias quidem laudantium aspernatur.,False
9,9,인천광역시 영등포구 논현가 261 (병철김이읍),1989-04-13,시스템 소프트웨어 개발자,Reprehenderit officia facilis. Suscipit a sit est.,False
10,10,전라남도 용인시 기흥구 압구정가 651 (성진김홍동),1944-07-05,환경공학 시험원,Corporis fuga qui qui perspiciatis animi. Quibusdam quia quisquam fugit omnis illo.,True
11,11,인천광역시 서초구 논현2로 538 (영일최읍),1988-12-31,과실 및 채소 관련 기계조작원,Iusto aliquid at. Accusamus rem perspiciatis. Aliquid magnam molestias vel tenetur.,False
12,12,인천광역시 관악구 가락길 960-25,1987-09-28,과실 및 채소 관련 기계조작원,Vel quibusdam officiis quia perferendis. Sed ducimus expedita optio eveniet tempore.,False
13,13,광주광역시 강남구 서초대가 419 (은서이동),1974-06-19,응용 소프트웨어 개발자,Praesentium voluptate quisquam laborum. Magnam nobis accusantium voluptatibus itaque.,True
14,14,광주광역시 성북구 반포대길 2 (경희손최마을),1982-06-13,웹 개발자,Voluptate culpa nam ab. Quam ratione vitae minima deserunt.,False
15,15,강원도 시흥시 논현거리 469 (민재허황면),1973-09-13,인쇄기 조작원,"Accusamus ipsum dicta totam.
Dolorum at ipsum placeat fugit. Nisi nobis laborum doloremque.",False
16,16,부산광역시 남구 언주로 462 (경숙권리),2010-01-06,통신 및 방송송출 장비 기사,Laboriosam excepturi voluptates consectetur sapiente. Provident fuga est voluptas.,False
17,17,충청남도 안산시 잠실9거리 469 (옥순김장동),1991-01-27,법무사 및 집행관,Nulla ea quae inventore quis esse placeat. Autem est perspiciatis quidem nihil nobis.,False
18,18,경상남도 영동군 서초중앙가 53 (주원황김읍),1963-02-07,소방공학 기술자 및 연구원,"Eum molestiae in aut nulla eveniet.
Enim laboriosam odit perferendis nihil. Omnis dolores debitis.",False
19,19,울산광역시 용산구 석촌호수거리 14-5 (옥자김윤동),1947-03-21,무역 사무원,Doloremque aperiam iure recusandae quod. Ab et nam minima. Eaque sapiente debitis nam.,True
20,20,대전광역시 마포구 논현3가 714,1970-04-21,바텐더,Commodi nihil officia. Aperiam ex earum id ipsa reprehenderit id.,True
21,21,전라남도 용인시 기흥구 영동대가 654-56 (하윤이박리),1974-09-03,응용 소프트웨어 개발자,Beatae vero sed. Quidem minima nihil eligendi.,True
