profile_id,user_id,nickname,email,age,gender,location,height,education,religion,smoking,bio,search_radius,profile_image_url
1,1,영진,jiyeonyun@example.net,25,남성,안양시,156,대졸,천주교,비흡연자,Dolores tenetur molestias ea. Quae quaerat incidunt consectetur eum praesentium consequuntur. Fugit rerum ipsum expedita fuga adipisci.,[10],https://example.com/profile_1.jpg
2,2,춘자,hmun@example.net,35,남성,평창군,184,고졸,기타,비흡연자,In placeat mollitia aut nostrum. A at ut repellendus culpa optio dolorem. Officia assumenda maxime molestiae vero praesentium pariatur impedit.,"[20, 20, 5, 20]",https://example.com/profile_2.jpg
3,3,상현,jihyebaeg@example.org,40,여성,옥천군,162,대졸,불교,비흡연자,Quae fuga commodi inventore voluptates. Dicta sunt exercitationem mollitia error sed. Impedit consequatur provident dolores commodi quos.,[5],https://example.com/profile_3.jpg
4,4,영식,junseogim@example.org,28,남성,수원시 영통구,179,고졸,무교,비흡연자,Totam blanditiis exercitationem deserunt ex ex eius sapiente. Ab unde voluptas.,"[15, 40, 40]",https://example.com/profile_4.jpg
5,5,승현,oeunji@example.net,23,여성,과천시,168,고졸,무교,흡연자,Expedita illum rerum commodi modi aliquam. Non qui voluptatibus nesciunt dolor. Molestias accusantium molestiae hic. Necessitatibus sit deleniti.,"[5, 20, 40, 15, 10]",https://example.com/profile_5.jpg
6,6,지원,gangseungmin@example.com,27,여성,용인시,158,고졸,무교,흡연자,Vel eum quos reprehenderit iure aut. Nemo ex aperiam quod autem vel itaque. Eius nemo blanditiis vitae possimus sit.,"[15, 15, 20, 10, 10]",https://example.com/profile_6.jpg
7,7,하윤,ngweon@example.com,33,여성,성남시 중원구,178,고졸,무교,흡연자,Nobis dolorem placeat officiis quis fuga ratione. Nihil ducimus necessitatibus molestias repellendus sed.,"[15, 15, 5, 30, 30]",https://example.com/profile_7.jpg
8,8,성민,yujin70@example.com,38,남성,부천시 오정구,150,대졸,기타,비흡연자,Quae dolor fugiat cumque nesciunt sequi dolor.,"[5, 20, 40, 40]",https://example.com/profile_8.jpg
9,9,상훈,jeonghoo@example.org,24,여성,양평군,160,고졸,무교,비흡연자,Dolores eos facere alias non doloremque accusamus occaecati. Minima numquam praesentium.,"[30, 15]",https://example.com/profile_9.jpg
10,10,상호,eunyeongsong@example.net,26,남성,김포시,177,고졸,기타,비흡연자,Sapiente ex natus totam. Deleniti tempora praesentium.,"[5, 40, 10, 20, 20]",https://example.com/profile_10.jpg
