player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
1,isangho,gimjihun@example.org,윤서,49,121,248,267,2132,2024-06-18
2,ieunjeong,sangceolgim@example.org,채원,27,4,170,8,1822,2024-07-09
3,useo,hyeonsug27@example.org,정호,54,505,69,431,2422,2024-12-17
4,idoyun,yeonghwangim@example.net,현주,99,622,489,388,1780,2024-01-10
5,jeonghun82,cunjagim@example.net,영숙,6,272,180,22,1223,2023-12-09
6,wgo,sugjayu@example.com,수민,60,323,492,265,2195,2023-09-22
7,juweoni,geonu43@example.org,채원,9,56,251,367,1389,2023-07-27
8,bryu,junseo22@example.org,예지,17,97,129,263,2106,2024-10-26
9,seonghyeongim,ohwang@example.net,선영,7,271,354,188,1460,2024-06-22
10,xgim,jihyeongim@example.com,지훈,72,509,371,79,2041,2024-01-28
11,lhwang,imiyeong@example.org,성현,97,731,373,82,942,2024-08-22
12,coeyeweon,areumryu@example.org,예지,66,639,85,419,2465,2025-04-16
13,mi,iogja@example.net,준영,22,90,469,34,2127,2025-03-28
14,seongho15,xgim@example.com,진호,85,991,349,401,2039,2024-07-08
15,wgweon,bagyeonghyi@example.com,숙자,61,335,18,226,1528,2023-12-04
16,seungmingim,oyeji@example.org,준혁,47,255,124,466,1744,2025-05-07
17,snam,sugjai@example.com,영호,77,845,86,478,1808,2024-12-29
18,hnam,chan@example.com,은경,72,611,209,376,2012,2024-04-07
19,iminsu,iminseo@example.org,지영,40,925,462,322,1401,2023-07-17
20,baghayun,gimseojun@example.org,영자,58,327,122,470,802,2024-08-26
21,mhwang,ogim@example.com,영일,13,952,232,468,2174,2024-09-12
22,mgweon,yeongmigim@example.org,은영,63,84,249,235,984,2023-08-14
23,namseongmin,geonu47@example.org,상현,71,55,139,379,1769,2024-11-14
24,bagjungsu,goyeonghyi@example.com,미영,20,978,432,315,2118,2024-01-30
25,minseogim,pgim@example.com,은정,65,0,302,303,1167,2025-02-08
26,bbae,minseo87@example.com,영호,99,355,248,448,2445,2024-02-13
27,jihyegim,hyeonjugim@example.org,지민,67,215,26,345,1345,2025-02-07
28,dcoe,iboram@example.com,지후,79,332,43,70,821,2024-12-15
29,jungsuo,jinhobag@example.org,영미,6,471,108,325,2467,2023-07-16
30,yeongsungim,gimhyeonjun@example.com,동현,90,119,397,224,1239,2023-11-02
31,yeongsuneom,iseo@example.net,경수,74,348,447,107,1646,2024-11-20
32,yeeunbae,jeongsugim@example.net,주원,50,695,441,495,1159,2024-06-02
33,minseogi,yeonghojang@example.net,민수,7,695,404,470,1507,2025-01-11
34,sanghogim,jgim@example.org,민준,52,934,126,4,1512,2024-09-22
35,jeongsugsim,jeongho90@example.net,병철,83,526,248,332,1079,2024-03-23
36,songyeji,jaehyeon64@example.com,성훈,42,762,78,19,2030,2024-08-25
37,qbag,hhan@example.com,은정,67,435,319,220,1197,2024-08-04
38,dohyeongim,junhogim@example.org,영수,24,384,8,361,2377,2023-11-11
39,bagyujin,boram08@example.com,중수,32,24,199,208,1334,2024-10-02
40,neom,hyeonjuncoe@example.net,영일,82,132,18,20,810,2024-01-01
41,simjihye,jihui@example.net,하은,49,591,399,449,1668,2023-12-03
42,bagjeongsug,seungminyun@example.net,지은,28,809,232,92,2383,2024-04-14
43,boram40,ugim@example.net,지현,50,889,476,312,2327,2024-12-13
44,junhoo,hyeonsug55@example.net,명자,29,761,134,414,2059,2023-06-23
45,jihui,minjunjang@example.com,수진,72,208,62,166,2074,2023-08-29
46,jeonghoi,jgim@example.net,수진,72,820,176,326,1845,2024-07-16
47,ljeong,jinhobag@example.org,선영,31,667,249,45,1750,2023-08-12
48,ehwang,usong@example.org,은지,36,819,309,276,1657,2025-04-20
49,coejiyeon,jeongsun35@example.net,현주,60,946,147,258,1599,2023-09-09
50,qyun,eunjii@example.net,병철,65,567,80,170,1806,2024-12-17
51,bagjeonghyi,hamijeong@example.org,순자,48,68,153,49,1865,2024-07-25
52,eunseojeong,eunjicoe@example.com,준서,10,719,269,44,2061,2024-12-14
53,fryu,subin93@example.org,은서,73,559,51,262,2277,2024-02-18
54,misug48,seonyeongryu@example.com,정식,82,137,2,326,1521,2024-07-28
55,jiyeongi,fi@example.com,민석,82,487,326,205,1603,2024-02-28
56,ri,minjii@example.net,지아,53,655,440,333,2193,2023-10-24
57,seojun36,gimjiu@example.com,민재,64,221,60,448,1616,2025-01-29
58,wcoe,igwag@example.com,하은,18,609,279,95,1036,2023-12-25
59,si,vbag@example.com,채원,21,264,200,238,2307,2024-01-24
60,sanghyeon40,isubin@example.net,준서,67,253,452,136,1167,2024-08-20
61,yangminji,hyeonu01@example.net,영환,19,463,88,265,1443,2024-12-03
62,mcoe,gosiu@example.net,윤서,91,808,443,261,1160,2023-08-26
63,ijiyeong,ibag@example.org,상호,31,538,489,173,2090,2023-10-05
64,jeongnamgim,gimjinu@example.net,상철,96,621,489,274,2192,2024-12-12
65,dgim,jiseunghyeon@example.org,성호,10,137,35,158,2036,2024-09-27
66,gimyeonggil,yejungim@example.net,미경,34,507,295,145,1924,2025-02-22
67,yeonghyisong,jaehyeon49@example.net,경자,94,377,445,494,2037,2024-08-06
68,gweonseonghyeon,hyeonsug22@example.net,서연,59,522,227,230,1410,2023-08-19
69,ijeongsun,sumin27@example.com,채원,84,7,381,217,1012,2023-11-03
70,seonghobag,yejun12@example.org,정훈,30,508,319,343,936,2024-09-25
71,gimjuweon,seongsubag@example.com,미정,35,408,206,316,902,2025-03-20
