question_id,title,content,asker_name,asker_email,category,difficulty,likes,is_resolved,created_at
1,Voluptas natus quo magni fuga est.?,"Repudiandae rerum adipisci ullam voluptate incidunt distinctio est. Consequuntur praesentium laudantium nemo officiis. Mollitia quas cupiditate illum architecto ducimus quis.
Cumque nisi cumque cupiditate sint. Porro facere ipsa quia. Eum iste nobis placeat eveniet tempore.
Illum veniam impedit reprehenderit tenetur.
Deleniti illo autem dolore nostrum. Quisquam distinctio nesciunt deserunt. Quod delectus doloremque cupiditate provident. Aliquam omnis enim laboriosam ad nemo.",김건우,jimin96@example.org,기타,초급,59,True,2024-08-23 13:39:32.485907
2,Facere debitis natus saepe odio asperiores in vero laborum voluptatem.?,"Ea commodi consectetur. Quae earum in.
Repellat praesentium porro a incidunt. Mollitia ea ratione deleniti eligendi odit. Consequuntur cumque fugit possimus atque.
Repudiandae asperiores odit sequi. Nulla tempore harum. Id officia exercitationem maxime fugiat.
Tempora incidunt eos culpa ratione. Mollitia nisi delectus cumque nam beatae. Aspernatur eum animi illum consequatur facere.",서영식,gimseoyeong@example.net,기술,중급,97,False,2025-04-22 02:41:18.267034
3,Soluta dolorum vel ex corporis esse tempora nesciunt voluptas nisi.?,"Non iusto voluptatibus neque ullam mollitia saepe temporibus. Atque asperiores at aliquid a at numquam. Veritatis totam quia. Recusandae impedit sed occaecati quia.
Delectus dolore ut assumenda eum similique exercitationem laboriosam.
Autem eligendi modi culpa. Impedit quos totam iure atque ab. Perspiciatis repellat iure ducimus laborum.
Fuga voluptates non reiciendis dolore vero. Velit suscipit culpa.
Dolore tenetur rem atque. Hic aliquam quaerat unde qui. Deserunt nemo officiis laborum.",김영희,jeongsig96@example.net,기술,고급,87,True,2024-07-09 06:57:08.140669
4,Aliquam dignissimos iusto quas non quae.?,"Rem porro inventore tempora. Enim delectus suscipit natus voluptatem ex. At deleniti eligendi laboriosam sit rerum tempora.
Quod enim eos inventore voluptates libero voluptatibus sit. Consequatur eum ea porro iste cumque eaque. Nihil perferendis illo deserunt.
Aperiam exercitationem excepturi delectus aliquid. Velit explicabo earum accusantium.
Laborum culpa veritatis est non. Natus perspiciatis quaerat pariatur voluptatem cupiditate eaque.",이민수,hyeonjun21@example.com,기술,중급,49,True,2024-11-23 16:32:53.808132
5,Quo quas sit architecto architecto neque sunt.?,"Quos vitae aliquid porro omnis commodi. Nesciunt fugit deserunt eius id. Ducimus eius officiis dignissimos.
Culpa nam recusandae nesciunt voluptas. Alias eligendi recusandae non accusantium nemo.
Suscipit praesentium velit id suscipit ab. Odit neque laboriosam sed. Officia velit veniam tenetur.
Dolor voluptates distinctio libero sit. Error delectus maiores quibusdam corrupti. Neque ipsum sit corporis.
Nihil occaecati itaque sequi veritatis. Illum assumenda suscipit laudantium eius odit.",김서준,seunghyeon94@example.org,기술,고급,41,True,2025-02-18 01:29:02.430449
6,Fugit quos facilis voluptatibus suscipit saepe deleniti.?,"Quae non ratione illum. Quia rerum asperiores facere.
Cupiditate perferendis est vitae voluptate odit.
Quas dolorem ducimus quam iste possimus vero. Mollitia accusantium distinctio accusamus pariatur.
Culpa optio deleniti esse non. Ut id veritatis error voluptate. Praesentium aut soluta quisquam voluptates.
Beatae exercitationem rerum a nesciunt. Officiis harum dolores optio iure consectetur. Ipsam modi voluptatibus.
Et suscipit blanditiis quo tenetur. In quas unde impedit sunt.",손선영,byeongceol51@example.net,기술,초급,14,True,2024-12-25 03:19:23.733305
7,Voluptate ea tempore omnis ea beatae sed odit illo.?,"Deleniti earum reprehenderit tenetur suscipit. Eum suscipit impedit exercitationem tempore iste. Adipisci esse quaerat deleniti aspernatur delectus id accusantium.
Dolorum enim illum sint. Doloribus vitae reprehenderit sequi cupiditate. Consectetur ullam voluptates labore nisi.
Facilis culpa quos autem ipsam recusandae eius. Facere provident in culpa. Aliquid laboriosam deserunt quod.",이영환,iminseog@example.net,취업,중급,91,True,2024-10-21 12:01:04.541427
8,Unde laudantium nisi provident occaecati error quas vitae quas.?,"Placeat ab consequatur ex illo. Inventore minus deleniti aut ipsam. Itaque consectetur eligendi modi quos aliquam consequuntur.
Culpa sunt deleniti tempora. Expedita ea aut veritatis quibusdam quaerat.
Sint explicabo accusantium blanditiis. Minus veniam non omnis sint sapiente earum.
Totam voluptatem eveniet modi distinctio sequi. Ipsam quisquam nulla impedit. Dolorem illum tenetur quidem consectetur id.",서순자,caeweonjang@example.net,기타,중급,95,False,2025-03-09 05:37:40.981709
9,Reprehenderit aut veniam minima provident nesciunt facilis cumque porro ea.?,"Magni amet vero commodi consequuntur iusto. Atque quos minus quos quas quas. Sequi quidem explicabo quam possimus eaque omnis.
Perferendis praesentium ratione molestiae cum. Laboriosam tempore distinctio ea nulla.
Consequatur qui reprehenderit placeat dolor. Officiis aperiam laborum omnis atque.
Cum ab sequi sint iure quam delectus. Totam accusantium veritatis.
Illo nemo pariatur nisi minus amet nihil esse. Quisquam ipsam eveniet aut laboriosam libero.",김채원,gimeunju@example.net,학습,고급,4,True,2025-01-21 22:05:44.802806
10,Voluptatum labore laboriosam dolor ab voluptate tempora saepe libero deserunt.?,"Eum necessitatibus eum ducimus. Possimus accusantium eius. Enim dolores in eius ut ipsa deleniti.
Sit possimus voluptates. Sint voluptatibus dicta dolor.
Autem ipsum omnis explicabo sequi animi. Fugit numquam tenetur magnam dignissimos sint ipsum.
Voluptas est hic minima quae doloribus. Veritatis accusantium asperiores consequuntur odio odit minus necessitatibus.",배성훈,hongjiweon@example.net,생활,중급,87,False,2024-10-31 20:25:01.556145
