reward_id,project_id,reward_name,reward_amount,reward_tier,delivery_date,message
129,15,이시우,476085,얼리버드,2025-06-11 05:50:12.289789,Dolor maiores aspernatur occaecati. Omnis amet id amet.
291,17,백민석,33996,슈퍼후원,2025-06-08 14:49:30.255233,Dolorem earum eligendi quo incidunt voluptatum ratione. Assumenda earum sit doloribus.
9,10,이지혜,711199,얼리버드,2025-06-08 23:27:22.946732,Delectus quam officia. Quod eum blanditiis nam enim iure.
71,4,김옥순,160612,VIP,2025-06-11 19:32:47.156192,Et id suscipit nesciunt.
265,23,이영수,343887,슈퍼후원,2025-06-10 22:50:40.295796,Cumque minus explicabo quas. Officiis repudiandae recusandae laudantium quos amet.
65,2,김혜진,230001,얼리버드,2025-06-07 01:58:58.837444,Quasi doloribus ducimus totam. Accusamus natus numquam. Sapiente magnam quaerat harum.
45,6,장성수,982160,VIP,2025-06-06 10:05:45.919338,Quas sed voluptas voluptatibus. Accusantium assumenda autem illo veritatis dolorem. Quo quod ab.
280,11,박정숙,258760,VIP,2025-06-11 03:57:00.358265,Est consectetur culpa similique totam commodi.
157,3,이정식,460351,얼리버드,2025-06-09 09:03:04.213924,"Explicabo nobis rem ut fugit magnam illo.
At occaecati repellat distinctio amet."
41,20,김지훈,223511,VIP,2025-06-09 00:27:03.279397,Debitis unde magnam possimus. Eius illum architecto doloribus. Recusandae vel id consequatur eum.
124,1,박진호,379059,일반,2025-06-11 08:50:23.667200,Quidem fugiat quisquam labore. Minima velit temporibus optio provident fugiat.
276,17,김성훈,586711,얼리버드,2025-06-09 15:25:20.846562,Recusandae possimus fugiat delectus. Nobis libero tenetur deleniti.
217,5,양정웅,965570,일반,2025-06-08 04:52:41.863585,Quos aspernatur nostrum similique sed natus nihil aperiam.
154,2,이도윤,742900,슈퍼후원,2025-06-09 23:10:21.581008,Odio recusandae possimus odio hic excepturi ipsam doloremque. Ea dicta sit tenetur pariatur.
24,26,김재현,723001,일반,2025-06-10 17:19:28.317290,Mollitia totam vero ad. Earum sit provident sequi earum doloremque.
262,15,박옥순,122662,일반,2025-06-07 02:52:55.406319,Ab veritatis aliquid voluptatum earum. Accusamus eum animi sequi.
111,5,김준호,263274,얼리버드,2025-06-11 07:55:02.198348,Voluptatem similique aliquam.
82,7,김보람,456859,슈퍼후원,2025-06-09 20:40:48.121228,Aliquam facilis earum. Similique maxime cupiditate consequuntur aperiam.
208,25,김정순,551403,VIP,2025-06-07 14:52:01.474038,Id numquam distinctio quo fuga eaque itaque.
213,30,박우진,220253,얼리버드,2025-06-11 00:55:16.623171,Aliquam consequatur suscipit. Cum iusto eveniet est pariatur dicta quos perspiciatis.
40,5,박예지,804614,VIP,2025-06-10 13:04:48.727791,Beatae iusto accusamus ut sit.
241,14,우예준,946272,얼리버드,2025-06-06 18:58:04.665793,Debitis dolorum fugit neque. Cupiditate incidunt ab.
292,17,김영순,316848,VIP,2025-06-08 10:21:21.669041,Qui laborum cumque. Illum voluptas sit corporis dolor. Soluta officia assumenda sed.
259,30,허상철,469923,슈퍼후원,2025-06-07 12:07:46.675500,Beatae veritatis delectus illum voluptatum soluta harum neque.
200,2,박미경,985453,VIP,2025-06-11 08:51:33.592452,Et suscipit ullam. Libero id ea dolorum dolor quaerat eum impedit.
15,18,이영일,239013,일반,2025-06-10 13:49:00.538908,Alias distinctio veniam aspernatur eum. Nobis vel fugiat nulla eos odio rem.
48,10,윤선영,303377,VIP,2025-06-10 04:52:13.596948,Officia aliquam similique enim. Tenetur nemo velit officiis ut id minus.
95,6,김서준,714164,VIP,2025-06-08 21:13:00.149492,Corrupti exercitationem repellat aperiam soluta temporibus assumenda. Illum quidem ex amet.
264,26,신준서,506842,일반,2025-06-07 16:08:23.325254,Neque corrupti consequatur dolore quam.
228,13,김보람,590944,VIP,2025-06-11 13:15:45.690994,Sequi consectetur ut. Dolores dignissimos aspernatur.
274,29,김수민,431161,얼리버드,2025-06-08 11:58:37.136597,Asperiores atque animi. Eveniet quod aspernatur veritatis.
202,30,김은영,385936,얼리버드,2025-06-07 18:06:49.926244,Cum ut aperiam sequi reprehenderit quibusdam accusamus. Magnam cupiditate qui.
162,12,백상현,86444,VIP,2025-06-08 23:40:46.072863,Delectus eaque officia facere quia dolorem nihil. Ratione perferendis nostrum.
44,16,박도현,653936,얼리버드,2025-06-08 09:35:11.306764,"Illum deserunt modi nam alias ex a.
Id id labore a.
Quo veritatis nisi dolorem dicta iure officia."
218,13,엄지민,150728,일반,2025-06-07 05:30:06.659193,Repudiandae distinctio inventore. Deserunt molestiae ea ipsam. Odit nobis eos deleniti.
146,27,김현지,153719,VIP,2025-06-07 04:15:34.265338,At sint consequatur adipisci quod doloremque. Sunt ea ad esse voluptates modi.
191,6,유채원,734204,VIP,2025-06-08 09:58:45.603458,Commodi laborum laboriosam minima. Consequatur expedita eaque.
221,20,류정남,46184,VIP,2025-06-09 06:28:13.810278,Quia nemo deleniti sequi.
252,7,이현주,147659,일반,2025-06-08 02:12:58.557962,Explicabo suscipit cum a.
4,28,황하윤,985416,VIP,2025-06-11 17:28:40.379357,Similique ipsa quae ex maiores non perspiciatis. Minima dolor facilis.
106,6,황채원,620545,슈퍼후원,2025-06-08 18:11:52.806012,Non sapiente aliquam rem provident adipisci. Rem quos itaque fugiat aperiam.
54,30,김성호,985902,슈퍼후원,2025-06-09 19:53:39.248759,Consequuntur distinctio sit cupiditate officiis itaque. Aspernatur voluptatem quia quas.
134,10,서성훈,673495,슈퍼후원,2025-06-11 20:54:29.556509,Recusandae dolores dolores aliquam.
2,11,민예원,160330,일반,2025-06-08 05:31:11.720814,Cum ducimus dolorum voluptatibus explicabo. Iusto numquam assumenda aut.
132,20,장예준,621407,VIP,2025-06-11 04:20:50.086972,Deserunt natus officia ullam. Culpa saepe voluptates vitae.
104,28,이민서,335534,얼리버드,2025-06-08 02:25:54.846054,Ut aliquam iure aperiam sequi. Qui sunt facere quam nemo aliquid. Molestiae ullam vel odio sunt.
50,18,윤정숙,383764,일반,2025-06-12 04:08:16.084889,Pariatur officia dolor at nam quas. Accusantium dolore laborum debitis cumque assumenda ut.
81,19,김영수,815828,슈퍼후원,2025-06-08 04:30:38.106530,Sint dolorum vero beatae sed. Voluptatum optio laudantium magnam velit quasi.
206,29,구도윤,979360,얼리버드,2025-06-08 03:28:26.258507,Sed nemo autem. Corrupti aut quisquam delectus cupiditate earum. Tempora expedita itaque.
35,11,김수빈,848516,VIP,2025-06-12 01:59:26.962847,Amet veniam blanditiis id unde.
92,11,강성수,854021,일반,2025-06-10 10:46:27.870115,Quas hic molestias pariatur. Quaerat in tempore neque a vel nulla at.
53,13,차지원,104199,일반,2025-06-09 09:59:04.097658,Voluptates mollitia ipsam corrupti dolores incidunt animi.
242,16,김병철,164281,얼리버드,2025-06-07 07:03:31.602226,Omnis accusamus explicabo nesciunt quasi sed laborum deserunt. Expedita aperiam numquam quod.
14,26,고명자,737235,일반,2025-06-10 14:19:19.341445,Inventore corrupti ipsum repellendus optio dolores. Deserunt eum enim provident.
89,5,백서윤,929772,슈퍼후원,2025-06-11 20:55:33.485029,Quaerat quod accusantium atque. Voluptatibus veritatis similique dolorem debitis.
167,18,최영환,936310,VIP,2025-06-08 01:07:02.813416,Vero optio officia repellat. Et quas sint odio magnam voluptatem.
295,15,윤예원,107729,VIP,2025-06-06 10:38:12.098344,Quod ipsa commodi voluptatem. Officiis laudantium impedit mollitia.
135,10,박미영,834689,얼리버드,2025-06-11 14:43:34.419253,Ullam commodi maiores sint harum impedit. Omnis tempora ut animi perferendis.
288,25,이경수,765451,일반,2025-06-06 19:36:19.965117,Deleniti labore non repudiandae quis quod. Repudiandae magni molestias.
244,4,이정순,749161,VIP,2025-06-08 06:34:41.543189,Rem nulla ad molestias voluptates. Ipsam exercitationem deleniti unde quam corrupti sed.
55,28,강영길,215518,얼리버드,2025-06-08 16:18:23.100066,Alias voluptatem quae aspernatur. Accusamus molestias ab non nobis velit quaerat.
51,8,박준영,606869,VIP,2025-06-07 06:43:29.681522,Rerum facere veritatis enim natus suscipit. Ab nam magni dicta quasi.
175,17,이윤서,263132,슈퍼후원,2025-06-12 06:20:32.806314,Ipsum debitis eius corrupti ad facilis.
190,10,배정식,289501,슈퍼후원,2025-06-07 19:46:42.630530,Consequuntur rerum omnis officia dolorem quas maxime. Perspiciatis quod quasi sit.
299,19,배숙자,500947,일반,2025-06-07 17:56:58.791952,Ipsa sunt at. Fuga et reiciendis perspiciatis a quidem.
188,8,주지혜,862481,일반,2025-06-06 23:22:30.226279,Iure architecto aperiam provident quod nobis. Rerum harum iste minus vitae.
170,16,김경수,870996,VIP,2025-06-09 18:29:35.422915,Tenetur occaecati facere vero veniam repellendus culpa. Minus mollitia sapiente omnis.
59,8,최지영,376491,슈퍼후원,2025-06-11 20:37:24.574781,Nemo nulla temporibus quidem. Est voluptatibus ad architecto. Ab quam praesentium culpa.
49,30,김옥자,260763,슈퍼후원,2025-06-07 19:37:02.710816,Deleniti neque exercitationem sequi eius delectus. Illo voluptates modi voluptatem.
236,6,김민수,973081,일반,2025-06-12 01:52:15.580086,Ex beatae ducimus voluptatibus officiis.
253,2,최영순,410336,슈퍼후원,2025-06-07 17:22:41.827559,Iste natus quod ratione voluptatum explicabo molestias. Error corrupti ut deleniti facilis harum.
22,10,강경숙,828958,슈퍼후원,2025-06-10 01:45:53.807693,Dignissimos esse illum perferendis. Occaecati voluptatum ex repellendus.
161,13,류경자,782043,얼리버드,2025-06-07 15:16:27.070886,Labore repudiandae minus illum eos porro officia.
277,16,안윤서,858535,슈퍼후원,2025-06-11 06:20:50.167610,Quas reiciendis assumenda vero nisi. Consectetur fuga officiis nam eius. Velit amet deserunt minus.
192,24,박영일,326114,얼리버드,2025-06-08 03:57:39.052743,Expedita debitis totam quibusdam voluptatem id. Modi consequuntur recusandae fuga fuga.
258,15,손서준,529043,VIP,2025-06-06 12:25:43.049314,Doloribus culpa adipisci. Voluptatum voluptatibus iure.
150,23,김미경,871863,일반,2025-06-07 00:08:25.276029,Ipsa nobis odit corporis quo cupiditate deleniti. Accusamus sint enim nam error sed voluptatem.
131,25,손유진,345928,슈퍼후원,2025-06-08 09:37:58.458589,Vitae repudiandae culpa adipisci nulla fugit. Quod delectus officia quod excepturi minus nemo.
152,11,류영식,202681,VIP,2025-06-06 21:22:50.471780,Minus unde consectetur aperiam quos itaque facere. Quibusdam recusandae optio quod nostrum eaque.
100,9,이성민,614890,슈퍼후원,2025-06-09 13:33:20.585416,Minus quod unde. Reiciendis molestiae reprehenderit fuga vero minus deleniti.
88,3,강정남,449783,얼리버드,2025-06-10 12:13:30.722428,Corrupti minus quo aperiam neque. Quo ullam possimus natus rem inventore.
215,9,고경희,135334,VIP,2025-06-08 03:54:33.407612,Doloribus dolores repudiandae in cum. Error labore eveniet veritatis.
122,30,김경자,249286,슈퍼후원,2025-06-09 07:43:50.574748,Ipsam quibusdam perspiciatis veniam cumque aliquam molestias. Hic eaque sed eligendi repellendus.
300,16,엄동현,787877,얼리버드,2025-06-12 05:36:36.437160,Quae deleniti natus ducimus recusandae. Fuga sequi ipsa.
21,7,최광수,408327,슈퍼후원,2025-06-07 09:31:47.524979,Odio molestias ducimus officia beatae nostrum cum in. Dicta consequuntur omnis.
189,7,김민서,801652,슈퍼후원,2025-06-11 09:37:17.089270,Neque delectus molestiae suscipit amet.
72,16,장승민,463039,일반,2025-06-10 10:58:01.736472,Quia earum pariatur vitae possimus. Animi nihil magnam odio deserunt eius.
107,17,김동현,430973,VIP,2025-06-06 11:01:41.500892,Quod impedit nobis reprehenderit. Dignissimos eum quisquam sed fugit iure sed voluptate.
271,14,엄은영,514669,VIP,2025-06-07 02:17:05.646621,Vero occaecati vel quae recusandae.
103,11,주민서,863110,일반,2025-06-11 07:41:27.730828,Tenetur optio rem accusamus cumque. Amet officiis dolores esse eius eaque.
