analyst_id,name,company,specialization,experience_years,accuracy_rate,is_verified,last_activity
1,김승민,주식회사 이,소고기,15,62,False,2025-05-14 15:08:28.223940
2,이주원,(주) 홍,소고기,15,91,True,2025-05-31 06:51:01.993579
3,김영식,주식회사 장,가격예측,17,79,True,2025-05-13 18:15:25.675245
4,이수민,(주) 김문박,닭고기,4,86,True,2025-05-10 17:04:42.119812
5,김은지,최류,전체축산,1,99,False,2025-05-29 13:41:23.564176
6,이현우,박김박,전체축산,11,51,False,2025-05-09 11:31:37.465889
7,임춘자,유한회사 박최김,돼지고기,15,13,True,2025-05-23 09:51:09.547561
8,이아름,(주) 지,가격예측,13,80,False,2025-06-01 07:42:49.178059
9,류서준,(유) 박김이,닭고기,19,92,True,2025-05-30 14:10:54.967166
10,김병철,유한회사 이,가격예측,10,24,True,2025-05-17 12:16:39.056194
11,김정숙,이노황,가격예측,11,79,False,2025-05-26 16:44:59.965091
12,지서준,박강성,소고기,8,26,True,2025-06-01 08:08:04.771868
13,박예지,(유) 김,가격예측,8,63,False,2025-06-02 08:45:33.222342
14,장예은,윤김고,닭고기,13,78,True,2025-05-25 21:30:52.982492
15,박경자,주식회사 김김김,소고기,20,5,False,2025-05-23 01:19:36.184828
16,이지우,김배,닭고기,11,11,True,2025-05-07 07:09:05.909401
17,박명자,김김,닭고기,17,78,False,2025-05-08 08:38:36.786418
18,김지후,문이,소고기,14,17,True,2025-05-15 13:11:47.252440
19,오영순,김박,소고기,6,54,True,2025-05-11 19:26:29.931653
20,김영철,오김이,가격예측,16,83,False,2025-05-08 15:08:43.425127
21,김하은,주식회사 김,전체축산,14,73,True,2025-05-13 01:25:43.925352
22,최종수,(주) 장김김,닭고기,15,95,True,2025-05-22 22:27:38.649582
23,하정웅,이이,닭고기,15,42,True,2025-05-29 13:47:50.011338
24,김미정,주식회사 이김김,가격예측,5,95,False,2025-05-08 16:18:49.932725
25,전재호,주식회사 김김양,닭고기,6,18,False,2025-06-01 22:38:28.645440
26,김영환,주식회사 김민최,닭고기,5,96,True,2025-05-07 20:21:38.237461
27,이동현,김허,돼지고기,11,63,True,2025-06-01 20:19:49.508260
28,홍상철,유한회사 우이이,돼지고기,12,94,False,2025-05-25 20:08:16.013364
29,김성호,유한회사 김,돼지고기,17,96,False,2025-05-30 15:41:10.769299
30,김승현,최성,가격예측,9,32,True,2025-05-17 13:13:06.038012
