contact_id,name,phone,email,company,job,birthday,is_favorite,external_ref,is_verified
1,서숙자,070-4341-1027,zgim@example.net,정권,비파괴 검사원,1945-07-04,False,REF####,False
2,권현정,055-796-7895,hyeonji48@example.net,홍박김,광석 및 석제품 가공기 조작원,1970-12-15,True,REF####,False
3,김영숙,032-392-5857,gwangsu98@example.com,이박손,임상병리사,1954-11-30,False,REF####,False
4,박시우,063-950-4422,eunji20@example.org,주식회사 김구박,주방 보조원,1967-02-03,False,REF####,True
5,김영희,010-4329-8599,goyeongil@example.net,김김이,물품이동 장비 조작원,1978-08-05,True,REF####,False
6,김순옥,054-025-2800,heosanghyeon@example.net,(유) 이심이,제빵원 및 제과원,1970-10-13,True,REF####,False
7,이민지,053-770-1565,gimminji@example.com,이심지,경비원,1983-07-15,False,REF####,False
8,김광수,051-689-8661,seoyeonggim@example.org,(유) 한황지,관세사,2010-03-31,False,REF####,True
9,김민준,061-087-5657,vsim@example.net,남김이,정보 시스템 운영자,1953-04-18,True,REF####,False
10,이진우,031-268-4104,zsin@example.org,박김,조적공 및 석재 부설원,2006-04-24,False,REF####,True
11,김예진,053-567-4744,ji@example.org,유한회사 김최장,기타 사회복지관련 종사원,1954-10-16,False,REF####,True
12,김성현,063-527-4980,jeongho86@example.org,(유) 김이박,방수공,1948-05-22,False,REF####,True
13,이정훈,02-9627-8120,nyun@example.com,김박윤,숙박시설 서비스원,1989-03-25,False,REF####,True
14,김정숙,061-847-6415,yejuni@example.net,김이,작가 및 관련 전문가,1989-09-13,False,REF####,True
15,김보람,043-692-8327,jeongsun63@example.org,이박문,기타 사회복지관련 종사원,1972-04-30,True,REF####,False
16,하지후,010-6277-3110,boramo@example.org,황김,물품 이동 장비 설치 및 정비원,1952-06-18,False,REF####,True
17,이지현,033-857-7821,ri@example.net,유한회사 홍김김,바텐더,1989-07-26,False,REF####,False
18,김하은,061-608-7975,jihun03@example.org,유한회사 박김김,시멘트 및 광물제품 제조기 조작원,1970-08-27,False,REF####,True
19,오미영,042-041-3798,jaehyeon08@example.net,오곽김,도금 및 금속분무기 조작원,1985-03-03,False,REF####,False
20,박병철,043-401-5640,hanmisug@example.org,(유) 송문김,철근공,1973-02-27,True,REF####,True
21,안준서,062-535-5163,gimyejun@example.net,(유) 우,조경원,1963-06-21,False,REF####,True
