user_id,username,email,created_at,external_ref,popularity_score
1,minjaegim,myeongsuggim@example.net,2025-01-10,REF####,13
2,yeongho21,sunogna@example.com,2025-05-22,REF####,68
3,yeongsun71,yeongmihan@example.com,2025-04-03,REF####,4
4,gimhyeonju,jongsubag@example.org,2024-12-05,REF####,83
5,yeonghogim,gosangho@example.net,2024-06-27,REF####,77
6,gseong,yeongceolgim@example.net,2025-02-22,REF####,22
7,sbae,seongsui@example.net,2024-06-21,REF####,94
8,jiyeong62,jeongsugyun@example.com,2025-04-28,REF####,53
9,nbag,gweonseunghyeon@example.net,2025-04-23,REF####,52
10,xgim,sanghungim@example.org,2025-04-21,REF####,31
11,seonghyeon82,yeeuni@example.net,2024-08-07,REF####,68
12,vbag,jeonghobaeg@example.org,2025-01-13,REF####,81
13,seongminsim,qheo@example.org,2025-05-09,REF####,8
14,imhyeonjeong,jeonyeongsu@example.com,2024-08-22,REF####,90
15,jiweongang,seoyungim@example.com,2024-11-03,REF####,17
16,misug09,coemiyeong@example.org,2024-12-13,REF####,30
17,jeongungyun,eunju28@example.com,2024-08-23,REF####,48
18,ugim,yeongsighan@example.net,2025-03-19,REF####,42
19,gjeong,yeongil16@example.org,2025-05-27,REF####,75
20,coesujin,ogsunbaeg@example.com,2025-02-22,REF####,47
21,bbag,jihyeongim@example.net,2024-07-05,REF####,95
22,cunjagang,sonseoyeon@example.com,2024-08-31,REF####,19
23,odoyun,jeongnambag@example.org,2024-06-03,REF####,42
24,minjun64,jeongsu78@example.net,2024-06-19,REF####,91
25,zan,geonu87@example.com,2024-06-17,REF####,93
26,yunseongho,gimyejun@example.com,2024-08-07,REF####,9
27,yeongmii,sgim@example.org,2025-02-11,REF####,1
28,sunjamun,seongjingim@example.net,2024-10-23,REF####,96
29,jeongungjin,jeongsu08@example.com,2025-03-12,REF####,24
30,myeongsug07,sugja04@example.com,2024-08-04,REF####,58
31,sumin98,geonujeong@example.org,2025-03-22,REF####,58
32,gyeongsu57,jbag@example.net,2025-05-08,REF####,59
33,ogsun48,abae@example.com,2024-11-26,REF####,11
34,yeongsuni,baemyeongja@example.org,2024-06-11,REF####,64
35,eunjimin,seoareum@example.net,2025-03-12,REF####,25
36,vjang,yeongjai@example.org,2024-08-19,REF####,10
37,yeonghoi,sonjia@example.org,2024-10-02,REF####,8
38,coegyeongsug,sujin33@example.org,2025-05-15,REF####,91
39,hyeonugim,yeongsun28@example.com,2025-04-01,REF####,39
40,sugjai,seongmingim@example.net,2025-04-05,REF####,23
41,junseo17,yeonghoan@example.net,2024-08-26,REF####,98
42,vheo,minsu58@example.com,2024-10-29,REF####,17
43,jongsuan,coehyeonsug@example.org,2024-11-20,REF####,43
44,mijeongcoe,wbae@example.com,2024-07-16,REF####,1
45,rgim,gimbyeongceol@example.net,2024-09-09,REF####,89
46,migyeongi,gimjeongsug@example.org,2024-08-21,REF####,47
47,bagdonghyeon,kson@example.com,2025-01-03,REF####,85
48,gweongyeongsu,jieun24@example.com,2024-07-21,REF####,99
49,seoyungu,hyejingim@example.org,2025-04-26,REF####,5
50,ijeongsun,jihyeon60@example.net,2025-02-18,REF####,38
