analyst_id,name,company,specialization,experience_years,accuracy_rate
1,김승민,주식회사 이,소고기,15,62
2,이주원,(주) 홍,소고기,15,91
3,김영식,주식회사 장,가격예측,17,79
4,이수민,(주) 김문박,닭고기,4,86
5,김은지,최류,전체축산,1,99
6,이현우,박김박,전체축산,11,51
7,임춘자,유한회사 박최김,돼지고기,15,13
8,이아름,(주) 지,가격예측,13,80
9,류서준,(유) 박김이,닭고기,19,92
10,김병철,유한회사 이,가격예측,10,24
11,김정숙,이노황,가격예측,11,79
12,지서준,박강성,소고기,8,26
13,박예지,(유) 김,가격예측,8,63
14,장예은,윤김고,닭고기,13,78
15,박경자,주식회사 김김김,소고기,20,5
16,이지우,김배,닭고기,11,11
18,김지후,문이,소고기,14,17
19,오영순,김박,소고기,6,54
21,김하은,주식회사 김,전체축산,14,73
22,최종수,(주) 장김김,닭고기,15,95
23,하정웅,이이,닭고기,15,42
24,김미정,주식회사 이김김,가격예측,5,95
25,전재호,주식회사 김김양,닭고기,6,18
26,김영환,주식회사 김민최,닭고기,5,96
28,홍상철,유한회사 우이이,돼지고기,12,94
29,김성호,유한회사 김,돼지고기,17,96
30,김승현,최성,가격예측,9,32
