user_id,phone,auth_status,subscription_type,is_online,warning_count,last_login,created_at
22,055-859-5018,인증대기,프리미엄,True,0,2024-06-02 04:42:13.948878,2025-04-25 03:13:35.836684
3,042-075-4870,인증대기,무료,False,2,2024-09-11 03:05:28.804163,2025-05-20 22:16:19.884847
48,032-837-5249,미인증,프리미엄,False,1,2025-05-14 17:32:57.870778,2024-12-29 19:38:25.532742
40,017-161-6638,인증완료,프리미엄,True,0,2025-02-10 07:53:52.455724,2025-03-27 01:26:47.354407
36,052-362-7947,인증대기,VIP,False,2,2024-12-30 09:48:14.731142,2025-04-10 18:52:12.385707
24,02-2771-5956,미인증,골드,False,0,2024-10-31 09:34:00.648574,2025-05-12 07:06:55.969153
50,02-2649-9331,인증완료,프리미엄,False,1,2025-05-15 02:11:18.666095,2025-04-10 02:45:10.231961
11,019-805-1287,인증완료,무료,False,0,2024-12-14 21:35:30.524461,2025-05-03 09:38:11.602046
23,041-930-7928,인증대기,골드,False,1,2025-01-31 08:05:02.128256,2025-02-12 21:42:02.866607
19,017-149-4363,미인증,프리미엄,True,3,2024-12-10 01:40:37.635266,2025-05-30 15:46:39.786046
60,064-718-1609,인증대기,무료,True,1,2024-12-06 14:39:59.411297,2025-03-19 13:05:30.838794
21,043-982-6750,인증대기,골드,False,3,2025-01-14 20:36:08.391564,2025-04-28 05:13:28.490896
8,032-629-8179,인증완료,VIP,False,2,2025-03-13 14:02:43.040908,2025-03-14 13:28:14.109355
43,017-921-9631,미인증,프리미엄,False,3,2024-06-02 03:12:39.064179,2024-12-25 21:14:09.460669
15,033-243-4096,인증대기,VIP,False,1,2024-08-31 20:09:05.150384,2025-05-28 23:29:25.674497
29,061-775-0533,미인증,무료,False,3,2024-11-13 04:38:12.841540,2025-03-02 18:58:07.283532
52,010-9314-3764,인증완료,VIP,False,1,2024-10-07 16:51:50.158466,2024-12-30 20:49:55.590274
39,061-508-6275,미인증,VIP,True,1,2025-05-29 00:12:44.066185,2025-04-17 16:35:57.598501
