user_id,phone,auth_status,subscription_type,created_at,is_online
1,051-564-0478,인증완료,무료,2025-02-23 10:54:48.313720,False
2,043-564-3835,인증대기,VIP,2025-05-31 11:55:20.009531,True
3,042-075-4870,인증대기,무료,2025-05-20 22:16:19.884847,False
4,033-339-1751,인증대기,VIP,2025-04-27 15:55:53.726494,False
5,052-721-6027,인증대기,VIP,2025-02-21 22:45:00.153868,True
6,041-753-0192,인증완료,무료,2025-04-10 16:25:15.334316,False
7,042-454-4874,인증완료,VIP,2025-01-01 15:17:47.559407,False
8,032-629-8179,인증완료,VIP,2025-03-14 13:28:14.109355,False
9,055-000-5150,인증완료,VIP,2025-05-29 02:49:01.325352,False
10,041-755-1331,미인증,골드,2025-05-13 12:10:22.665984,False
11,019-805-1287,인증완료,무료,2025-05-03 09:38:11.602046,False
12,061-321-9952,인증완료,골드,2025-04-09 05:31:57.826124,False
13,019-734-2140,인증완료,골드,2025-01-05 08:30:40.163946,False
14,02-5732-1211,인증완료,무료,2025-02-11 05:55:45.568571,True
15,033-243-4096,인증대기,VIP,2025-05-28 23:29:25.674497,False
16,02-6502-2005,인증대기,무료,2025-05-27 12:24:12.304791,False
17,033-538-3169,인증완료,VIP,2025-01-06 23:18:27.017070,True
18,054-913-1223,미인증,무료,2025-03-07 22:32:17.230766,False
19,017-149-4363,미인증,프리미엄,2025-05-30 15:46:39.786046,True
20,041-756-3183,인증완료,골드,2025-03-24 12:14:01.635373,False
21,043-982-6750,인증대기,골드,2025-04-28 05:13:28.490896,False
22,055-859-5018,인증대기,프리미엄,2025-04-25 03:13:35.836684,True
23,041-930-7928,인증대기,골드,2025-02-12 21:42:02.866607,False
24,02-2771-5956,미인증,골드,2025-05-12 07:06:55.969153,False
25,02-8687-3330,인증완료,무료,2025-02-22 05:55:31.649528,False
26,032-776-4492,인증대기,프리미엄,2025-04-22 13:34:55.678777,False
27,032-376-9001,미인증,VIP,2025-03-06 07:08:28.782679,False
28,042-269-8971,미인증,골드,2025-04-09 19:29:26.528256,False
29,061-775-0533,미인증,무료,2025-03-02 18:58:07.283532,False
30,019-533-8155,인증대기,골드,2025-01-09 13:48:35.003869,False
31,051-441-0254,미인증,VIP,2025-05-29 02:50:55.715492,False
32,052-872-5988,인증대기,VIP,2025-01-11 06:05:12.595155,False
33,064-707-4835,미인증,골드,2025-01-17 01:58:33.779662,True
34,061-819-5962,인증대기,프리미엄,2025-05-17 19:57:44.836876,False
35,052-496-0193,인증완료,무료,2025-02-05 23:37:29.677443,False
36,052-362-7947,인증대기,VIP,2025-04-10 18:52:12.385707,False
37,041-496-7454,미인증,VIP,2025-02-13 00:20:35.448605,False
38,02-6365-9593,인증완료,VIP,2024-12-07 16:35:44.259383,False
39,061-508-6275,미인증,VIP,2025-04-17 16:35:57.598501,True
40,017-161-6638,인증완료,프리미엄,2025-03-27 01:26:47.354407,True
41,041-988-5688,미인증,무료,2025-01-02 14:20:26.119925,True
42,051-608-7581,미인증,무료,2025-01-16 06:23:27.554886,True
43,017-921-9631,미인증,프리미엄,2024-12-25 21:14:09.460669,False
44,033-262-2905,인증완료,골드,2025-04-15 23:51:05.106119,True
45,031-725-1868,인증완료,골드,2025-03-07 10:33:22.656615,False
46,043-281-2299,인증대기,프리미엄,2025-05-02 19:53:22.685762,False
47,017-019-5127,인증완료,프리미엄,2025-01-15 06:18:02.141877,True
48,032-837-5249,미인증,프리미엄,2024-12-29 19:38:25.532742,False
49,064-787-4926,미인증,무료,2025-01-18 14:07:18.078534,False
50,02-2649-9331,인증완료,프리미엄,2025-04-10 02:45:10.231961,False
51,054-650-7335,인증대기,프리미엄,2025-01-08 07:30:07.601719,False
52,010-9314-3764,인증완료,VIP,2024-12-30 20:49:55.590274,False
53,032-647-5435,인증대기,프리미엄,2025-05-29 08:35:38.508485,False
54,033-971-8991,인증대기,무료,2024-12-05 00:00:42.017178,False
55,02-7407-2531,인증대기,프리미엄,2024-12-14 02:40:26.181075,False
56,018-880-3861,인증대기,골드,2024-12-20 21:28:11.374568,False
57,02-1388-3327,인증완료,프리미엄,2024-12-24 15:51:07.304607,False
58,017-102-3835,인증완료,골드,2025-04-06 18:30:33.996926,False
59,018-038-6016,인증대기,VIP,2024-12-19 15:48:23.054910,False
60,064-718-1609,인증대기,무료,2025-03-19 13:05:30.838794,True
