user_id,phone,auth_status,subscription_type,created_at,warning_count,last_login
1,051-564-0478,인증완료,무료,2025-02-23 10:54:48.313720,3,2024-11-01 09:35:47.553790
2,043-564-3835,인증대기,VIP,2025-05-31 11:55:20.009531,2,2025-05-29 01:39:33.410849
3,042-075-4870,인증대기,무료,2025-05-20 22:16:19.884847,2,2024-09-11 03:05:28.804163
4,033-339-1751,인증대기,VIP,2025-04-27 15:55:53.726494,1,2025-05-31 03:21:04.842144
5,052-721-6027,인증대기,VIP,2025-02-21 22:45:00.153868,2,2025-04-17 01:37:04.149860
6,041-753-0192,인증완료,무료,2025-04-10 16:25:15.334316,1,2025-04-04 21:32:25.534769
7,042-454-4874,인증완료,VIP,2025-01-01 15:17:47.559407,0,2025-05-27 22:00:44.373700
8,032-629-8179,인증완료,VIP,2025-03-14 13:28:14.109355,2,2025-03-13 14:02:43.040908
9,055-000-5150,인증완료,VIP,2025-05-29 02:49:01.325352,1,2025-02-23 12:15:43.676795
10,041-755-1331,미인증,골드,2025-05-13 12:10:22.665984,2,2025-03-12 01:32:27.375746
11,019-805-1287,인증완료,무료,2025-05-03 09:38:11.602046,0,2024-12-14 21:35:30.524461
12,061-321-9952,인증완료,골드,2025-04-09 05:31:57.826124,2,2024-12-14 09:46:27.995167
13,019-734-2140,인증완료,골드,2025-01-05 08:30:40.163946,1,2025-04-02 09:38:19.424999
14,02-5732-1211,인증완료,무료,2025-02-11 05:55:45.568571,0,2024-09-09 08:51:29.097267
15,033-243-4096,인증대기,VIP,2025-05-28 23:29:25.674497,1,2024-08-31 20:09:05.150384
16,02-6502-2005,인증대기,무료,2025-05-27 12:24:12.304791,2,2024-06-22 02:59:06.425833
17,033-538-3169,인증완료,VIP,2025-01-06 23:18:27.017070,1,2024-11-25 12:51:24.327985
18,054-913-1223,미인증,무료,2025-03-07 22:32:17.230766,3,2024-11-28 20:42:10.400012
19,017-149-4363,미인증,프리미엄,2025-05-30 15:46:39.786046,3,2024-12-10 01:40:37.635266
20,041-756-3183,인증완료,골드,2025-03-24 12:14:01.635373,0,2025-03-21 07:43:20.408270
21,043-982-6750,인증대기,골드,2025-04-28 05:13:28.490896,3,2025-01-14 20:36:08.391564
22,055-859-5018,인증대기,프리미엄,2025-04-25 03:13:35.836684,0,2024-06-02 04:42:13.948878
23,041-930-7928,인증대기,골드,2025-02-12 21:42:02.866607,1,2025-01-31 08:05:02.128256
24,02-2771-5956,미인증,골드,2025-05-12 07:06:55.969153,0,2024-10-31 09:34:00.648574
25,02-8687-3330,인증완료,무료,2025-02-22 05:55:31.649528,3,2025-01-09 16:46:32.984200
26,032-776-4492,인증대기,프리미엄,2025-04-22 13:34:55.678777,1,2025-02-11 05:40:18.975086
27,032-376-9001,미인증,VIP,2025-03-06 07:08:28.782679,0,2024-12-22 04:38:25.918455
28,042-269-8971,미인증,골드,2025-04-09 19:29:26.528256,1,2024-12-20 19:42:08.160563
29,061-775-0533,미인증,무료,2025-03-02 18:58:07.283532,3,2024-11-13 04:38:12.841540
30,019-533-8155,인증대기,골드,2025-01-09 13:48:35.003869,1,2025-03-05 04:27:02.073292
31,051-441-0254,미인증,VIP,2025-05-29 02:50:55.715492,2,2025-01-06 08:57:32.490228
32,052-872-5988,인증대기,VIP,2025-01-11 06:05:12.595155,3,2024-10-21 11:17:28.453401
33,064-707-4835,미인증,골드,2025-01-17 01:58:33.779662,3,2025-05-08 20:32:58.764311
34,061-819-5962,인증대기,프리미엄,2025-05-17 19:57:44.836876,3,2025-03-01 18:38:15.147194
35,052-496-0193,인증완료,무료,2025-02-05 23:37:29.677443,1,2024-06-08 15:29:53.207861
36,052-362-7947,인증대기,VIP,2025-04-10 18:52:12.385707,2,2024-12-30 09:48:14.731142
37,041-496-7454,미인증,VIP,2025-02-13 00:20:35.448605,0,2024-09-27 22:46:17.343872
38,02-6365-9593,인증완료,VIP,2024-12-07 16:35:44.259383,3,2024-06-26 14:02:26.892743
39,061-508-6275,미인증,VIP,2025-04-17 16:35:57.598501,1,2025-05-29 00:12:44.066185
40,017-161-6638,인증완료,프리미엄,2025-03-27 01:26:47.354407,0,2025-02-10 07:53:52.455724
41,041-988-5688,미인증,무료,2025-01-02 14:20:26.119925,2,2024-07-20 04:55:46.736232
42,051-608-7581,미인증,무료,2025-01-16 06:23:27.554886,1,2025-02-17 17:48:17.213513
43,017-921-9631,미인증,프리미엄,2024-12-25 21:14:09.460669,3,2024-06-02 03:12:39.064179
44,033-262-2905,인증완료,골드,2025-04-15 23:51:05.106119,2,2025-05-15 19:15:31.118120
45,031-725-1868,인증완료,골드,2025-03-07 10:33:22.656615,1,2024-10-03 05:15:11.155527
46,043-281-2299,인증대기,프리미엄,2025-05-02 19:53:22.685762,2,2024-07-04 13:20:51.120270
47,017-019-5127,인증완료,프리미엄,2025-01-15 06:18:02.141877,0,2025-03-08 10:22:53.644121
48,032-837-5249,미인증,프리미엄,2024-12-29 19:38:25.532742,1,2025-05-14 17:32:57.870778
49,064-787-4926,미인증,무료,2025-01-18 14:07:18.078534,3,2024-06-07 04:20:45.359234
50,02-2649-9331,인증완료,프리미엄,2025-04-10 02:45:10.231961,1,2025-05-15 02:11:18.666095
51,054-650-7335,인증대기,프리미엄,2025-01-08 07:30:07.601719,2,2024-08-22 05:09:48.553441
52,010-9314-3764,인증완료,VIP,2024-12-30 20:49:55.590274,1,2024-10-07 16:51:50.158466
53,032-647-5435,인증대기,프리미엄,2025-05-29 08:35:38.508485,2,2024-11-26 12:28:13.893289
54,033-971-8991,인증대기,무료,2024-12-05 00:00:42.017178,1,2024-09-11 23:09:49.208565
55,02-7407-2531,인증대기,프리미엄,2024-12-14 02:40:26.181075,0,2024-07-10 13:21:06.231215
56,018-880-3861,인증대기,골드,2024-12-20 21:28:11.374568,3,2025-03-30 22:00:44.177755
57,02-1388-3327,인증완료,프리미엄,2024-12-24 15:51:07.304607,3,2024-08-13 08:25:00.881573
58,017-102-3835,인증완료,골드,2025-04-06 18:30:33.996926,3,2025-05-16 04:06:28.441699
59,018-038-6016,인증대기,VIP,2024-12-19 15:48:23.054910,0,2024-08-12 04:45:43.363312
60,064-718-1609,인증대기,무료,2025-03-19 13:05:30.838794,1,2024-12-06 14:39:59.411297
