expert_id,name,email,specialization,rating,answers_count
49,양서준,tbag@example.net,학습,5,205
25,한상현,yujino@example.com,학습,3,32
44,서지은,yeonggilson@example.net,기술,4,406
78,백옥자,pi@example.org,취업,5,146
58,강준호,ena@example.org,기술,3,369
12,이서영,geonu64@example.net,기술,4,326
33,김영희,yejunjeong@example.org,기타,3,283
76,이미숙,jiubag@example.net,학습,3,334
60,노지후,seoyuni@example.org,건강,3,471
64,이수진,una@example.com,건강,5,373
70,김도현,siui@example.net,생활,5,454
38,황현정,fhong@example.com,건강,5,3
30,김성현,minjigwag@example.org,학습,4,313
2,이정순,yejuni@example.org,건강,3,451
53,한성수,ihyeonjun@example.com,기타,4,85
22,김옥자,ogja86@example.org,생활,5,208
3,최은경,gseong@example.org,기타,4,201
24,김하윤,coecunja@example.net,학습,5,419
75,김영자,yujingim@example.org,기타,5,433
21,이지훈,gimgwangsu@example.org,기타,5,32
61,이지연,gimjihye@example.com,취업,3,80
72,박미정,gimseongho@example.org,학습,4,311
15,김영길,jeongnam70@example.net,생활,4,464
52,김민지,sanghyeongim@example.net,기타,5,239
