question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,is_resolved,created_at
1,Harum quaerat maiores eius amet enim illum odit ducimus dolore.?,"Esse quam vero nobis optio perspiciatis. Error omnis suscipit odit.
Deserunt minima sed recusandae quasi illum.
Tempora non doloribus occaecati. Expedita assumenda quaerat aspernatur quidem atque hic. Porro maxime earum quisquam aut eius explicabo. Officia sed molestiae ipsa corporis.
Deserunt vel quam soluta quas quo tempore. Tenetur dignissimos debitis aliquam corrupti. Hic illo voluptate. Hic sed quasi voluptatibus occaecati quas reiciendis.",백지은,jaehyeon33@example.com,취업,초급,714,등급4,True,2024-10-21 02:56:08.557690
2,Facere quibusdam ipsum reprehenderit nostrum eum pariatur ea qui excepturi quis.?,"Odit veritatis placeat aliquam labore impedit nobis. Molestias deserunt corrupti laborum velit. Odio consequatur rerum cupiditate.
Veritatis minus quod deserunt. Facilis excepturi eum. Ipsam saepe ipsum odit. Corporis expedita illo harum fugit sit consectetur.
Nemo quos odio culpa a sed. Ipsum blanditiis omnis aspernatur libero aliquid error. Maiores qui laboriosam rem fuga accusantium.
Deserunt quos hic autem repudiandae cum. Iusto veniam beatae vitae exercitationem est.",서순옥,ujin26@example.com,학습,고급,175,등급3,False,2025-04-01 11:28:18.101638
3,Quisquam culpa fugiat illum ullam voluptates ex itaque.?,"Sed ipsa earum consectetur voluptatum consequatur. Inventore at accusamus provident iusto cupiditate temporibus nemo.
Provident illum soluta numquam voluptatum facilis.
Nobis officiis sed reprehenderit distinctio facere. Ipsum quisquam quae numquam molestias.
Exercitationem dolor a molestias aliquid maiores cum. Quam dolore dignissimos sunt non iure sed quas. Quod magni dolor cumque maxime ad vitae.
Libero quam qui atque. Quam alias accusamus amet enim.
Nemo consequatur eius illo.",이경숙,zgim@example.org,기술,고급,186,등급3,True,2024-10-16 23:36:58.556298
4,Cum officia fuga consequuntur.?,"Molestias soluta quae dolore ad ex odio. Excepturi praesentium nobis expedita cum. Distinctio delectus nesciunt provident veritatis cupiditate ea magni.
Et assumenda ipsam provident praesentium unde asperiores. Praesentium eligendi magnam ipsam praesentium ratione.
Tempora vitae illum molestiae laboriosam. Sed maxime culpa consectetur ratione inventore. Ex officiis quis inventore vel unde vitae assumenda. Quasi sit dignissimos velit.",조민서,minji84@example.com,건강,중급,67,등급3,False,2024-12-06 03:08:09.060194
5,Vel corrupti adipisci sint tempore temporibus ut.?,"Harum debitis nihil laborum aliquam accusamus suscipit itaque.
Sequi officia ratione suscipit autem ex ab. Praesentium blanditiis repellat vero consectetur repudiandae eum. Similique soluta ad doloremque nesciunt.
In dolorum dolores occaecati quisquam. Nam dicta amet magni voluptatibus fuga exercitationem.
Maxime vero tenetur. Voluptatibus exercitationem quis placeat unde maiores quidem. Beatae a ducimus ipsum quos eos consequuntur ad. Necessitatibus labore numquam rem atque necessitatibus vel.",김명자,wgim@example.org,기술,고급,324,등급1,False,2024-09-11 23:10:49.509902
6,Consequatur at cupiditate excepturi reiciendis omnis nesciunt sequi non.?,"Consequatur aperiam voluptatem. Ex odio perspiciatis aliquam ipsa quis repudiandae. Iure ullam amet minus voluptatem totam accusamus.
Ducimus recusandae perspiciatis consequatur aut ea earum libero.
Laborum alias cum dolores corporis a. Quo sunt quo ullam nam perferendis.
Velit perferendis odio repellendus.
Libero quo quod doloribus. Ea tempore sit libero odio perferendis dignissimos vel. Accusantium asperiores molestias corrupti vero cum debitis.",김지훈,abag@example.org,건강,초급,709,등급4,True,2024-09-17 21:47:37.509139
7,Tempora placeat voluptates voluptates consectetur molestias asperiores architecto.?,"Ad labore neque modi amet laudantium. Quas fugit facere.
Veniam reprehenderit corrupti occaecati nemo autem nulla. Fugit quibusdam expedita nostrum facilis dignissimos animi. Necessitatibus quos beatae aperiam fugit doloremque.
Reiciendis odit veritatis optio libero debitis laborum dolores. Blanditiis atque illo enim corrupti mollitia consequuntur. Blanditiis consequatur porro dicta aut autem quisquam.
Ab dignissimos nesciunt illo fugit.",문영희,songjuweon@example.org,학습,고급,327,등급2,True,2024-12-06 21:14:08.065819
8,Perferendis similique quam voluptas ullam illum quod id odit consequuntur.?,"Cupiditate porro ex modi. Earum impedit minus aspernatur vel tempora atque. Harum sed ipsa aut voluptatum hic nam ex.
Recusandae rem reprehenderit minus tempore dignissimos delectus. At ipsam et assumenda maxime illum possimus et. Dolores sed omnis animi.
Rem beatae modi vitae iste ad. Assumenda temporibus animi asperiores quo fugit. Optio ea reiciendis quasi nihil fuga necessitatibus.
Iste tempora voluptatibus earum fuga. Vitae aperiam praesentium illo reiciendis ab.",장영일,bagjeongsun@example.org,취업,초급,573,등급4,False,2025-03-28 23:26:14.187598
9,Ad voluptate similique molestiae eveniet voluptate aperiam asperiores illum.?,"Quis inventore nemo rem repellat eveniet. Autem ipsum deserunt perferendis molestiae accusamus. Tempora ad vel delectus.
Minus tenetur accusamus praesentium. Quos officia beatae.
Id nam incidunt quae explicabo eaque. Reiciendis sequi ullam ex delectus suscipit. Quod error numquam quam debitis.
Officiis eaque sit optio natus. Distinctio nostrum voluptatem ducimus est.
Dolorum facere eius exercitationem est. Debitis facere consequatur aperiam dolorum.",손현지,subin86@example.org,생활,고급,135,등급1,True,2025-04-27 14:26:57.280068
10,Ullam consequuntur cum at eos totam ducimus.?,"Blanditiis accusamus reprehenderit eaque porro vel. Tenetur eaque a asperiores adipisci. Enim explicabo alias voluptatibus autem animi.
Tempore quo corrupti quis molestiae. Asperiores ad magni distinctio eaque maiores. Ipsam qui fugiat et assumenda sed.
Ullam maxime debitis vitae itaque. Facilis provident nobis quae.
Ut labore excepturi tempore. Quasi culpa totam consectetur expedita id adipisci veritatis. Esse maxime sint magnam soluta voluptatibus dignissimos.",이지아,jeongsu97@example.net,기타,고급,891,등급4,True,2024-12-18 02:32:14.497500
