player_id,username,email,nickname,level,wins,losses,created_at,total_games
1,cgim,sanghyeonbag@example.org,중수,43,444,311,2024-05-16,358
2,minjae40,ogim@example.org,순옥,85,19,80,2024-05-31,703
3,minsugim,jeongung38@example.net,하은,66,350,94,2024-01-04,638
4,jinu76,siumun@example.com,은서,24,24,316,2024-03-31,779
5,yeongilyun,jihyeeom@example.net,춘자,86,369,30,2024-03-20,627
6,minsu30,seohyeon20@example.org,은지,27,143,462,2025-05-25,877
7,ieunseo,jinuyun@example.org,현지,7,133,18,2024-09-09,791
8,seongseongmin,gimyeonghwan@example.net,서준,39,267,131,2024-04-01,451
9,yejunbag,bagsanghyeon@example.net,미숙,73,39,122,2024-07-07,23
10,rhong,seosunja@example.com,정순,81,391,496,2025-01-02,262
11,jimini,yeongsuni@example.net,주원,89,250,24,2023-06-12,757
12,yeongsugim,cgweon@example.net,정숙,93,384,361,2024-11-25,707
13,gimseongho,doyun04@example.org,병철,23,265,66,2024-09-30,419
14,jeongsun33,hyeonsugjeong@example.net,지훈,47,284,422,2024-12-04,915
15,gimjeonghun,oyeongho@example.org,서연,69,336,76,2024-11-16,332
16,sonminji,jongsu24@example.org,준호,28,362,279,2023-11-26,946
17,nbag,minjae01@example.org,윤서,90,326,431,2025-05-02,352
18,gojeonghun,gosujin@example.net,영희,100,418,176,2023-06-27,884
19,igo,gimjunyeong@example.net,혜진,8,186,410,2023-12-27,790
20,minjii,xgim@example.com,하윤,70,467,439,2023-06-13,340
21,junyeong66,ri@example.net,도윤,25,399,390,2024-02-12,304
22,yeeun48,eunji56@example.net,영철,2,452,371,2025-01-08,819
23,sugja68,usong@example.org,성진,17,333,403,2025-02-23,464
24,yejungim,gheo@example.net,성현,47,108,57,2023-11-08,542
25,bji,yeonghyicoe@example.org,하은,33,108,292,2025-03-13,862
26,eunjeong24,gimjiyeong@example.org,순자,80,298,207,2024-10-13,626
27,yunjiweon,co@example.org,예진,65,485,126,2023-11-10,605
28,wbag,seungmin10@example.net,현주,39,314,186,2023-08-22,248
29,gimjeongnam,minjaebag@example.org,영일,79,194,487,2024-10-18,890
30,hyeonjuseo,gyeongjacoe@example.com,예은,41,255,458,2024-05-21,943
31,kgim,qbag@example.org,숙자,7,290,456,2025-05-15,757
32,coejunhyeog,gyeongja57@example.com,은정,18,354,218,2023-06-26,251
33,qgim,ysin@example.com,상철,43,301,15,2025-04-11,188
34,haeuncoe,icoe@example.net,주원,83,461,143,2024-05-19,575
35,wcoe,ssong@example.net,진우,2,74,214,2024-05-09,318
36,caeweonan,zgim@example.com,서윤,78,8,161,2024-10-20,8
