player_id,username,email,nickname,level,wins,losses,created_at,current_rating
1,cgim,sanghyeonbag@example.org,중수,43,444,311,2024-05-16,916
2,minjae40,ogim@example.org,순옥,85,19,80,2024-05-31,1512
3,minsugim,jeongung38@example.net,하은,66,350,94,2024-01-04,2227
4,jinu76,siumun@example.com,은서,24,24,316,2024-03-31,1080
5,yeongilyun,jihyeeom@example.net,춘자,86,369,30,2024-03-20,1858
6,minsu30,seohyeon20@example.org,은지,27,143,462,2025-05-25,854
7,ieunseo,jinuyun@example.org,현지,7,133,18,2024-09-09,1438
8,seongseongmin,gimyeonghwan@example.net,서준,39,267,131,2024-04-01,1317
9,yejunbag,bagsanghyeon@example.net,미숙,73,39,122,2024-07-07,991
10,rhong,seosunja@example.com,정순,81,391,496,2025-01-02,2049
11,jimini,yeongsuni@example.net,주원,89,250,24,2023-06-12,1823
12,yeongsugim,cgweon@example.net,정숙,93,384,361,2024-11-25,939
13,gimseongho,doyun04@example.org,병철,23,265,66,2024-09-30,1576
14,jeongsun33,hyeonsugjeong@example.net,지훈,47,284,422,2024-12-04,1963
15,gimjeonghun,oyeongho@example.org,서연,69,336,76,2024-11-16,1242
16,sonminji,jongsu24@example.org,준호,28,362,279,2023-11-26,2451
17,nbag,minjae01@example.org,윤서,90,326,431,2025-05-02,1407
18,gojeonghun,gosujin@example.net,영희,100,418,176,2023-06-27,1213
19,igo,gimjunyeong@example.net,혜진,8,186,410,2023-12-27,959
20,minjii,xgim@example.com,하윤,70,467,439,2023-06-13,2388
21,junyeong66,ri@example.net,도윤,25,399,390,2024-02-12,1879
22,yeeun48,eunji56@example.net,영철,2,452,371,2025-01-08,1971
23,sugja68,usong@example.org,성진,17,333,403,2025-02-23,927
24,yejungim,gheo@example.net,성현,47,108,57,2023-11-08,2400
25,bji,yeonghyicoe@example.org,하은,33,108,292,2025-03-13,933
26,eunjeong24,gimjiyeong@example.org,순자,80,298,207,2024-10-13,1517
27,yunjiweon,co@example.org,예진,65,485,126,2023-11-10,2311
28,wbag,seungmin10@example.net,현주,39,314,186,2023-08-22,1013
29,gimjeongnam,minjaebag@example.org,영일,79,194,487,2024-10-18,1524
30,hyeonjuseo,gyeongjacoe@example.com,예은,41,255,458,2024-05-21,1921
31,kgim,qbag@example.org,숙자,7,290,456,2025-05-15,2473
32,coejunhyeog,gyeongja57@example.com,은정,18,354,218,2023-06-26,865
33,qgim,ysin@example.com,상철,43,301,15,2025-04-11,1733
34,haeuncoe,icoe@example.net,주원,83,461,143,2024-05-19,1242
35,wcoe,ssong@example.net,진우,2,74,214,2024-05-09,1938
36,caeweonan,zgim@example.com,서윤,78,8,161,2024-10-20,1748
37,abae,ngim@example.net,경수,79,464,24,2024-10-29,1415
38,mbag,minjigim@example.com,정순,56,350,273,2024-01-20,1340
39,jeongnamju,zcoe@example.net,은경,61,361,420,2024-07-04,942
40,jgim,coegyeongja@example.org,영숙,77,396,127,2025-02-01,1195
41,jaeho33,yeongceolhan@example.net,현준,26,25,153,2024-09-13,830
42,kgim,gimmiyeong@example.com,수진,74,142,139,2024-07-31,1118
43,seonyeongsong,cgim@example.net,현준,73,97,430,2024-05-03,1249
44,yeji52,sangho30@example.com,경자,65,388,343,2024-10-13,1496
45,yeongsugim,yeongho52@example.org,성훈,54,340,403,2024-03-24,2015
46,sumin62,ubag@example.org,예원,46,79,318,2023-11-26,1393
47,ogja11,sujinsong@example.com,영호,34,189,394,2025-01-13,2380
48,gyeonghyigim,mryu@example.net,준호,14,354,69,2024-11-03,2192
49,ujin04,fgim@example.org,종수,70,372,147,2023-06-14,1009
50,gimsiu,jeongjiweon@example.com,지민,34,253,228,2025-02-12,2066
51,jaehyeon39,sjeong@example.org,상훈,37,446,23,2023-06-22,2420
52,misug16,doyun12@example.net,춘자,2,80,121,2023-06-13,1610
53,yejii,seoyeonryu@example.net,서윤,51,449,176,2024-01-07,1876
54,hyeonjun40,eungyeongcoe@example.org,미정,39,98,355,2023-09-04,1392
55,pgang,jangjihye@example.com,성수,11,453,4,2024-01-28,1516
56,agim,ljang@example.com,영일,3,146,148,2024-03-03,2450
57,ybag,hanmisug@example.com,은주,39,484,341,2024-10-18,2320
58,xgim,ygim@example.com,예은,66,172,118,2025-05-21,2237
59,jimincoe,imisug@example.org,혜진,11,162,96,2023-07-04,1039
60,ni,eunju52@example.com,명자,10,87,185,2024-05-07,1767
61,seungminji,igyeongsu@example.net,미정,49,59,360,2024-09-24,1320
62,hgim,bagmijeong@example.net,명자,94,196,309,2025-05-08,2165
63,misugi,anjiyeon@example.org,은경,20,78,488,2025-01-06,2329
64,yeongceol29,myeongja86@example.com,정희,10,301,134,2024-09-24,1760
65,kgim,gosangho@example.com,예은,76,444,214,2023-12-11,1207
66,minsugim,seungmin44@example.com,지영,28,195,326,2024-02-20,1666
67,jieun94,jhong@example.com,예은,75,458,52,2024-11-07,835
68,yeonggilgim,jeongungcoe@example.com,영길,21,478,77,2025-02-12,1978
69,gangseohyeon,seonyeonggo@example.net,영희,54,369,128,2023-07-05,1199
70,myeongsugcoe,subinhan@example.net,영자,76,77,187,2025-03-19,2440
71,yeongsug03,mi@example.net,정자,94,376,63,2024-01-27,1149
