player_id,username,email,nickname,level,total_games,wins,losses,current_rating,created_at
204,gimjeonghun,hyejini@example.org,승민,27,703,367,27,1393,2023-09-20
267,jihyeongim,minseog23@example.net,영철,79,514,236,350,1679,2024-02-19
153,ason,ni@example.com,서윤,65,970,36,166,2040,2023-07-16
10,rhong,seosunja@example.com,정순,81,262,391,496,2049,2025-01-02
234,gimareum,ogjai@example.org,영호,76,680,261,478,2488,2024-01-24
227,jeongsigcoe,sanghyeon95@example.org,성훈,1,761,415,315,1137,2023-10-15
197,jeongunggim,sunja54@example.org,현지,85,361,66,128,1831,2023-07-02
110,gi,eunyeong81@example.com,민석,84,647,112,65,1093,2025-05-04
6,minsu30,seohyeon20@example.org,은지,27,877,143,462,854,2025-05-25
176,haminseo,ti@example.org,영자,19,499,270,119,1641,2024-01-30
238,vi,jihui@example.net,진호,62,717,402,296,1449,2023-06-17
58,xgim,ygim@example.com,예은,66,334,172,118,2237,2025-05-21
219,lhong,yeeun23@example.org,경수,71,57,383,400,1719,2024-10-21
46,sumin62,ubag@example.org,예원,46,126,79,318,1393,2023-11-26
183,dgim,vseo@example.org,지우,29,93,38,107,1478,2024-01-20
222,ijang,coeyeongsu@example.com,하은,63,971,356,45,1142,2024-03-25
290,eungyeong73,si@example.net,민지,68,57,141,486,966,2023-11-02
212,ai,ogim@example.net,경희,100,400,59,89,2283,2025-04-09
149,hacunja,seoyeong27@example.com,상현,43,690,436,205,1852,2024-02-16
166,eungyeong57,areum35@example.com,민준,2,788,385,275,1135,2023-10-14
79,seoyeongi,eungyeong07@example.com,채원,53,177,437,366,1054,2025-02-09
114,bagjimin,sonujin@example.org,하은,39,968,148,51,1010,2024-10-02
250,yyun,hyeonsugi@example.com,영희,55,290,84,360,856,2023-12-24
251,hyeonji72,gimhyeonji@example.com,예진,28,261,493,420,1457,2024-04-05
105,caeweon51,gweonsujin@example.com,정호,76,422,82,252,938,2024-07-21
43,seonyeongsong,cgim@example.net,현준,73,638,97,430,1249,2024-05-03
282,yeongjai,hyejin16@example.net,예은,63,823,204,257,2258,2024-11-06
296,hyeonjeong14,yeonggilgim@example.net,경수,53,763,92,189,2168,2024-09-07
158,misugi,rgim@example.com,은주,3,140,29,464,1331,2025-04-24
239,junhoan,gangseonyeong@example.com,미숙,6,31,268,406,1437,2023-07-10
