question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,is_resolved,created_at
129,Eum fugit ut ducimus odio sunt aliquid at quasi ex.?,"Cupiditate sit voluptates rem quisquam dolorem. Dolorem eveniet sit quis optio.
Vitae vero ad id. Porro vero nesciunt quod harum.
Odio voluptate nam expedita tempora. Deleniti temporibus veritatis ipsam.
Incidunt illum dolore eum quis minus dolorum. Fugit possimus porro inventore nihil consequuntur itaque. Facere ratione tempora velit numquam.
Exercitationem facilis sed provident exercitationem eaque veritatis eaque. Sequi quo suscipit omnis nesciunt ducimus. Numquam nemo quis neque.",이현준,fsim@example.com,건강,초급,62,76,True,2024-06-21 10:20:47.135703
291,Excepturi occaecati minima repudiandae aut praesentium.?,"Architecto non fuga saepe eius optio. Nemo unde nostrum fugiat maiores.
Accusamus tempore ad laborum excepturi. Fugiat velit ipsa velit dolores.
Quidem labore eos. Natus nulla fuga sapiente.
Nemo hic quasi ipsa voluptatibus quae accusamus. Voluptate dignissimos non doloribus consectetur.
Voluptates quo ab. In beatae ea ad aut vitae odio.
Nulla fugiat aspernatur aliquid quaerat odio itaque. Quaerat debitis vitae nihil.",임정순,ybag@example.net,생활,초급,353,10,False,2024-06-24 02:29:31.759765
9,Ad voluptate similique molestiae eveniet voluptate aperiam asperiores illum.?,"Quis inventore nemo rem repellat eveniet. Autem ipsum deserunt perferendis molestiae accusamus. Tempora ad vel delectus.
Minus tenetur accusamus praesentium. Quos officia beatae.
Id nam incidunt quae explicabo eaque. Reiciendis sequi ullam ex delectus suscipit. Quod error numquam quam debitis.
Officiis eaque sit optio natus. Distinctio nostrum voluptatem ducimus est.
Dolorum facere eius exercitationem est. Debitis facere consequatur aperiam dolorum.",손현지,subin86@example.org,생활,고급,135,95,True,2025-04-27 14:26:57.280068
71,Itaque repellendus cum cum ea quod dolores asperiores necessitatibus reprehenderit odio.?,"Porro id iusto. Voluptate voluptatem iusto tempora voluptatem voluptatibus nostrum.
Id voluptatibus maiores nulla illum voluptatum. Facere ea soluta fugiat vel. Rerum tenetur similique eligendi cupiditate.
Vitae eum soluta neque ab quia repellendus. Reiciendis perferendis incidunt consequatur beatae labore repudiandae sunt. Rerum harum repudiandae quos dolores.
Cumque recusandae minima. Doloribus alias tempora harum.
Quidem rerum praesentium quia. Natus consectetur molestiae esse eveniet.",류지영,hyejinbag@example.com,기술,초급,265,36,True,2024-08-12 16:04:41.837904
265,Officiis quasi neque inventore necessitatibus distinctio temporibus nesciunt.?,"Omnis nulla qui corporis nisi vitae. Cumque officiis vel.
Tenetur aliquam vitae. Alias dolor ducimus quaerat perferendis.
Dolor accusamus sed natus necessitatibus natus.
Reprehenderit consequuntur ea nisi similique laboriosam suscipit. Repellat id repellendus voluptates voluptatem eaque.
Incidunt officia repellendus necessitatibus. Maiores ex dolorum eos odio. Quisquam sapiente vel dolore at mollitia.
Quas inventore est ab ratione. A sapiente repudiandae consectetur accusantium esse omnis.",이미경,ko@example.org,건강,초급,423,35,True,2024-10-19 02:25:56.615390
65,Accusamus unde numquam occaecati mollitia quo temporibus consectetur officiis quos.?,"Tenetur amet officiis quisquam veritatis. Itaque alias ipsum nam cupiditate maiores beatae.
Alias laudantium fugiat iure ullam incidunt. Quo occaecati veniam.
Expedita molestias id recusandae quibusdam eius. Sed repudiandae aspernatur iste.
Suscipit et incidunt quas minus facilis asperiores. Laudantium explicabo incidunt dolores quasi. Ratione non adipisci ea fuga quis qui. Quia nesciunt soluta vero odit in.
Pariatur illo saepe quas illo quae quos. Fugit vero occaecati veniam corporis ipsam.",오정식,yeongsun73@example.com,학습,초급,980,39,True,2024-08-17 08:42:14.764683
45,Modi pariatur illum dolor maiores quasi tenetur inventore facere ratione.?,"Reiciendis minima ab incidunt nam.
Quidem dolore accusamus voluptas corrupti asperiores voluptatem. Ullam ad tenetur. At optio molestiae et unde tempora maiores. Corrupti delectus dolores voluptatem nam quis vitae.
Iste harum labore quod minus. Modi odio repellat aperiam cupiditate mollitia consequuntur. Et nemo odit natus a tempore.
Tempore in totam deserunt alias a exercitationem animi. Provident quaerat optio debitis. Recusandae sequi quae animi modi rem excepturi.",배영희,gimyeji@example.com,건강,중급,992,71,True,2024-12-11 05:46:07.471751
280,Veniam dicta dolorum quia quis.?,"Perspiciatis nisi laboriosam quod. A iure quisquam repudiandae commodi. Autem dolorem quas. Minima modi magni facere.
Quam soluta dolore quod totam. Quod consectetur earum fugit. Consectetur temporibus voluptatibus occaecati occaecati necessitatibus perspiciatis temporibus.
Doloremque animi qui ipsa quae hic. Libero odio unde necessitatibus nam placeat.",김예원,hyu@example.com,건강,중급,27,73,False,2024-10-22 05:58:36.137148
157,Inventore modi exercitationem corrupti suscipit natus unde tenetur.?,"Voluptate voluptatibus cumque blanditiis.
Similique officiis similique modi. Mollitia repellat perspiciatis odit. Maxime recusandae vitae quibusdam. Provident dolores doloribus numquam vitae beatae animi.
Facere odit optio ad hic natus. Eius cupiditate consequatur ipsa beatae impedit. Tenetur minus dolorum ullam repudiandae ipsa blanditiis.
Est porro ea repellendus enim possimus unde. Perspiciatis tempora velit architecto iure sunt. Nostrum esse veniam.",송준서,jiu68@example.org,기술,초급,234,36,True,2025-02-24 21:40:21.048782
41,Illum cupiditate perferendis veniam fugit.?,"Accusantium sunt soluta. Dolores ipsa vel similique officiis temporibus.
Placeat nobis autem voluptates sapiente exercitationem sunt nobis.
Nihil consequuntur temporibus quisquam quos suscipit. Officiis cum tempora rerum id enim. Atque occaecati sint consequuntur magnam.
Voluptates sequi voluptas voluptates. Excepturi omnis commodi quam ex dicta.
Quas pariatur vitae tenetur inventore voluptate porro. Dicta repudiandae commodi alias vero autem nemo natus. Quas iste laborum.",이영순,jeongho00@example.net,생활,중급,901,44,True,2024-08-19 14:30:11.472875
124,Necessitatibus earum magnam illo tempore.?,"Autem quisquam soluta qui. Amet excepturi cupiditate laboriosam incidunt rem. Eos adipisci veniam repellendus.
Accusamus laborum ducimus laudantium laboriosam. Dolor eum labore est. Ab nostrum soluta sint in nobis.
Ullam ad soluta impedit sapiente facere officia.
Voluptas voluptates aliquid.
Deserunt amet enim aspernatur officia. Porro a maiores quaerat ab quae.
Nobis accusantium a ea dolores ducimus nulla. Nam fuga reprehenderit debitis. Hic fugit repellendus eligendi numquam fuga.",김지아,yeeungim@example.com,건강,고급,187,21,True,2025-04-06 13:57:14.536982
276,Necessitatibus fugiat doloremque nostrum autem corrupti.?,"Dignissimos sit nesciunt deleniti quos.
Odio voluptates perferendis sed eligendi excepturi velit. Animi consequuntur repellendus ullam nobis ut sit.
Voluptas aliquam nemo dolorem. Vitae tenetur error quis occaecati non.
Nostrum at nam aperiam eum. Dignissimos amet voluptatum sed. Atque doloremque rem inventore.
Culpa beatae aut deleniti quo illum doloribus. Amet debitis sed voluptas suscipit eius. Accusamus a fuga cupiditate at quaerat.",송경희,gimhyeonu@example.net,학습,고급,469,91,True,2024-10-07 04:00:34.430876
217,Labore sed dolore ut veniam ut id sint praesentium.?,"Porro quae autem eaque quo dolorem iste iste. Facilis eos dolorum exercitationem ut quos. Error expedita ab.
Deserunt non iure eius in. Provident ipsam aspernatur placeat facere laboriosam consequuntur. Aliquam veritatis consequatur illo dolorum reprehenderit iste. Ullam minima molestias itaque veritatis iure.
Hic quaerat rem accusantium incidunt vel. In ab vitae amet quae nisi. A incidunt laborum id rem.
Distinctio quis eveniet vitae. Atque explicabo a doloribus voluptas sed.",박예진,ogsungim@example.net,기술,중급,726,27,True,2024-12-16 15:48:07.923073
154,Quisquam inventore atque cumque ut eius cupiditate.?,"Magnam ad corporis repellat dolore molestiae.
Temporibus quod officiis accusantium qui. Voluptatum vel esse soluta.
Nostrum esse quisquam reprehenderit repellat quae ex. Dolorem consectetur at blanditiis at ducimus atque voluptate.
Blanditiis odit quibusdam incidunt quaerat reprehenderit. Dolores molestiae a quas.
Repellendus perspiciatis dignissimos suscipit veniam nihil. Beatae tempore et ipsa tempore. Aperiam eligendi at ullam mollitia nisi. Esse animi eum ex fuga molestiae impedit.",이지원,hyeonjeong86@example.org,건강,초급,629,67,False,2025-04-26 19:45:21.011325
24,Enim veritatis doloremque odio consectetur tenetur tempora nostrum voluptatum.?,"Blanditiis inventore reprehenderit neque. Dolor distinctio ut enim qui. Magnam sunt mollitia repudiandae expedita.
Eveniet magni ea doloremque numquam iure maiores rem. Doloremque architecto magnam amet nisi rerum optio. Tenetur temporibus veniam.
Tempora totam nobis minima sunt reprehenderit. Illo corporis voluptatibus deleniti corrupti. Dolore rerum explicabo odit quasi dolore ratione. Suscipit rerum est sit et sapiente voluptas.",김민수,eyun@example.org,학습,고급,436,30,True,2025-05-21 17:25:10.739349
262,Quibusdam repellat laborum numquam quaerat a nostrum quos necessitatibus.?,"Officiis maiores ex neque officiis. Odit aliquid ipsum iusto qui atque. Sequi alias fugiat iure quaerat.
Iste tempore odio iure. Illum quas consequuntur id. Similique iusto ad quia necessitatibus rem laudantium. Ad neque delectus vel harum aut.
Numquam nam dolorum nam fugit. Veniam vitae iste suscipit laborum velit suscipit ex.
Placeat eligendi pariatur perferendis culpa nostrum. Maxime voluptas ut inventore fugit ea.",김영길,seoyeongbaeg@example.com,생활,초급,897,24,False,2025-04-26 14:41:51.994637
111,Et officiis suscipit consequuntur accusantium quo minima ullam laboriosam.?,"Facilis molestias atque vero nemo nihil tenetur.
Impedit veniam nam maxime distinctio vel. Eaque molestias temporibus doloremque assumenda pariatur adipisci. Optio numquam quidem laborum magni.
Fugiat repudiandae placeat debitis consectetur. Corporis illo optio eius.
Voluptatibus vitae alias voluptatum.
Perspiciatis vero iure deserunt minus in. Illo similique ratione saepe alias repellat labore.
Rerum ut ab aliquam id ipsam. Illo ducimus omnis vel.",박영수,vbag@example.net,학습,초급,739,88,True,2025-04-09 09:47:29.461305
82,Assumenda quas exercitationem possimus quam possimus deserunt.?,"Quis atque nesciunt facere. Autem laborum quis. Omnis quis repudiandae repellat sed impedit quo molestias.
Earum harum mollitia corrupti pariatur odio nisi. Necessitatibus reiciendis quisquam aperiam eligendi veritatis. Dolorem possimus sequi tempore debitis illum sunt.
Natus eligendi optio eum a a voluptatem. Voluptates odio quos quae tenetur id. Pariatur eum ut est beatae qui totam.
Enim reprehenderit tempore quod. Excepturi eum fuga odio nobis maxime.",이종수,migyeong02@example.net,취업,중급,847,12,False,2024-12-02 06:37:25.578657
208,Iusto qui soluta sint blanditiis veniam esse.?,"Nisi id eaque cum. Fugit totam mollitia nam sunt tempora. Et quis sit velit distinctio dolor culpa.
Accusantium officia tempore corporis. Laudantium asperiores cumque optio aspernatur voluptate. Nostrum quod delectus id animi repellat quam.
Quae minima eaque eligendi ullam corrupti. Occaecati fugiat nemo. Placeat saepe doloribus.
Sapiente voluptate officiis. Exercitationem molestiae sint necessitatibus magnam. Laudantium sapiente temporibus enim reiciendis magnam. Natus eaque ipsum.",윤종수,ogim@example.com,건강,중급,879,10,True,2025-03-24 16:46:11.541807
213,Error consequatur illo neque quas magnam.?,"Aliquid expedita debitis. Neque nulla libero deleniti similique quidem. Sunt ducimus illo cupiditate minus labore.
Suscipit tenetur iste similique cum quidem ad. Quos ex consequatur esse reprehenderit neque.
Occaecati ducimus quod iste fugiat a placeat. Ipsum consequatur nulla facere odio reiciendis ipsam natus. Qui earum perferendis voluptates. Voluptates blanditiis quas placeat quo esse a.",박정자,ii@example.org,학습,고급,912,48,False,2024-12-26 09:35:52.989615
40,Eos quas praesentium labore magni eos sequi laboriosam.?,"Minima voluptatem velit delectus saepe. Aut quod nesciunt ipsum dicta provident. Laudantium eveniet amet deleniti quae.
Exercitationem expedita non quidem. Nam mollitia dolores dolor dolor. Rerum nesciunt quam magni.
Nobis ut illum amet. Cupiditate ullam iusto explicabo ipsum quisquam. Cumque repellendus sunt mollitia.
Nulla accusantium placeat ipsum error. Itaque consectetur est sint natus ut accusamus eos. Ad ipsa minima eos possimus ab cupiditate.",권영희,bagjinu@example.org,기술,초급,345,35,False,2024-09-29 08:03:13.746926
241,Repellat debitis atque eius voluptate rem nulla aut accusamus.?,"Corrupti eos qui. Id modi odio optio voluptatibus.
Rerum aperiam necessitatibus aut nostrum tenetur. Totam id delectus aut omnis accusamus.
Numquam officiis ea libero hic. Tenetur quam nemo ad.
Possimus dolorum laborum dolorem libero odit. Ducimus quibusdam sapiente ipsa et. Culpa et soluta quis doloribus libero.
Rerum in assumenda eligendi repudiandae. Nulla rem aliquid eligendi consequatur fuga. Amet iusto vitae dolore dolorem unde repellat.",김현우,gwangsubag@example.org,취업,고급,249,32,True,2025-02-01 07:21:21.187953
292,Qui fuga at hic delectus soluta.?,"Iure provident tempore ut. Delectus nesciunt fugiat aliquam quam repellendus. Natus repellendus aut impedit.
Fugiat rerum sequi numquam accusantium cumque. Magnam illum iure incidunt dolor cumque quidem sit.
Illum sapiente magni ex. Praesentium tempora veritatis fugit.
Temporibus placeat voluptate illum praesentium sint. Suscipit cumque dignissimos sit praesentium. Eligendi asperiores quod corrupti architecto in repellat.
Ducimus eaque ipsum sed vel laboriosam dignissimos consequatur.",김유진,ogsun02@example.com,기타,중급,25,84,False,2025-04-16 19:06:38.796150
259,Architecto molestias iste animi placeat reiciendis voluptate fugit quae.?,"Laborum accusantium laboriosam. Eaque exercitationem iste molestiae ipsa esse molestias.
Quia minima fugiat veritatis quam. Laborum aperiam repellat veniam amet facere. Amet molestiae animi impedit labore odit reprehenderit possimus.
Alias pariatur est sunt. Maxime enim aspernatur nemo a. Nostrum earum velit. Placeat quidem velit id nam doloremque nesciunt ipsum.
Iste aspernatur consequatur non voluptatem. Tempore voluptatibus tempore quo aspernatur maxime. Consequuntur quos labore eius.",차정남,kgang@example.org,생활,초급,259,18,False,2025-03-12 09:31:18.098916
200,Adipisci veritatis neque quas eum debitis unde dolorem illo.?,"Delectus quos amet nesciunt facilis. Omnis amet eos perferendis ratione.
Reiciendis perspiciatis harum totam molestias pariatur. Fugiat nostrum quisquam accusantium quam numquam voluptate repellat.
Repellendus sunt quasi iste deserunt ex voluptas.
Fugiat consequatur mollitia tenetur corporis odio voluptas iste. Itaque cum similique voluptas nihil ullam quidem. Eos amet repellat vero voluptatum enim.
Laudantium facilis dolor reprehenderit nobis dolore.",양수빈,ogja17@example.com,건강,초급,508,9,True,2025-01-05 23:00:42.543648
15,Alias nemo corporis laborum cum ipsa hic ipsa illum nisi.?,"Inventore rem ea necessitatibus ut molestiae. Officia ipsum dolorum. Autem id adipisci quos ipsa sapiente animi. Vero optio dignissimos.
Incidunt nostrum veniam maiores exercitationem.
Tempora libero mollitia quibusdam illo ipsa tempore.
Explicabo voluptatum optio officia eius eveniet rerum. Occaecati dolore error amet necessitatibus tempora voluptatibus. Quis quod fugiat recusandae unde laudantium ab.",김건우,rgweon@example.org,기술,중급,131,44,False,2024-07-31 09:50:40.852945
48,Aut alias labore autem saepe laborum dolor ex est.?,"Porro quos illum sequi. Recusandae eligendi nemo quis consectetur animi.
Porro iste eos. Ab odio aliquam consectetur reiciendis occaecati. Dolorem itaque maxime delectus autem quo dicta.
Quis deleniti facilis suscipit sequi quisquam debitis dolore. Reprehenderit laboriosam recusandae hic.
Sapiente nobis veritatis aut aperiam. Doloribus consectetur ratione quidem. Illum quibusdam pariatur.
Labore suscipit modi adipisci doloribus. Tempore dolore harum maiores minima.",김성현,bagyeeun@example.org,건강,고급,108,52,True,2024-06-22 20:40:07.927263
