question_id,title,content,asker_name,asker_email,category,difficulty,views,likes,is_resolved,created_at
204,Itaque dicta officiis laudantium molestiae eligendi eum nesciunt ad illo.?,"Pariatur perspiciatis necessitatibus doloremque architecto voluptatem deserunt. Reiciendis consequuntur accusamus autem eum inventore.
Voluptatibus nobis asperiores. Ducimus voluptas accusamus quidem fugiat assumenda.
Velit velit facere eum aliquid. Ad ex modi animi beatae veniam et sequi.
Quos dolorum reprehenderit. Sit ad alias nobis error numquam harum.",박진우,yeongjin03@example.net,건강,중급,779,81,False,2024-07-16 01:16:57.717436
267,Laboriosam itaque accusantium nisi dolorem cupiditate ipsa praesentium.?,"Aspernatur explicabo culpa voluptas suscipit. Distinctio hic occaecati unde. Reprehenderit alias sapiente facilis alias.
Nobis excepturi alias provident sunt. Tempore fuga quae quidem nostrum veritatis excepturi.
Itaque numquam libero voluptatum.
Rem fugit numquam adipisci omnis. Tenetur quidem dolore repudiandae a.
Numquam nihil et. Iusto qui laborum et quibusdam. Iure veniam omnis. Accusantium perspiciatis saepe repellat dignissimos dignissimos.",서민재,yeongil42@example.com,학습,고급,640,20,True,2024-11-28 03:06:26.388899
153,Voluptatem fugiat qui veniam quod.?,"Aspernatur accusamus minus eaque tenetur mollitia fuga tempore. Accusamus ratione dicta labore unde officia. Eum dolorum nesciunt nostrum ipsa culpa.
Eligendi a perferendis. Deserunt facilis nemo labore quas possimus accusantium.
Quod molestiae voluptate maxime rem quisquam eius. Iusto fugit inventore temporibus delectus excepturi. Recusandae rerum quasi unde nostrum earum.",이지영,seongsu27@example.com,취업,초급,408,36,True,2024-08-06 23:16:52.017900
10,Ullam consequuntur cum at eos totam ducimus.?,"Blanditiis accusamus reprehenderit eaque porro vel. Tenetur eaque a asperiores adipisci. Enim explicabo alias voluptatibus autem animi.
Tempore quo corrupti quis molestiae. Asperiores ad magni distinctio eaque maiores. Ipsam qui fugiat et assumenda sed.
Ullam maxime debitis vitae itaque. Facilis provident nobis quae.
Ut labore excepturi tempore. Quasi culpa totam consectetur expedita id adipisci veritatis. Esse maxime sint magnam soluta voluptatibus dignissimos.",이지아,jeongsu97@example.net,기타,고급,891,58,True,2024-12-18 02:32:14.497500
234,Eaque aliquid voluptates dolore culpa eum laudantium esse illum sapiente.?,"Consectetur ipsa nostrum at aspernatur fugit. Natus officia laudantium ut.
Ducimus eligendi possimus nostrum. Iure earum modi atque temporibus dignissimos. Quas possimus quibusdam ex libero ullam. Numquam doloribus exercitationem itaque quas exercitationem iure odio.
Voluptatum eaque dolore facilis. Voluptas doloribus adipisci iusto. Delectus dolores quidem.
Temporibus harum eum impedit provident voluptatibus. Quos fugit vitae voluptatem aspernatur. Corrupti ipsa voluptatum iusto.",김현지,cunjai@example.org,취업,중급,727,6,True,2024-07-26 06:15:49.468557
227,Fugiat ipsum harum officia cupiditate dolorum deleniti alias autem pariatur.?,"Quas ullam numquam magnam. Optio voluptatem vero neque architecto repellat suscipit.
Magnam necessitatibus maxime porro unde. Doloribus corrupti ratione possimus quas qui perferendis.
Commodi vero iure tempora cumque. Animi quibusdam vitae tempore soluta. Nulla eum accusantium expedita sed repellat.
Facere nesciunt illo reprehenderit doloremque. Id ab a inventore praesentium impedit.
Quidem est aperiam voluptatem. Tenetur neque excepturi modi ducimus veniam.",장상철,jihun26@example.com,생활,초급,242,56,False,2024-12-05 07:45:42.274126
197,Praesentium ipsa mollitia harum vitae eveniet laudantium facilis deserunt.?,"Quidem culpa veritatis minus culpa quibusdam natus harum. Neque inventore ex ratione consectetur numquam similique.
Eaque est mollitia blanditiis. Aut officia inventore.
Assumenda dolorum voluptatum quae quia. Asperiores nam id. Adipisci quasi ducimus consequuntur aut.
Esse vero debitis suscipit. Vitae autem harum quod quia eveniet. Aliquid quidem ea illum perspiciatis.",류민준,ggim@example.org,생활,중급,90,42,True,2024-06-06 02:36:30.250740
110,Pariatur est rerum voluptatum quibusdam deserunt delectus maiores eaque delectus delectus.?,"Architecto error saepe reprehenderit cupiditate sit tempora.
Earum earum alias illum. Tempora recusandae nihil laborum.
Itaque magni quae consequuntur. Maxime itaque modi vitae.
Minima in sunt facere quas similique. A cumque illum laudantium.
Unde id ipsam sed. Repudiandae maxime porro asperiores.
Fugit dolorum accusamus ducimus. Quod quia laborum eum quae.
Similique illum totam officia illum dolorem magnam. Nostrum sapiente minima ipsam.",성영희,ii@example.org,기술,초급,589,23,True,2025-04-30 07:24:51.075351
6,Consequatur at cupiditate excepturi reiciendis omnis nesciunt sequi non.?,"Consequatur aperiam voluptatem. Ex odio perspiciatis aliquam ipsa quis repudiandae. Iure ullam amet minus voluptatem totam accusamus.
Ducimus recusandae perspiciatis consequatur aut ea earum libero.
Laborum alias cum dolores corporis a. Quo sunt quo ullam nam perferendis.
Velit perferendis odio repellendus.
Libero quo quod doloribus. Ea tempore sit libero odio perferendis dignissimos vel. Accusantium asperiores molestias corrupti vero cum debitis.",김지훈,abag@example.org,건강,초급,709,53,True,2024-09-17 21:47:37.509139
176,Placeat accusamus velit hic eius nostrum enim eaque quaerat hic.?,"Natus natus fuga pariatur a. Quae numquam occaecati dolore hic neque quaerat voluptates. Explicabo dicta illo iure tempora.
Dolorum doloribus quis inventore optio adipisci dolores. Velit nulla repellendus sunt harum dolores. Deleniti nemo rerum repellendus harum reprehenderit.
Dolore itaque numquam perferendis omnis. Quas libero ipsam illo id est. Fugiat magnam dolores dolore.
Sunt dolorum maxime ipsum. Commodi omnis ullam ex consequuntur qui. Impedit hic velit iste deserunt voluptate.",이지혜,jinhomun@example.net,취업,고급,584,85,True,2025-01-03 14:45:44.137619
